CO_REGSAUD;DS_NOME;Ano;TxCres_2030
11001;Vale do Jamari;2030;1,07
11002;Café;2030;0,44
11003;Central;2030;0,10
11004;Madeira-Mamoré;2030;1,08
11005;Zona da Mata;2030;0,13
11006;Cone Sul;2030;0,78
11007;Vale do Guaporé;2030;1,04
12001;Alto Acre;2030;1,27
12002;Baixo Acre e Purus;2030;1,23
12003;Juruá e Tarauacá/Envira;2030;0,95
13001;Entorno Manaus e Alto Rio Negro;2030;1,22
13002;Rio Negro e Solimões;2030;1,06
13003;Rio Madeira;2030;1,17
13004;Médio Amazonas;2030;0,95
13005;Baixo Amazonas;2030;0,98
13006;Regional Purus;2030;0,73
13007;Regional Juruá;2030;1,03
13008;Triângulo;2030;0,13
13009;Alto Solimões;2030;0,75
14001;Centro Norte;2030;1,23
14002;Sul;2030;1,23
15001;Araguaia;2030;1,16
15002;Baixo Amazonas;2030;0,52
15003;Carajás;2030;1,08
15004;Lago de Tucuruí;2030;1,31
15006;Metropolitana I;2030;0,50
15007;Metropolitana II;2030;0,72
15008;Metropolitana III;2030;0,82
15009;Rio Caetés;2030;0,63
15010;Tapajós;2030;0,20
15011;Tocantins;2030;0,95
15012;Xingu;2030;0,80
15013;Marajó I;2030;0,92
15014;Marajó II;2030;0,94
16001;Área Central;2030;1,61
16002;Área Norte;2030;1,73
16003;Área Sudoeste;2030;1,34
17001;Médio Norte Araguaia;2030;0,90
17002;Bico do Papagaio;2030;0,59
17003;Sudeste;2030;0,38
17004;Cerrado Tocantins Araguaia;2030;0,64
17005;Ilha do Bananal;2030;0,43
17006;Capim Dourado;2030;1,38
17007;Cantão;2030;0,81
17008;Amor Perfeito;2030;0,45
21001;Açailândia;2030;0,51
21002;Bacabal;2030;0,10
21003;Balsas;2030;0,37
21004;Barra do Corda;2030;0,39
21005;Caxias;2030;0,28
21006;Chapadinha;2030;0,47
21007;Codó;2030;0,22
21008;Imperatriz;2030;0,25
21009;Itapecuru Mirim;2030;0,52
21010;Pedreiras;2030;0,03
21011;Pinheiro;2030;0,28
21012;Presidente Dutra;2030;0,16
21013;Rosário;2030;0,55
21014;Santa Inês;2030;0,23
21015;São João dos Patos;2030;0,23
21016;São Luís;2030;0,45
21017;Timon;2030;0,35
21018;Viana;2030;0,33
21019;Zé Doca;2030;0,43
22001;Carnaubais;2030;0,00
22002;Chapada das Mangabeiras;2030;-0,01
22003;Cocais;2030;0,00
22004;Entre Rios;2030;-0,01
22005;Planície Litorânea;2030;-0,01
22006;Serra da Capivara;2030;-0,01
22007;Tabuleiros do Alto Parnaíba;2030;-0,01
22008;Vale do Canindé;2030;0,00
22009;Vale do Rio Guaribas;2030;0,00
22010;Vale do Sambito;2030;0,00
22011;Vale dos Rios Piauí e Itaueiras;2030;0,00
23001;1ª Região Fortaleza;2030;0,46
23002;2ª Região Caucaia;2030;0,62
23003;3ª Região Maracanaú;2030;0,60
23004;4ª Região Baturité;2030;0,23
23005;5ª Região Canindé;2030;0,32
23006;6ª Região Itapipoca;2030;0,55
23007;7ª Região Aracati;2030;0,43
23008;8ª Região Quixadá;2030;0,32
23009;9ª Região Russas;2030;0,23
23010;10ª Região Limoeiro do Norte;2030;0,23
23011;11ª Região Sobral;2030;0,37
23012;12ª Região Acaraú;2030;0,53
23013;13ª Região Tianguá;2030;0,42
23014;14ª Região Tauá;2030;0,13
23015;15ª Região Crateús;2030;0,06
23016;16ª Região Camocim;2030;0,26
23017;17ª Região Icó;2030;0,05
23018;18ª Região Iguatú;2030;0,25
23019;19ª Região Brejo Santo;2030;0,23
23020;20ª Região Crato;2030;0,30
23021;21ª Região Juazeiro do Norte;2030;0,41
23022;22ª Região Cascavel;2030;0,70
24001;1ª Região de Saúde - São José de Mipibu;2030;0,61
24002;2ª Região de Saúde - Mossoró;2030;0,76
24003;3ª Região de Saúde - João Câmara;2030;0,56
24004;4ª Região de Saúde - Caicó;2030;0,30
24005;5ª Região de Saúde - Santa Cruz;2030;0,52
24006;6ª Região de Saúde - Pau dos Ferros;2030;0,25
24007;7ª Região de Saúde - Metropolitana;2030;0,89
24008;8ª Região de Saúde - Açu;2030;0,58
25001;1ª Região Mata Atlântica;2030;0,68
25002;2ª Região;2030;0,12
25003;3ª Região;2030;0,27
25004;4ª Região;2030;0,35
25005;5ª Região;2030;0,32
25006;6ª Região;2030;0,35
25007;7ª Região;2030;0,01
25008;8ª Região;2030;0,40
25009;9ª Região;2030;0,34
25010;10ª Região;2030;0,27
25011;11ª Região;2030;0,29
25012;12ª Região;2030;0,19
25013;13ª Região;2030;0,16
25014;14ª Região;2030;0,46
25015;15ª Região;2030;0,23
25016;16ª Região;2030;0,41
26001;Afogados da Ingazeira;2030;0,21
26002;Arcoverde;2030;0,63
26003;Caruaru;2030;0,62
26004;Garanhuns;2030;0,29
26005;Goiana;2030;0,13
26006;Limoeiro;2030;0,29
26007;Ouricuri;2030;0,45
26008;Palmares;2030;0,43
26009;Petrolina;2030;0,93
26010;Recife;2030;0,45
26011;Salgueiro;2030;0,33
26012;Serra Talhada;2030;0,37
27001;1ª Região de Saúde;2030;0,39
27002;2ª Região de Saúde;2030;0,22
27003;3ª Região de Saúde;2030;0,17
27004;4ª Região de Saúde;2030;0,05
27005;5ª Região de Saúde;2030;0,33
27006;6ª Região de Saúde;2030;0,21
27007;7ª Região de Saúde;2030;0,27
27008;8ª Região de Saúde;2030;0,03
27009;9ª Região de Saúde;2030;0,12
27010;10ª Região de Saúde;2030;0,20
28001;Aracaju;2030;0,98
28002;Estância;2030;0,49
28003;Itabaiana;2030;0,58
28004;Lagarto;2030;0,50
28005;Nossa Senhora da Glória;2030;0,74
28006;Nossa Senhora do Socorro;2030;0,85
28007;Propriá;2030;0,32
29001;Alagoinhas;2030;0,27
29002;Barreiras;2030;0,52
29003;Brumado;2030;0,08
29004;Camaçari;2030;0,65
29005;Cruz das Almas;2030;0,20
29006;Feira de Santana;2030;0,25
29007;Guanambi;2030;0,18
29008;Ibotirama;2030;0,19
29009;Ilhéus;2030;-0,37
