CO_REGSAUD;DS_NOME;Ano;Pop_0a14;Pop_15a64;Pop_65emais;RazDep
25006;6ª Região;2010;58428;146333;19789;53,45
25007;7ª Região;2010;38239;95340;13022;53,77
25008;8ª Região;2010;27672;74251;9452;50,00
25009;9ª Região;2010;41281;110158;16532;52,48
25010;10ª Região;2010;26706;74333;11178;50,97
25011;11ª Região;2010;23101;51107;6783;58,47
25012;12ª Região;2010;45379;107693;16153;57,14
25013;13ª Região;2010;13684;38918;6003;50,59
25014;14ª Região;2010;40097;90288;11638;57,30
25015;15ª Região;2010;39438;91371;13884;58,36
25016;16ª Região;2010;125697;342883;42223;48,97
26001;Afogados da Ingazeira;2010;47195;116313;17272;55,43
26002;Arcoverde;2010;115230;238447;28925;60,46
26003;Caruaru;2010;328867;811396;101206;53,00
26004;Garanhuns;2010;147996;322260;43404;59,39
26005;Goiana;2010;81165;198331;23271;52,66
26006;Limoeiro;2010;145296;374973;46062;51,03
26007;Ouricuri;2010;103173;200598;24095;63,44
26008;Palmares;2010;168273;370161;36471;55,31
26009;Petrolina;2010;127099;285364;22250;52,34
26010;Recife;2010;890077;2741539;277141;42,58
26011;Salgueiro;2010;40520;87884;10315;57,84
26012;Serra Talhada;2010;61878;143079;18922;56,47
27001;1ª Região de Saúde;2010;303836;800604;64249;45,98
27002;2ª Região de Saúde;2010;51721;96081;7958;62,11
27003;3ª Região de Saúde;2010;69763;131191;12947;63,05
27004;4ª Região de Saúde;2010;44260;86903;8622;60,85
27005;5ª Região de Saúde;2010;69027;139899;11311;57,43
27006;6ª Região de Saúde;2010;58391;125039;11999;56,29
27007;7ª Região de Saúde;2010;146071;317349;32011;56,12
27008;8ª Região de Saúde;2010;42077;97573;12919;56,36
27009;9ª Região de Saúde;2010;75808;135575;15441;67,31
27010;10ª Região de Saúde;2010;49407;92164;10298;64,78
28001;Aracaju;2010;178793;527821;43126;42,04
28002;Estância;2010;68508;146687;13976;56,23
28003;Itabaiana;2010;62051;153597;16847;51,37
28004;Lagarto;2010;65680;157902;18755;53,47
28005;Nossa Senhora da Glória;2010;48363;98660;9159;58,30
28006;Nossa Senhora do Socorro;2010;88973;203424;14227;50,73
28007;Propriá;2010;43854;96721;10893;56,60
29001;Alagoinhas;2010;137797;331857;36770;52,60
29002;Barreiras;2010;112613;266287;22042;50,57
29003;Brumado;2010;97467;265832;37318;50,70
29004;Camaçari;2010;139410;363275;21641;44,33
29005;Cruz das Almas;2010;62330;169371;18864;47,94
29006;Feira de Santana;2010;269709;724184;79944;48,28
29007;Guanambi;2010;106837;286798;37067;50,18
29008;Ibotirama;2010;55537;113674;15027;62,08
29009;Ilhéus;2010;87189;212621;23403;52,01
29010;Irecê;2010;112082;251857;29604;56,26
29011;Itaberaba;2010;70974;153295;20415;59,62
29012;Itabuna;2010;132121;337587;42394;51,69
29013;Itapetinga;2010;62720;156590;21197;53,59
