CO_REGSAUD;DS_NOME;Ano;tx_nat
11001;Vale do Jamari;2000;24,94
11002;Café;2000;21,74
11003;Central;2000;21,14
11004;Madeira-Mamoré;2000;24,38
11005;Zona da Mata;2000;22,89
11006;Cone Sul;2000;19,79
11007;Vale do Guaporé;2000;20,21
12001;Alto Acre;2000;27,25
12002;Baixo Acre e Purus;2000;28,00
12003;Juruá e Tarauacá/Envira;2000;25,70
13001;Entorno Manaus e Alto Rio Negro;2000;26,75
13002;Rio Negro e Solimões;2000;24,20
13003;Rio Madeira;2000;21,12
13004;Médio Amazonas;2000;21,31
13005;Baixo Amazonas;2000;24,97
13006;Regional Purus;2000;15,26
13007;Regional Juruá;2000;15,69
13008;Triângulo;2000;20,03
13009;Alto Solimões;2000;15,88
14001;Centro Norte;2000;31,28
14002;Sul;2000;23,59
15001;Araguaia;2000;19,74
15002;Baixo Amazonas;2000;22,21
15003;Carajás;2000;21,25
15004;Lago de Tucuruí;2000;16,75
15006;Metropolitana I;2000;22,02
15007;Metropolitana II;2000;17,24
15008;Metropolitana III;2000;19,49
15009;Rio Caetés;2000;19,53
15010;Tapajós;2000;20,26
15011;Tocantins;2000;21,26
15012;Xingu;2000;21,25
15013;Marajó I;2000;14,01
15014;Marajó II;2000;15,45
16001;Área Central;2000;30,73
16002;Área Norte;2000;20,72
16003;Área Sudoeste;2000;30,28
17001;Médio Norte Araguaia;2000;22,67
17002;Bico do Papagaio;2000;23,13
17003;Sudeste;2000;21,15
17004;Cerrado Tocantins Araguaia;2000;23,34
17005;Ilha do Bananal;2000;20,70
17006;Capim Dourado;2000;25,44
17007;Cantão;2000;21,03
17008;Amor Perfeito;2000;20,88
21001;Açailândia;2000;13,36
21002;Bacabal;2000;15,89
21003;Balsas;2000;19,03
21004;Barra do Corda;2000;17,18
21005;Caxias;2000;18,82
21006;Chapadinha;2000;17,02
21007;Codó;2000;20,45
21008;Imperatriz;2000;15,25
21009;Itapecuru Mirim;2000;21,92
21010;Pedreiras;2000;17,54
21011;Pinheiro;2000;11,60
21012;Presidente Dutra;2000;18,68
21013;Rosário;2000;17,91
21014;Santa Inês;2000;15,89
21015;São João dos Patos;2000;12,78
21016;São Luís;2000;22,08
21017;Timon;2000;20,62
21018;Viana;2000;16,11
21019;Zé Doca;2000;15,37
22001;Carnaubais;2000;17,77
22002;Chapada das Mangabeiras;2000;19,25
22003;Cocais;2000;22,03
22004;Entre Rios;2000;22,27
22005;Planície Litorânea;2000;21,74
22006;Serra da Capivara;2000;14,26
22007;Tabuleiros do Alto Parnaíba;2000;19,09
22008;Vale do Canindé;2000;19,88
