CO_REGSAUD;DS_NOME;Ano;tx_nat
29019;Ribeira do Pombal;2013;11,91
29020;Salvador;2013;12,91
29021;Santa Maria da Vitória;2013;14,11
29022;Santo Antônio de Jesus;2013;11,98
29023;Seabra;2013;12,73
29024;Senhor do Bonfim;2013;13,81
29025;Serrinha;2013;13,13
29026;Teixeira de Freitas;2013;14,85
29027;Valença;2013;13,75
29028;Vitória da Conquista;2013;13,73
31001;Águas Formosas;2013;14,01
31002;Além Paraíba;2013;11,44
31003;Alfenas Machado;2013;11,22
31004;Almenara;2013;11,07
31005;Araçuaí;2013;9,98
31006;Araxá;2013;12,36
31007;Barbacena;2013;10,65
31008;Belo Horizonte Nova Lima Caeté;2013;13,13
31009;Betim;2013;14,90
31010;Bom Despacho;2013;10,46
31011;Brasília de Minas São Francisco;2013;12,78
31012;Carangola;2013;12,59
31013;Caratinga;2013;11,98
31014;Conselheiro Lafaiete Congonhas;2013;11,96
31015;Contagem;2013;14,30
31016;Coração de Jesus;2013;10,29
31017;Coronel Fabriciano Timóteo;2013;12,45
31018;Curvelo;2013;11,57
31019;Diamantina;2013;12,65
31020;Divinópolis Santo Antônio do Monte;2013;11,72
31021;Formiga;2013;9,88
31022;Francisco Sá;2013;12,15
31023;Frutal Iturama;2013;11,71
31024;Governador Valadares;2013;12,86
31025;Guanhães;2013;12,30
31026;Guaxupé;2013;11,38
31027;Ipatinga;2013;13,11
31028;Itabira;2013;13,41
31029;Itajubá;2013;12,34
31030;Itaobim;2013;11,64
31031;Itaúna;2013;12,37
31032;Ituiutaba;2013;11,14
31033;Janaúba Monte Azul;2013;13,35
31034;Januária;2013;14,52
31035;João Monlevade;2013;12,29
31036;João Pinheiro;2013;13,03
31037;Juiz de Fora Lima Duarte Bom Jardim Min;2013;11,41
31038;Lavras;2013;12,74
31039;Leopoldina Cataguases;2013;10,26
31040;Manga;2013;15,73
31041;Manhuaçu;2013;13,54
31042;Mantena;2013;10,86
31043;Minas Novas Turmalina Capelinha;2013;12,43
31044;Montes Claros Bocaiúva;2013;14,32
31045;Muriaé;2013;11,50
31046;Nanuque;2013;12,05
31047;Ouro Preto;2013;13,86
31048;Padre Paraíso;2013;14,10
31049;Pará de Minas;2013;13,57
31050;Passos Piumhi;2013;11,50
31051;Patos de Minas;2013;11,38
31052;Patrocínio Monte Carmelo;2013;12,86
31053;Pedra Azul;2013;13,42
31054;Pirapora;2013;13,30
