CO_REGSAUD;DS_NOME;Ano;tx_fec_15a19;tx_fec_20a24;tx_fec_25a29;tx_fec_30a34;tx_fec_35a39;tx_fec_40a44;tx_fec_45a49;tx_fec
11001;Vale do Jamari;2012;65,00;99,94;76,59;45,44;18,18;3,81;0,34;309,31
11002;Café;2012;60,18;94,76;88,34;54,07;20,87;6,06;0,63;324,91
11003;Central;2012;59,09;101,68;84,34;57,65;22,80;5,41;0,20;331,18
11004;Madeira-Mamoré;2012;89,80;112,69;99,62;74,38;34,04;7,83;0,67;419,04
11005;Zona da Mata;2012;68,76;118,55;84,94;53,58;19,25;4,00;;349,09
11006;Cone Sul;2012;62,25;91,52;83,03;58,42;20,50;3,74;0,24;319,71
11007;Vale do Guaporé;2012;81,94;116,05;89,04;46,74;19,11;5,00;;357,88
12001;Alto Acre;2012;103,19;129,02;112,98;80,39;44,88;11,98;;482,44
12002;Baixo Acre e Purus;2012;93,90;108,66;92,69;74,83;42,38;12,64;0,78;425,88
12003;Juruá e Tarauacá/Envira;2012;126,79;157,44;132,68;112,49;63,08;27,76;3,57;623,82
13001;Entorno Manaus e Alto Rio Negro;2012;96,08;115,56;99,27;76,22;41,76;12,74;0,83;442,46
13002;Rio Negro e Solimões;2012;109,48;123,91;104,00;59,59;32,05;11,34;3,12;443,48
13003;Rio Madeira;2012;96,52;108,92;78,84;49,64;29,29;10,20;0,95;374,36
13004;Médio Amazonas;2012;112,15;140,50;111,22;72,88;41,30;17,51;2,78;498,36
13005;Baixo Amazonas;2012;110,09;153,42;112,86;76,62;48,75;17,12;2,21;521,08
13006;Regional Purus;2012;120,57;131,54;82,73;62,10;30,44;9,52;1,36;438,25
13007;Regional Juruá;2012;129,03;149,68;113,98;81,06;51,37;16,66;5,12;546,90
13008;Triângulo;2012;134,79;138,03;105,66;70,46;39,77;19,92;1,07;509,70
13009;Alto Solimões;2012;127,94;158,31;142,32;108,10;73,41;32,60;5,50;648,17
