CO_REGSAUD;DS_NOME;Ano;tx_mortinf
29019;Ribeira do Pombal;2000;37,28
29020;Salvador;2000;26,54
29021;Santa Maria da Vitória;2000;25,17
29022;Santo Antônio de Jesus;2000;33,34
29023;Seabra;2000;19,06
29024;Senhor do Bonfim;2000;19,53
29025;Serrinha;2000;22,53
29026;Teixeira de Freitas;2000;38,99
29027;Valença;2000;23,39
29028;Vitória da Conquista;2000;27,71
31001;Águas Formosas;2000;18,25
31002;Além Paraíba;2000;24,31
31003;Alfenas Machado;2000;21,60
31004;Almenara;2000;42,44
31005;Araçuaí;2000;15,90
31006;Araxá;2000;20,87
31007;Barbacena;2000;28,85
31008;Belo Horizonte Nova Lima Caeté;2000;18,65
31009;Betim;2000;19,07
31010;Bom Despacho;2000;18,56
31011;Brasília de Minas São Francisco;2000;28,33
31012;Carangola;2000;30,76
31013;Caratinga;2000;32,20
31014;Conselheiro Lafaiete Congonhas;2000;26,84
31015;Contagem;2000;20,32
31016;Coração de Jesus;2000;24,45
31017;Coronel Fabriciano Timóteo;2000;22,97
31018;Curvelo;2000;16,58
31019;Diamantina;2000;25,95
31020;Divinópolis Santo Antônio do Monte;2000;16,88
31021;Formiga;2000;21,28
31022;Francisco Sá;2000;33,93
31023;Frutal Iturama;2000;21,08
31024;Governador Valadares;2000;24,51
31025;Guanhães;2000;26,49
31026;Guaxupé;2000;24,27
31027;Ipatinga;2000;17,79
31028;Itabira;2000;22,29
31029;Itajubá;2000;23,87
31030;Itaobim;2000;12,22
31031;Itaúna;2000;16,50
31032;Ituiutaba;2000;16,03
31033;Janaúba Monte Azul;2000;16,60
31034;Januária;2000;13,14
31035;João Monlevade;2000;29,97
31036;João Pinheiro;2000;13,76
31037;Juiz de Fora Lima Duarte Bom Jardim Min;2000;24,39
31038;Lavras;2000;24,41
31039;Leopoldina Cataguases;2000;18,93
31040;Manga;2000;24,18
31041;Manhuaçu;2000;29,20
31042;Mantena;2000;32,20
31043;Minas Novas Turmalina Capelinha;2000;13,26
31044;Montes Claros Bocaiúva;2000;20,25
31045;Muriaé;2000;21,06
31046;Nanuque;2000;18,15
31047;Ouro Preto;2000;25,52
31048;Padre Paraíso;2000;13,42
31049;Pará de Minas;2000;20,70
31050;Passos Piumhi;2000;23,42
31051;Patos de Minas;2000;21,21
31052;Patrocínio Monte Carmelo;2000;18,45
31053;Pedra Azul;2000;31,77
31054;Pirapora;2000;22,04
31055;Poços de Caldas;2000;17,57
31056;Ponte Nova;2000;25,86
31057;Pouso Alegre;2000;16,93
31058;Resplendor;2000;20,83
31059;Salinas Taiobeiras;2000;12,92
31060;Santa Maria do Suaçuí São João Evangeli;2000;33,01
31061;Santo Antônio do Amparo Campo Belo;2000;20,67
31062;Santos Dumont;2000;16,15
31063;São João del Rei;2000;26,64
31064;São João Nepomuceno Bicas;2000;19,83
31065;São Lourenço;2000;19,32
31066;São Sebastião do Paraíso;2000;18,20
31067;Sete Lagoas;2000;21,34
31068;Teófilo Otoni Malacacheta Itambacuri;2000;11,27
31069;Três Corações;2000;25,97
31070;Três Pontas;2000;24,11
31071;Ubá;2000;30,75
31072;Uberaba;2000;16,45
31073;Uberlândia Araguari;2000;15,83
31074;Unaí;2000;15,74
31075;Varginha;2000;14,97
31076;Vespasiano;2000;15,94
31077;Viçosa;2000;22,96
32001;Central;2000;20,56
32002;Metropolitana;2000;16,76
32003;Norte;2000;20,23
32004;Sul;2000;22,88
33001;Baia da Ilha Grande;2000;17,71
33002;Baixada Litorânea;2000;22,27
33003;Centro-Sul;2000;22,57
33004;Médio Paraíba;2000;24,87
33005;Metropolitana I;2000;18,78
33006;Metropolitana II;2000;16,37
33007;Noroeste;2000;18,94
33008;Norte;2000;24,24
33009;Serrana;2000;21,71
35011;Alto do Tietê;2000;22,13
35012;Franco da Rocha;2000;20,96
35013;Mananciais;2000;17,81
35014;Rota dos Bandeirantes;2000;17,31
35015;Grande ABC;2000;15,72
35016;São Paulo;2000;16,11
35021;Central do DRS II;2000;19,06
35022;Lagos do DRS II;2000;15,28
35023;Consórcios do DRS II;2000;14,27
35031;Central do DRS III;2000;15,84
35032;Centro Oeste do DRS III;2000;17,49
35033;Norte do DRS III;2000;16,73
35034;Coração do DRS III;2000;10,64
35041;Baixada Santista;2000;22,44
35051;Norte - Barretos;2000;21,38
35052;Sul - Barretos;2000;9,74
35061;Vale do Jurumirim;2000;19,43
35062;Bauru;2000;16,98
35063;Polo Cuesta;2000;15,42
35064;Jaú;2000;18,98
