CO_REGSAUD;DS_NOME;Ano;Pop_Total;Pop_Hom;Pop_Mul;p_Pop_Hom;p_Pop_Mul
11001;Vale do Jamari;2000;174963;92366;82597;52,79;47,21
11002;Café;2000;153717;78626;75091;51,15;48,85
11003;Central;2000;355621;183263;172358;51,53;48,47
11004;Madeira-Mamoré;2000;407413;204361;203052;50,16;49,84
11005;Zona da Mata;2000;135403;70666;64737;52,19;47,81
11006;Cone Sul;2000;119722;61176;58546;51,10;48,90
11007;Vale do Guaporé;2000;32948;17682;15266;53,67;46,33
12001;Alto Acre;2000;43487;22527;20960;51,80;48,20
12002;Baixo Acre e Purus;2000;360871;180127;180744;49,91;50,09
12003;Juruá e Tarauacá/Envira;2000;153168;78329;74839;51,14;48,86
13001;Entorno Manaus e Alto Rio Negro;2000;1643421;809559;833862;49,26;50,74
13002;Rio Negro e Solimões;2000;205673;105876;99797;51,48;48,52
13003;Rio Madeira;2000;130436;68286;62150;52,35;47,65
13004;Médio Amazonas;2000;124995;65115;59880;52,09;47,91
13005;Baixo Amazonas;2000;178602;92407;86195;51,74;48,26
13006;Regional Purus;2000;104339;54092;50247;51,84;48,16
13007;Regional Juruá;2000;104940;54489;50451;51,92;48,08
13008;Triângulo;2000;120809;62116;58693;51,42;48,58
13009;Alto Solimões;2000;199342;102427;96915;51,38;48,62
14001;Centro Norte;2000;271843;138076;133767;50,79;49,21
14002;Sul;2000;52554;27961;24593;53,20;46,80
15001;Araguaia;2000;337975;177689;160286;52,57;47,43
15002;Baixo Amazonas;2000;614775;314227;300548;51,11;48,89
15003;Carajás;2000;547164;281722;265442;51,49;48,51
15004;Lago de Tucuruí;2000;249727;129508;120219;51,86;48,14
15006;Metropolitana I;2000;1795536;858954;936582;47,84;52,16
15007;Metropolitana II;2000;270852;139825;131027;51,62;48,38
15008;Metropolitana III;2000;666203;341507;324696;51,26;48,74
15009;Rio Caetés;2000;412946;213251;199695;51,64;48,36
15010;Tapajós;2000;197942;105985;91957;53,54;46,46
15011;Tocantins;2000;470069;241531;228538;51,38;48,62
15012;Xingu;2000;249915;131183;118732;52,49;47,51
15013;Marajó I;2000;164794;85759;79035;52,04;47,96
15014;Marajó II;2000;214409;111627;102782;52,06;47,94
16001;Área Central;2000;311388;154494;156894;49,61;50,39
16002;Área Norte;2000;36144;19207;16937;53,14;46,86
16003;Área Sudoeste;2000;129500;65752;63748;50,77;49,23
17001;Médio Norte Araguaia;2000;215274;108587;106687;50,44;49,56
17002;Bico do Papagaio;2000;169951;86804;83147;51,08;48,92
17003;Sudeste;2000;85976;44760;41216;52,06;47,94
17004;Cerrado Tocantins Araguaia;2000;128281;66233;62048;51,63;48,37
17005;Ilha do Bananal;2000;158095;80674;77421;51,03;48,97
17006;Capim Dourado;2000;208607;106217;102390;50,92;49,08
17007;Cantão;2000;96196;49746;46450;51,71;48,29
17008;Amor Perfeito;2000;94718;48786;45932;51,51;48,49
21001;Açailândia;2000;215562;110388;105174;51,21;48,79
21002;Bacabal;2000;237514;118109;119405;49,73;50,27
21003;Balsas;2000;197556;100452;97104;50,85;49,15
21004;Barra do Corda;2000;183428;93548;89880;51,00;49,00
21005;Caxias;2000;253850;125753;128097;49,54;50,46
21006;Chapadinha;2000;284761;145446;139315;51,08;48,92
21007;Codó;2000;265580;131345;134235;49,46;50,54
21008;Imperatriz;2000;439008;217913;221095;49,64;50,36
21009;Itapecuru Mirim;2000;271241;136831;134410;50,45;49,55
21010;Pedreiras;2000;203800;101345;102455;49,73;50,27
21011;Pinheiro;2000;330355;168764;161591;51,09;48,91
21012;Presidente Dutra;2000;257740;129574;128166;50,27;49,73
21013;Rosário;2000;214970;110285;104685;51,30;48,70
21014;Santa Inês;2000;345599;173739;171860;50,27;49,73
21015;São João dos Patos;2000;209103;104859;104244;50,15;49,85
21016;São Luís;2000;1091979;515785;576194;47,23;52,77
21017;Timon;2000;201448;99675;101773;49,48;50,52
21018;Viana;2000;217952;110517;107435;50,71;49,29
21019;Zé Doca;2000;230029;118353;111676;51,45;48,55
22001;Carnaubais;2000;149551;74973;74578;50,13;49,87
22002;Chapada das Mangabeiras;2000;168850;86426;82424;51,19;48,81
22003;Cocais;2000;357636;179493;178143;50,19;49,81
22004;Entre Rios;2000;1035333;495320;540013;47,84;52,16
