CO_REGSAUD;DS_NOME;Ano;Pop_Total;Pop_Hom;Pop_Mul;p_Pop_Hom;p_Pop_Mul
22005;Planície Litorânea;2000;238406;117571;120835;49,32;50,68
22006;Serra da Capivara;2000;126611;63896;62715;50,47;49,53
22007;Tabuleiros do Alto Parnaíba;2000;37198;18900;18298;50,81;49,19
22008;Vale do Canindé;2000;97067;48202;48865;49,66;50,34
22009;Vale do Rio Guaribas;2000;330745;163922;166823;49,56;50,44
22010;Vale do Sambito;2000;103258;50837;52421;49,23;50,77
22011;Vale dos Rios Piauí e Itaueiras;2000;198623;98750;99873;49,72;50,28
23001;1ª Região Fortaleza;2000;2262588;1063951;1198637;47,02;52,98
23002;2ª Região Caucaia;2000;455205;227376;227829;49,95;50,05
23003;3ª Região Maracanaú;2000;404250;199822;204428;49,43;50,57
23004;4ª Região Baturité;2000;123930;63084;60846;50,90;49,10
23005;5ª Região Canindé;2000;176886;89446;87440;50,57;49,43
23006;6ª Região Itapipoca;2000;227931;116345;111586;51,04;48,96
23007;7ª Região Aracati;2000;95884;47691;48193;49,74;50,26
23008;8ª Região Quixadá;2000;276956;138297;138659;49,93;50,07
23009;9ª Região Russas;2000;177645;88951;88694;50,07;49,93
23010;10ª Região Limoeiro do Norte;2000;201866;99914;101952;49,50;50,50
23011;11ª Região Sobral;2000;541447;267682;273765;49,44;50,56
23012;12ª Região Acaraú;2000;177896;90312;87584;50,77;49,23
23013;13ª Região Tianguá;2000;258973;129179;129794;49,88;50,12
23014;14ª Região Tauá;2000;106240;52583;53657;49,49;50,51
23015;15ª Região Crateús;2000;283509;139724;143785;49,28;50,72
23016;16ª Região Camocim;2000;138618;69568;69050;50,19;49,81
23017;17ª Região Icó;2000;164507;81111;83396;49,31;50,69
23018;18ª Região Iguatú;2000;283928;140190;143738;49,38;50,62
23019;19ª Região Brejo Santo;2000;191381;93984;97397;49,11;50,89
23020;20ª Região Crato;2000;299255;145219;154036;48,53;51,47
23021;21ª Região Juazeiro do Norte;2000;349192;167273;181919;47,90;52,10
23022;22ª Região Cascavel;2000;232574;116772;115802;50,21;49,79
24001;1ª Região de Saúde - São José de Mipibu;2000;312936;157602;155334;50,36;49,64
24002;2ª Região de Saúde - Mossoró;2000;374596;183934;190662;49,10;50,90
24003;3ª Região de Saúde - João Câmara;2000;291780;147516;144264;50,56;49,44
24004;4ª Região de Saúde - Caicó;2000;282098;139063;143035;49,30;50,70
24005;5ª Região de Saúde - Santa Cruz;2000;170060;85179;84881;50,09;49,91
24006;6ª Região de Saúde - Pau dos Ferros;2000;234971;115907;119064;49,33;50,67
24007;7ª Região de Saúde - Metropolitana;2000;980897;466068;514829;47,51;52,49
24008;8ª Região de Saúde - Açu;2000;129444;64684;64760;49,97;50,03
25001;1ª Região Mata Atlântica;2000;1011297;482374;528923;47,70;52,30
25002;2ª Região;2000;292658;143841;148817;49,15;50,85
25003;3ª Região;2000;178968;87543;91425;48,92;51,08
25004;4ª Região;2000;98409;48921;49488;49,71;50,29
25005;5ª Região;2000;107970;53531;54439;49,58;50,42
25006;6ª Região;2000;208420;101351;107069;48,63;51,37
25007;7ª Região;2000;147225;72283;74942;49,10;50,90
25008;8ª Região;2000;102417;50718;51699;49,52;50,48
25009;9ª Região;2000;157169;76712;80457;48,81;51,19
25010;10ª Região;2000;106328;51852;54476;48,77;51,23
25011;11ª Região;2000;77257;38042;39215;49,24;50,76
25012;12ª Região;2000;163465;80749;82716;49,40;50,60
25013;13ª Região;2000;56999;27732;29267;48,65;51,35
25014;14ª Região;2000;128529;64309;64220;50,03;49,97
25015;15ª Região;2000;136983;67480;69503;49,26;50,74
25016;16ª Região;2000;469731;224540;245191;47,80;52,20
26001;Afogados da Ingazeira;2000;172652;84643;88009;49,03;50,97
26002;Arcoverde;2000;330114;161365;168749;48,88;51,12
26003;Caruaru;2000;1073127;521194;551933;48,57;51,43
26004;Garanhuns;2000;482473;234730;247743;48,65;51,35
26005;Goiana;2000;294070;145270;148800;49,40;50,60
26006;Limoeiro;2000;532194;260186;272008;48,89;51,11
26007;Ouricuri;2000;296651;147380;149271;49,68;50,32
26008;Palmares;2000;522579;260095;262484;49,77;50,23
26009;Petrolina;2000;341580;168272;173308;49,26;50,74
26010;Recife;2000;3537639;1680055;1857584;47,49;52,51
26011;Salgueiro;2000;128664;63038;65626;48,99;51,01
26012;Serra Talhada;2000;206601;100429;106172;48,61;51,39
27001;1ª Região de Saúde;2000;1001161;477337;523824;47,68;52,32
27002;2ª Região de Saúde;2000;143377;72975;70402;50,90;49,10
27003;3ª Região de Saúde;2000;202585;101660;100925;50,18;49,82
27004;4ª Região de Saúde;2000;138634;69278;69356;49,97;50,03
27005;5ª Região de Saúde;2000;202258;100446;101812;49,66;50,34
27006;6ª Região de Saúde;2000;172807;86011;86796;49,77;50,23
27007;7ª Região de Saúde;2000;448701;219607;229094;48,94;51,06
27008;8ª Região de Saúde;2000;152594;74054;78540;48,53;51,47
27009;9ª Região de Saúde;2000;218897;107985;110912;49,33;50,67
27010;10ª Região de Saúde;2000;141607;69589;72018;49,14;50,86
28001;Aracaju;2000;608228;288254;319974;47,39;52,61
28002;Estância;2000;209757;105105;104652;50,11;49,89
28003;Itabaiana;2000;208895;104187;104708;49,88;50,12
28004;Lagarto;2000;221370;109731;111639;49,57;50,43
28005;Nossa Senhora da Glória;2000;135061;68690;66371;50,86;49,14
28006;Nossa Senhora do Socorro;2000;257741;127474;130267;49,46;50,54
28007;Propriá;2000;143423;71465;71958;49,83;50,17
29001;Alagoinhas;2000;458093;226886;231207;49,53;50,47
29002;Barreiras;2000;317170;162137;155033;51,12;48,88
29003;Brumado;2000;391929;195750;196179;49,95;50,05
29004;Camaçari;2000;380323;189633;190690;49,86;50,14
29005;Cruz das Almas;2000;234798;114376;120422;48,71;51,29
29006;Feira de Santana;2000;982853;477579;505274;48,59;51,41
29007;Guanambi;2000;411518;207085;204433;50,32;49,68
29008;Ibotirama;2000;174691;89566;85125;51,27;48,73
29009;Ilhéus;2000;369967;187470;182497;50,67;49,33
29010;Irecê;2000;372994;188922;184072;50,65;49,35
29011;Itaberaba;2000;241267;120515;120752;49,95;50,05
29012;Itabuna;2000;535461;266077;269384;49,69;50,31
29013;Itapetinga;2000;238309;120359;117950;50,51;49,49
29014;Jacobina;2000;365164;182742;182422;50,04;49,96
29015;Jequié;2000;525291;262912;262379;50,05;49,95
29016;Juazeiro;2000;447255;224479;222776;50,19;49,81
29017;Paulo Afonso;2000;218521;108079;110442;49,46;50,54
29018;Porto Seguro;2000;292680;148622;144058;50,78;49,22
29019;Ribeira do Pombal;2000;301515;150350;151165;49,86;50,14
29020;Salvador;2000;2829013;1340829;1488184;47,40;52,60
29021;Santa Maria da Vitória;2000;283554;144404;139150;50,93;49,07
29022;Santo Antônio de Jesus;2000;402719;199582;203137;49,56;50,44
29023;Seabra;2000;166111;82595;83516;49,72;50,28
29024;Senhor do Bonfim;2000;273360;137537;135823;50,31;49,69
29025;Serrinha;2000;570059;287562;282497;50,44;49,56
29026;Teixeira de Freitas;2000;372170;188046;184124;50,53;49,47
29027;Valença;2000;270068;137421;132647;50,88;49,12
29028;Vitória da Conquista;2000;643397;320518;322879;49,82;50,18
31001;Águas Formosas;2000;56935;29184;27751;51,26;48,74
31002;Além Paraíba;2000;54751;26811;27940;48,97;51,03
31003;Alfenas Machado;2000;287247;145953;141294;50,81;49,19
31004;Almenara;2000;168221;85801;82420;51,00;49,00
31005;Araçuaí;2000;88297;44292;44005;50,16;49,84
31006;Araxá;2000;142873;71537;71336;50,07;49,93
31007;Barbacena;2000;211531;104054;107477;49,19;50,81
31008;Belo Horizonte Nova Lima Caeté;2000;2942606;1405246;1537360;47,76;52,24
31009;Betim;2000;500347;250814;249533;50,13;49,87
31010;Bom Despacho;2000;93964;46929;47035;49,94;50,06
31011;Brasília de Minas São Francisco;2000;221102;113506;107596;51,34;48,66
31012;Carangola;2000;119681;60563;59118;50,60;49,40
31013;Caratinga;2000;180941;91191;89750;50,40;49,60
31014;Conselheiro Lafaiete Congonhas;2000;263027;130274;132753;49,53;50,47
31015;Contagem;2000;688335;338269;350066;49,14;50,86
31016;Coração de Jesus;2000;46997;24086;22911;51,25;48,75
31017;Coronel Fabriciano Timóteo;2000;203521;99501;104020;48,89;51,11
31018;Curvelo;2000;163399;80897;82502;49,51;50,49
31019;Diamantina;2000;163588;81380;82208;49,75;50,25
31020;Divinópolis Santo Antônio do Monte;2000;371622;184452;187170;49,63;50,37
31021;Formiga;2000;122286;60972;61314;49,86;50,14
31022;Francisco Sá;2000;67569;34466;33103;51,01;48,99
31023;Frutal Iturama;2000;135108;68751;66357;50,89;49,11
31024;Governador Valadares;2000;390342;189740;200602;48,61;51,39
31025;Guanhães;2000;113353;56497;56856;49,84;50,16
31026;Guaxupé;2000;148342;75634;72708;50,99;49,01
31027;Ipatinga;2000;335661;166208;169453;49,52;50,48
31028;Itabira;2000;197955;96918;101037;48,96;51,04
31029;Itajubá;2000;187501;94265;93236;50,27;49,73
31030;Itaobim;2000;81950;41409;40541;50,53;49,47
31031;Itaúna;2000;103190;51515;51675;49,92;50,08
31032;Ituiutaba;2000;173042;86918;86124;50,23;49,77
31033;Janaúba Monte Azul;2000;253957;127521;126436;50,21;49,79
31034;Januária;2000;104271;52635;51636;50,48;49,52
31035;João Monlevade;2000;126070;60841;65229;48,26;51,74
31036;João Pinheiro;2000;60451;30995;29456;51,27;48,73
31037;Juiz de Fora Lima Duarte Bom Jardim Min;2000;577231;278966;298265;48,33;51,67
31038;Lavras;2000;153409;75974;77435;49,52;50,48
31039;Leopoldina Cataguases;2000;164443;80955;83488;49,23;50,77
31040;Manga;2000;59555;30191;29364;50,69;49,31
31041;Manhuaçu;2000;299575;151290;148285;50,50;49,50
31042;Mantena;2000;66835;33238;33597;49,73;50,27
31043;Minas Novas Turmalina Capelinha;2000;111701;55830;55871;49,98;50,02
31044;Montes Claros Bocaiúva;2000;393370;192650;200720;48,97;51,03
31045;Muriaé;2000;153093;75784;77309;49,50;50,50
31046;Nanuque;2000;71795;35534;36261;49,49;50,51
31047;Ouro Preto;2000;150888;73951;76937;49,01;50,99
31048;Padre Paraíso;2000;56539;28645;27894;50,66;49,34
31049;Pará de Minas;2000;154308;77180;77128;50,02;49,98
31050;Passos Piumhi;2000;253316;128745;124571;50,82;49,18
31051;Patos de Minas;2000;306762;155459;151303;50,68;49,32
31052;Patrocínio Monte Carmelo;2000;170611;87149;83462;51,08;48,92
31053;Pedra Azul;2000;48824;24385;24439;49,94;50,06
31054;Pirapora;2000;129493;64954;64539;50,16;49,84
31055;Poços de Caldas;2000;193940;95842;98098;49,42;50,58
31056;Ponte Nova;2000;216722;107009;109713;49,38;50,62
31057;Pouso Alegre;2000;431939;219866;212073;50,90;49,10
31058;Resplendor;2000;87810;43379;44431;49,40;50,60
31059;Salinas Taiobeiras;2000;188337;94304;94033;50,07;49,93
31060;Santa Maria do Suaçuí São João Evangeli;2000;105117;52532;52585;49,97;50,03
31061;Santo Antônio do Amparo Campo Belo;2000;183453;91912;91541;50,10;49,90
31062;Santos Dumont;2000;51020;24988;26032;48,98;51,02
31063;São João del Rei;2000;213543;105950;107593;49,62;50,38
31064;São João Nepomuceno Bicas;2000;65360;32189;33171;49,25;50,75
31065;São Lourenço;2000;237965;118892;119073;49,96;50,04
31066;São Sebastião do Paraíso;2000;114179;57762;56417;50,59;49,41
31067;Sete Lagoas;2000;367762;182277;185485;49,56;50,44
31068;Teófilo Otoni Malacacheta Itambacuri;2000;309930;151879;158051;49,00;51,00
31069;Três Corações;2000;113468;56895;56573;50,14;49,86
31070;Três Pontas;2000;115763;58510;57253;50,54;49,46
31071;Ubá;2000;264378;132331;132047;50,05;49,95
31072;Uberaba;2000;312001;153203;158798;49,10;50,90
31073;Uberlândia Araguari;2000;690697;341262;349435;49,41;50,59
31074;Unaí;2000;228093;117233;110860;51,40;48,60
31075;Varginha;2000;164227;81662;82565;49,73;50,27
31076;Vespasiano;2000;222034;109903;112131;49,50;50,50
31077;Viçosa;2000;121975;60902;61073;49,93;50,07
32001;Central;2000;495316;247973;247343;50,06;49,94
32002;Metropolitana;2000;1670260;818151;852109;48,98;51,02
32003;Norte;2000;348551;175715;172836;50,41;49,59
32004;Sul;2000;583105;292967;290138;50,24;49,76
33001;Baia da Ilha Grande;2000;173692;87777;85915;50,54;49,46
33002;Baixada Litorânea;2000;441060;219626;221434;49,80;50,20
33003;Centro-Sul;2000;294578;143780;150798;48,81;51,19
33004;Médio Paraíba;2000;785192;381941;403251;48,64;51,36
33005;Metropolitana I;2000;9149985;4344329;4805656;47,48;52,52
33006;Metropolitana II;2000;1711799;823184;888615;48,09;51,91
33007;Noroeste;2000;310291;153158;157133;49,36;50,64
33008;Norte;2000;686188;336106;350082;48,98;51,02
33009;Serrana;2000;838497;410434;428063;48,95;51,05
35011;Alto do Tietê;2000;2306607;1139220;1167387;49,39;50,61
35012;Franco da Rocha;2000;423953;213827;210126;50,44;49,56
35013;Mananciais;2000;812236;399710;412526;49,21;50,79
35014;Rota dos Bandeirantes;2000;1546933;758759;788174;49,05;50,95
35015;Grande ABC;2000;2354722;1145486;1209236;48,65;51,35
35016;São Paulo;2000;10434252;4972678;5461574;47,66;52,34
35021;Central do DRS II;2000;255967;126063;129904;49,25;50,75
35022;Lagos do DRS II;2000;179121;90022;89099;50,26;49,74
35023;Consórcios do DRS II;2000;221999;110110;111889;49,60;50,40
35031;Central do DRS III;2000;250891;123733;127158;49,32;50,68
35032;Centro Oeste do DRS III;2000;117860;58888;58972;49,96;50,04
35033;Norte do DRS III;2000;139179;70330;68849;50,53;49,47
35034;Coração do DRS III;2000;315670;157171;158499;49,79;50,21
35041;Baixada Santista;2000;1476820;715291;761529;48,43;51,57
35051;Norte - Barretos;2000;248733;123790;124943;49,77;50,23
35052;Sul - Barretos;2000;136683;68195;68488;49,89;50,11
35061;Vale do Jurumirim;2000;254948;128473;126475;50,39;49,61
35062;Bauru;2000;540126;267677;272449;49,56;50,44
35063;Polo Cuesta;2000;243237;121402;121835;49,91;50,09
35064;Jaú;2000;286274;143003;143271;49,95;50,05
35065;Lins;2000;142479;70797;71682;49,69;50,31
35071;Bragança;2000;359040;179642;179398;50,03;49,97
35072;Região Metropolitana de Campinas;2000;2338026;1155590;1182436;49,43;50,57
35073;Jundiaí;2000;580131;288244;291887;49,69;50,31
35074;Circuito das Águas;2000;112097;55823;56274;49,80;50,20
35081;Três Colinas;2000;350283;174357;175926;49,78;50,22
35082;Alta Anhanguera;2000;130523;65303;65220;50,03;49,97
35083;Alta Mogiana;2000;108565;54042;54523;49,78;50,22
35091;Adamantina;2000;120528;60517;60011;50,21;49,79
35092;Assis;2000;221455;109641;111814;49,51;50,49
35093;Marília;2000;339124;167666;171458;49,44;50,56
35094;Ourinhos;2000;202966;100669;102297;49,60;50,40
35095;Tupã;2000;124389;61729;62660;49,63;50,37
35101;Araras;2000;276024;138103;137921;50,03;49,97
35102;Limeira;2000;292225;145458;146767;49,78;50,22
35103;Piracicaba;2000;472764;234483;238281;49,60;50,40
35104;Rio Claro;2000;208676;103568;105108;49,63;50,37
35111;Alta Paulista;2000;117683;59006;58677;50,14;49,86
35112;Alta Sorocabana;2000;352928;174220;178708;49,36;50,64
35113;Alto Capivari;2000;53795;26766;27029;49,76;50,24
35114;Extremo Oeste Paulista;2000;88014;44134;43880;50,14;49,86
35115;Pontal do Paranapanema;2000;70659;35755;34904;50,60;49,40
35121;Vale do Ribeira;2000;270315;138011;132304;51,06;48,94
35131;Horizonte Verde;2000;341033;171225;169808;50,21;49,79
35132;Aquífero Guarani;2000;678891;330381;348510;48,66;51,34
35133;Vale das Cachoeiras;2000;114940;57737;57203;50,23;49,77
35141;Baixa Mogiana;2000;277928;139435;138493;50,17;49,83
35142;Mantiqueira;2000;243463;121285;122178;49,82;50,18
35143;Rio Pardo;2000;205707;104114;101593;50,61;49,39
35151;Catanduva;2000;266502;133190;133312;49,98;50,02
35152;Santa Fé do Sul;2000;41587;20503;21084;49,30;50,70
35153;Jales;2000;100597;50540;50057;50,24;49,76
35154;Fernandópolis;2000;106520;53180;53340;49,92;50,08
35155;São José do Rio Preto;2000;571081;279884;291197;49,01;50,99
35156;José Bonifácio;2000;77919;39232;38687;50,35;49,65
35157;Votuporanga;2000;169414;84872;84542;50,10;49,90
35161;Itapetininga;2000;395109;199264;195845;50,43;49,57
35162;Itapeva;2000;271426;137302;134124;50,59;49,41
35163;Sorocaba;2000;1299276;649391;649885;49,98;50,02
35171;Alto Vale do Paraíba;2000;852652;422421;430231;49,54;50,46
35172;Circuito da Fé e Vale Histórico;2000;422468;208556;213912;49,37;50,63
35173;Litoral Norte;2000;224656;113873;110783;50,69;49,31
35174;Vale do Paraíba/Região Serrana;2000;492334;245626;246708;49,89;50,11
41001;1ª RS Paranaguá;2000;235840;118709;117131;50,33;49,67
41002;2ª RS Metropolitana;2000;2813237;1378799;1434438;49,01;50,99
41003;3ª RS Ponta Grossa;2000;518854;257433;261421;49,62;50,38
41004;4ª RS Irati;2000;148793;75730;73063;50,90;49,10
41005;5ª RS Guarapuava;2000;432996;218281;214715;50,41;49,59
41006;6ª RS União da Vitória;2000;155473;78803;76670;50,69;49,31
41007;7ª RS Pato Branco;2000;235489;116709;118780;49,56;50,44
41008;8ª RS Francisco Beltrão;2000;321954;161460;160494;50,15;49,85
41009;9ª RS Foz do Iguaçu;2000;379391;188299;191092;49,63;50,37
41010;10ª RS Cascavel;2000;469806;233526;236280;49,71;50,29
41011;11ª RS Campo Mourão;2000;346648;172981;173667;49,90;50,10
41012;12ª RS Umuarama;2000;257984;128402;129582;49,77;50,23
41013;13ª RS Cianorte;2000;125219;62600;62619;49,99;50,01
41014;14ª RS Paranavaí;2000;248772;123855;124917;49,79;50,21
41015;15ª RS Maringá;2000;632898;309976;322922;48,98;51,02
41016;16ª RS Apucarana;2000;312895;155457;157438;49,68;50,32
41017;17ª RS Londrina;2000;786136;384254;401882;48,88;51,12
41018;18ª RS Cornélio Procópio;2000;234233;116921;117312;49,92;50,08
41019;19ª RS Jacarezinho;2000;271681;136187;135494;50,13;49,87
41020;20ª RS Toledo;2000;322137;159845;162292;49,62;50,38
41021;21ª RS Telêmaco Borba;2000;159267;80819;78448;50,74;49,26
41022;22ª RS Ivaiporã;2000;153755;78374;75381;50,97;49,03
42001;Extremo Oeste;2000;216631;109486;107145;50,54;49,46
42002;Oeste;2000;279633;140035;139598;50,08;49,92
42003;Xanxerê;2000;178567;89731;88836;50,25;49,75
42004;Alto Vale do Itajaí;2000;242610;122723;119887;50,58;49,42
42005;Foz do Rio Itajaí;2000;394137;194366;199771;49,31;50,69
42006;Médio Vale do Itajaí;2000;539617;266638;272979;49,41;50,59
42007;Grande Florianópolis;2000;816315;402303;414012;49,28;50,72
42008;Meio Oeste;2000;168527;84034;84493;49,86;50,14
42009;Alto Vale do Rio do Peixe;2000;255692;128551;127141;50,28;49,72
42010;Alto Uruguai Catarinense;2000;137892;69860;68032;50,66;49,34
42011;Nordeste;2000;698006;349359;348647;50,05;49,95
42012;Planalto Norte;2000;331950;166770;165180;50,24;49,76
42013;Serra Catarinense;2000;287276;142652;144624;49,66;50,34
42014;Extremo Sul Catarinense;2000;160169;80199;79970;50,07;49,93
42015;Carbonífera;2000;344778;171550;173228;49,76;50,24
42016;Laguna;2000;304560;151054;153506;49,60;50,40
43001;Região 01 - Verdes Campos;2000;405067;197277;207790;48,70;51,30
43002;Região 02 - Entre Rios;2000;128566;63741;64825;49,58;50,42
43003;Região 03 - Fronteira Oeste;2000;485116;239264;245852;49,32;50,68
43004;Região 04 - Belas Praias;2000;115642;57922;57720;50,09;49,91
43005;Região 05 - Bons Ventos;2000;170146;85536;84610;50,27;49,73
43006;Região 06 - Vale do Paranhana e Costa S;2000;192285;96401;95884;50,13;49,87
43007;Região 07 - Vale dos Sinos;2000;690337;340846;349491;49,37;50,63
43008;Região 08 - Vale do Caí e Metropolitana;2000;666692;327491;339201;49,12;50,88
43009;Região 09 - Carbonífera/Costa Doce;2000;360601;181214;179387;50,25;49,75
43010;Região 10 - Capital e Vale do Gravataí;2000;2117864;1008115;1109749;47,60;52,40
43011;Região 11 - Sete Povos das Missões;2000;301613;149532;152081;49,58;50,42
43012;Região 12 - Portal das Missões;2000;154574;75209;79365;48,66;51,34
43013;Região 13 - Diversidade;2000;221860;109669;112191;49,43;50,57
43014;Região 14 - Fronteira Noroeste;2000;236302;117043;119259;49,53;50,47
43015;Região 15 - Caminho das Águas;2000;196892;98754;98138;50,16;49,84
43016;Região 16 - Alto Uruguai Gaúcho;2000;234382;115931;118451;49,46;50,54
43017;Região 17 - Planalto;2000;354831;173264;181567;48,83;51,17
43018;Região 18 - Araucárias;2000;125467;62537;62930;49,84;50,16
43019;Região 19 - Botucaraí;2000;116184;58398;57786;50,26;49,74
43020;Região 20 - Rota da Produção;2000;163778;81079;82699;49,51;50,49
43021;Região 21 - Sul;2000;828298;405073;423225;48,90;51,10
43022;Região 22 - Pampa;2000;180710;87790;92920;48,58;51,42
43023;Região 23 - Caxias e Hortênsias;2000;445765;219329;226436;49,20;50,80
43024;Região 24 - Campos de Cima da Serra;2000;91871;45716;46155;49,76;50,24
43025;Região 25 - Vinhedos e Basalto;2000;242708;120642;122066;49,71;50,29
43026;Região 26 - Uva Vale;2000;151412;76046;75366;50,22;49,78
43027;Região 27 - Jacuí Centro;2000;202524;100183;102341;49,47;50,53
43028;Região 28 - Vinte e Oito;2000;307737;151877;155860;49,35;50,65
43029;Região 29 - Vales e Montanhas;2000;192772;96227;96545;49,92;50,08
43030;Região 30 - Vale da Luz;2000;105802;52613;53189;49,73;50,27
50001;Campo Grande;2000;1120029;558676;561353;49,88;50,12
50002;Corumbá;2000;111014;55850;55164;50,31;49,69
50003;Dourados;2000;631239;316668;314571;50,17;49,83
50004;Três Lagoas;2000;215719;108830;106889;50,45;49,55
51001;Alto Tapajós;2000;89975;47962;42013;53,31;46,69
51002;Baixada Cuiabana;2000;802048;398175;403873;49,64;50,36
51003;Araguaia Xingu;2000;59250;32151;27099;54,26;45,74
51004;Centro Norte;2000;84859;44523;40336;52,47;47,53
51005;Garças Araguaia;2000;112217;57576;54641;51,31;48,69
51006;Médio Araguaia;2000;58394;30707;27687;52,59;47,41
51007;Médio Norte Matogrossense;2000;155217;80669;74548;51,97;48,03
51008;Noroeste Matogrossense;2000;97104;52260;44844;53,82;46,18
51009;Norte Araguaia Karajá;2000;19387;10193;9194;52,58;47,42
51010;Norte Matogrossense;2000;68231;36033;32198;52,81;47,19
51011;Oeste Matogrossense;2000;174510;89278;85232;51,16;48,84
51012;Sudoeste Matogrossense;2000;94742;49608;45134;52,36;47,64
51013;Sul Matogrossense;2000;357664;183749;173915;51,37;48,63
51014;Teles Pires;2000;195653;102990;92663;52,64;47,36
51015;Vale do Peixoto;2000;84336;44577;39759;52,86;47,14
51016;Vale dos Arinos;2000;50766;26736;24030;52,67;47,33
52001;Central;2000;1376523;663595;712928;48,21;51,79
52002;Centro Sul;2000;593117;298914;294203;50,40;49,60
52003;Entorno Norte;2000;187315;94496;92819;50,45;49,55
52004;Entorno Sul;2000;542454;270505;271949;49,87;50,13
52005;Estrada de Ferro;2000;207052;104518;102534;50,48;49,52
52006;Nordeste I;2000;40846;21171;19675;51,83;48,17
52007;Nordeste II;2000;83006;42632;40374;51,36;48,64
