CO_REGSAUD;DS_NOME;Ano;Pop_Total;Pop_Hom;Pop_Mul;p_Pop_Hom;p_Pop_Mul
51010;Norte Matogrossense;2010;67874;35164;32710;51,81;48,19
51011;Oeste Matogrossense;2010;185991;93872;92119;50,47;49,53
51012;Sudoeste Matogrossense;2010;108961;55972;52989;51,37;48,63
51013;Sul Matogrossense;2010;452519;231638;220881;51,19;48,81
51014;Teles Pires;2010;329366;171679;157687;52,12;47,88
51015;Vale do Peixoto;2010;95825;49638;46187;51,80;48,20
51016;Vale dos Arinos;2010;51921;27060;24861;52,12;47,88
52001;Central;2010;1643132;790971;852161;48,14;51,86
52002;Centro Sul;2010;765526;382293;383233;49,94;50,06
52003;Entorno Norte;2010;228121;114969;113152;50,40;49,60
52004;Entorno Sul;2010;727652;360887;366765;49,60;50,40
52005;Estrada de Ferro;2010;260446;130668;129778;50,17;49,83
52006;Nordeste I;2010;43510;22171;21339;50,96;49,04
52007;Nordeste II;2010;93754;48188;45566;51,40;48,60
52008;Norte;2010;136966;69869;67097;51,01;48,99
52009;Oeste I;2010;113859;57542;56317;50,54;49,46
52010;Oeste II;2010;106186;53170;53016;50,07;49,93
52011;Pirineus;2010;451730;223227;228503;49,42;50,58
52012;Rio Vermelho;2010;191678;96967;94711;50,59;49,41
52013;São Patrício I;2010;161286;81634;79652;50,61;49,39
52014;Serra da Mesa;2010;119367;60773;58594;50,91;49,09
52015;Sudoeste I;2010;379359;194535;184824;51,28;48,72
52016;Sudoeste II;2010;197588;100548;97040;50,89;49,11
52017;Sul;2010;229382;114813;114569;50,05;49,95
52018;São Patrício II;2010;154246;78402;75844;50,83;49,17
53001;Distrito Federal;2010;2570160;1228880;1341280;47,81;52,19
55;Brasil;2010;190755799;93406990;97348809;48,97;51,03
