CO_REGSAUD;DS_NOME;Ano;Pop_Total;Pop_Hom;Pop_Mul;p_Pop_Hom;p_Pop_Mul
24001;1ª Região de Saúde - São José de Mipibu;2010;351502;176313;175189;50,16;49,84
24002;2ª Região de Saúde - Mossoró;2010;436940;214691;222249;49,14;50,86
24003;3ª Região de Saúde - João Câmara;2010;323763;163253;160510;50,42;49,58
24004;4ª Região de Saúde - Caicó;2010;295726;145313;150413;49,14;50,86
24005;5ª Região de Saúde - Santa Cruz;2010;185719;92952;92767;50,05;49,95
24006;6ª Região de Saúde - Pau dos Ferros;2010;242006;119508;122498;49,38;50,62
24007;7ª Região de Saúde - Metropolitana;2010;1187899;564750;623149;47,54;52,46
24008;8ª Região de Saúde - Açu;2010;144472;72107;72365;49,91;50,09
25001;1ª Região Mata Atlântica;2010;1189121;564304;624817;47,46;52,54
25002;2ª Região;2010;298428;146549;151879;49,11;50,89
25003;3ª Região;2010;188406;91973;96433;48,82;51,18
25004;4ª Região;2010;107044;53162;53882;49,66;50,34
25005;5ª Região;2010;114475;56506;57969;49,36;50,64
25006;6ª Região;2010;224550;109125;115425;48,60;51,40
25007;7ª Região;2010;146601;72414;74187;49,40;50,60
25008;8ª Região;2010;111375;55070;56305;49,45;50,55
25009;9ª Região;2010;167971;82094;85877;48,87;51,13
25010;10ª Região;2010;112217;54840;57377;48,87;51,13
25011;11ª Região;2010;80991;40344;40647;49,81;50,19
25012;12ª Região;2010;169225;83292;85933;49,22;50,78
25013;13ª Região;2010;58605;28489;30116;48,61;51,39
25014;14ª Região;2010;142023;70639;71384;49,74;50,26
25015;15ª Região;2010;144693;71314;73379;49,29;50,71
25016;16ª Região;2010;510803;244264;266539;47,82;52,18
26001;Afogados da Ingazeira;2010;180780;88568;92212;48,99;51,01
26002;Arcoverde;2010;382602;187586;195016;49,03;50,97
26003;Caruaru;2010;1241469;601414;640055;48,44;51,56
26004;Garanhuns;2010;513660;249647;264013;48,60;51,40
26005;Goiana;2010;302767;148100;154667;48,92;51,08
26006;Limoeiro;2010;566331;274772;291559;48,52;51,48
26007;Ouricuri;2010;327866;162283;165583;49,50;50,50
26008;Palmares;2010;574905;284554;290351;49,50;50,50
26009;Petrolina;2010;434713;213467;221246;49,11;50,89
26010;Recife;2010;3908757;1842530;2066227;47,14;52,86
26011;Salgueiro;2010;138719;68477;70242;49,36;50,64
26012;Serra Talhada;2010;223879;109283;114596;48,81;51,19
27001;1ª Região de Saúde;2010;1168689;552266;616423;47,26;52,74
27002;2ª Região de Saúde;2010;155760;78001;77759;50,08;49,92
27003;3ª Região de Saúde;2010;213901;106190;107711;49,64;50,36
27004;4ª Região de Saúde;2010;139785;69314;70471;49,59;50,41
27005;5ª Região de Saúde;2010;220237;108204;112033;49,13;50,87
27006;6ª Região de Saúde;2010;195429;96605;98824;49,43;50,57
27007;7ª Região de Saúde;2010;495431;241203;254228;48,69;51,31
27008;8ª Região de Saúde;2010;152569;73699;78870;48,31;51,69
27009;9ª Região de Saúde;2010;226824;111749;115075;49,27;50,73
27010;10ª Região de Saúde;2010;151869;74536;77333;49,08;50,92
28001;Aracaju;2010;749740;353021;396719;47,09;52,91
28002;Estância;2010;229171;113637;115534;49,59;50,41
28003;Itabaiana;2010;232495;114784;117711;49,37;50,63
28004;Lagarto;2010;242337;119096;123241;49,14;50,86
28005;Nossa Senhora da Glória;2010;156182;78727;77455;50,41;49,59
28006;Nossa Senhora do Socorro;2010;306624;150333;156291;49,03;50,97
28007;Propriá;2010;151468;75443;76025;49,81;50,19
29001;Alagoinhas;2010;506424;249248;257176;49,22;50,78
29002;Barreiras;2010;400942;204949;195993;51,12;48,88
29003;Brumado;2010;400617;200260;200357;49,99;50,01
29004;Camaçari;2010;524326;259326;265000;49,46;50,54
29005;Cruz das Almas;2010;250565;121205;129360;48,37;51,63
29006;Feira de Santana;2010;1073837;517265;556572;48,17;51,83
29007;Guanambi;2010;430702;216711;213991;50,32;49,68
29008;Ibotirama;2010;184238;94128;90110;51,09;48,91
29009;Ilhéus;2010;323213;160744;162469;49,73;50,27
29010;Irecê;2010;393543;198185;195358;50,36;49,64
29011;Itaberaba;2010;244684;121359;123325;49,60;50,40
