CO_REGSAUD;DS_NOME;Ano;Pop_0a5;Pop_6a9;Pop_10a14;Pop_15a64;Pop_65emais;Pop_Total;PopH_0a5;PopH_6a9;PopH_10a14;PopH_15a64;PopH_65emais;PopH_Total;PopM_0a5;PopM_6a9;PopM_10a14;PopM_15a64;PopM_65emais;PopM_Total;p_Pop_0a5;p_Pop_6a9;p_Pop_10a14;p_Pop_15a64;p_Pop_65emais;p_PopH_0a5;p_PopH_6a9;p_PopH_10a14;p_PopH_15a64;p_PopH_65emais;p_PopM_0a5;p_PopM_6a9;p_PopM_10a14;p_PopM_15a64;p_PopM_65emais
11001;Vale do Jamari;2000;25328;16479;20286;108276;4594;174963;12989;8452;10424;57712;2789;92366;12339;8027;9862;50564;1805;82597;14,48;9,42;11,59;61,89;2,63;14,06;9,15;11,29;62,48;3,02;14,94;9,72;11,94;61,22;2,19
11002;Café;2000;19635;13513;17564;97165;5840;153717;9983;6910;8954;49567;3212;78626;9652;6603;8610;47598;2628;75091;12,77;8,79;11,43;63,21;3,80;12,70;8,79;11,39;63,04;4,09;12,85;8,79;11,47;63,39;3,50
11003;Central;2000;46780;32489;41591;222019;12742;355621;24053;16319;21137;114533;7221;183263;22727;16170;20454;107486;5521;172358;13,15;9,14;11,70;62,43;3,58;13,12;8,90;11,53;62,50;3,94;13,19;9,38;11,87;62,36;3,20
11004;Madeira-Mamoré;2000;57411;37279;48157;252437;12129;407413;29207;18926;24271;125757;6200;204361;28204;18353;23886;126680;5929;203052;14,09;9,15;11,82;61,96;2,98;14,29;9,26;11,88;61,54;3,03;13,89;9,04;11,76;62,39;2,92
11005;Zona da Mata;2000;17857;12913;15626;83954;5053;135403;9289;6638;7985;43754;3000;70666;8568;6275;7641;40200;2053;64737;13,19;9,54;11,54;62,00;3,73;13,14;9,39;11,30;61,92;4,25;13,24;9,69;11,80;62,10;3,17
11006;Cone Sul;2000;15202;10800;14118;75201;4401;119722;7708;5528;7206;38239;2495;61176;7494;5272;6912;36962;1906;58546;12,70;9,02;11,79;62,81;3,68;12,60;9,04;11,78;62,51;4,08;12,80;9,00;11,81;63,13;3,26
11007;Vale do Guaporé;2000;5437;3422;3870;19430;789;32948;2827;1741;1971;10616;527;17682;2610;1681;1899;8814;262;15266;16,50;10,39;11,75;58,97;2,39;15,99;9,85;11,15;60,04;2,98;17,10;11,01;12,44;57,74;1,72
12001;Alto Acre;2000;7001;4490;5375;24665;1956;43487;3522;2255;2765;12836;1149;22527;3479;2235;2610;11829;807;20960;16,10;10,32;12,36;56,72;4,50;15,63;10,01;12,27;56,98;5,10;16,60;10,66;12,45;56,44;3,85
12002;Baixo Acre e Purus;2000;56862;34206;41989;214269;13545;360871;28828;17214;21114;105886;7085;180127;28034;16992;20875;108383;6460;180744;15,76;9,48;11,64;59,38;3,75;16,00;9,56;11,72;58,78;3,93;15,51;9,40;11,55;59,96;3,57
12003;Juruá e Tarauacá/Envira;2000;28616;17199;20713;81392;5248;153168;14562;8653;10504;41782;2828;78329;14054;8546;10209;39610;2420;74839;18,68;11,23;13,52;53,14;3,43;18,59;11,05;13,41;53,34;3,61;18,78;11,42;13,64;52,93;3,23
13001;Entorno Manaus e Alto Rio Negro;2000;242352;148001;176594;1024291;52183;1643421;122783;74665;87949;501112;23050;809559;119569;73336;88645;523179;29133;833862;14,75;9,01;10,75;62,33;3,18;15,17;9,22;10,86;61,90;2,85;14,34;8,79;10,63;62,74;3,49
13002;Rio Negro e Solimões;2000;38525;23419;28240;108275;7214;205673;19336;11787;14226;56568;3959;105876;19189;11632;14014;51707;3255;99797;18,73;11,39;13,73;52,64;3,51;18,26;11,13;13,44;53,43;3,74;19,23;11,66;14,04;51,81;3,26
13003;Rio Madeira;2000;24324;15525;18124;67776;4687;130436;12400;8008;9356;35978;2544;68286;11924;7517;8768;31798;2143;62150;18,65;11,90;13,89;51,96;3,59;18,16;11,73;13,70;52,69;3,73;19,19;12,09;14,11;51,16;3,45
13004;Médio Amazonas;2000;22231;13897;16762;67059;5046;124995;11373;6988;8597;35520;2637;65115;10858;6909;8165;31539;2409;59880;17,79;11,12;13,41;53,65;4,04;17,47;10,73;13,20;54,55;4,05;18,13;11,54;13,64;52,67;4,02
13005;Baixo Amazonas;2000;32792;20842;24993;92106;7869;178602;16604;10615;12832;48236;4120;92407;16188;10227;12161;43870;3749;86195;18,36;11,67;13,99;51,57;4,41;17,97;11,49;13,89;52,20;4,46;18,78;11,86;14,11;50,90;4,35
13006;Regional Purus;2000;19517;12461;14799;54397;3165;104339;9828;6357;7726;28441;1740;54092;9689;6104;7073;25956;1425;50247;18,71;11,94;14,18;52,13;3,03;18,17;11,75;14,28;52,58;3,22;19,28;12,15;14,08;51,66;2,84
13007;Regional Juruá;2000;22451;13295;15041;51385;2768;104940;11440;6873;7779;26816;1581;54489;11011;6422;7262;24569;1187;50451;21,39;12,67;14,33;48,97;2,64;21,00;12,61;14,28;49,21;2,90;21,83;12,73;14,39;48,70;2,35
13008;Triângulo;2000;23381;14327;17160;62781;3160;120809;11641;7298;8677;32776;1724;62116;11740;7029;8483;30005;1436;58693;19,35;11,86;14,20;51,97;2,62;18,74;11,75;13,97;52,77;2,78;20,00;11,98;14,45;51,12;2,45
13009;Alto Solimões;2000;40378;25513;28221;99816;5414;199342;20300;12946;14409;51780;2992;102427;20078;12567;13812;48036;2422;96915;20,26;12,80;14,16;50,07;2,72;19,82;12,64;14,07;50,55;2,92;20,72;12,97;14,25;49,57;2,50
14001;Centro Norte;2000;44625;26950;31770;161374;7124;271843;22533;13607;16087;82197;3652;138076;22092;13343;15683;79177;3472;133767;16,42;9,91;11,69;59,36;2,62;16,32;9,85;11,65;59,53;2,64;16,52;9,97;11,72;59,19;2,60
14002;Sul;2000;8786;5656;7077;29718;1317;52554;4398;2902;3692;16197;772;27961;4388;2754;3385;13521;545;24593;16,72;10,76;13,47;56,55;2,51;15,73;10,38;13,20;57,93;2,76;17,84;11,20;13,76;54,98;2,22
