CO_REGSAUD;DS_NOME;Ano;Pop_0a5;Pop_6a9;Pop_10a14;Pop_15a64;Pop_65emais;Pop_Total;PopH_0a5;PopH_6a9;PopH_10a14;PopH_15a64;PopH_65emais;PopH_Total;PopM_0a5;PopM_6a9;PopM_10a14;PopM_15a64;PopM_65emais;PopM_Total;p_Pop_0a5;p_Pop_6a9;p_Pop_10a14;p_Pop_15a64;p_Pop_65emais;p_PopH_0a5;p_PopH_6a9;p_PopH_10a14;p_PopH_15a64;p_PopH_65emais;p_PopM_0a5;p_PopM_6a9;p_PopM_10a14;p_PopM_15a64;p_PopM_65emais
15001;Araguaia;2000;49917;32507;40993;204692;9866;337975;25522;16642;21176;108595;5754;177689;24395;15865;19817;96097;4112;160286;14,77;9,62;12,13;60,56;2,92;14,36;9,37;11,92;61,12;3,24;15,22;9,90;12,36;59,95;2,57
15002;Baixo Amazonas;2000;100239;65440;80988;341725;26383;614775;51223;33383;41005;175531;13085;314227;49016;32057;39983;166194;13298;300548;16,30;10,64;13,17;55,59;4,29;16,30;10,62;13,05;55,86;4,16;16,31;10,67;13,30;55,30;4,42
15003;Carajás;2000;87047;55308;70038;318591;16180;547164;44058;28224;35432;164793;9215;281722;42989;27084;34606;153798;6965;265442;15,91;10,11;12,80;58,23;2,96;15,64;10,02;12,58;58,49;3,27;16,20;10,20;13,04;57,94;2,62
15004;Lago de Tucuruí;2000;41472;25956;32226;143757;6316;249727;21083;13081;16266;75457;3621;129508;20389;12875;15960;68300;2695;120219;16,61;10,39;12,90;57,57;2,53;16,28;10,10;12,56;58,26;2,80;16,96;10,71;13,28;56,81;2,24
15006;Metropolitana I;2000;216879;139154;180473;1183933;75097;1795536;110418;70558;89275;559167;29536;858954;106461;68596;91198;624766;45561;936582;12,08;7,75;10,05;65,94;4,18;12,85;8,21;10,39;65,10;3,44;11,37;7,32;9,74;66,71;4,86
15007;Metropolitana II;2000;43103;29098;35364;151844;11443;270852;21904;14843;17878;79358;5842;139825;21199;14255;17486;72486;5601;131027;15,91;10,74;13,06;56,06;4,22;15,67;10,62;12,79;56,76;4,18;16,18;10,88;13,35;55,32;4,27
15008;Metropolitana III;2000;106194;69613;86103;377700;26593;666203;54126;35212;43921;194658;13590;341507;52068;34401;42182;183042;13003;324696;15,94;10,45;12,92;56,69;3,99;15,85;10,31;12,86;57,00;3,98;16,04;10,59;12,99;56,37;4,00
15009;Rio Caetés;2000;66303;44130;55731;226867;19915;412946;34024;22534;28791;117758;10144;213251;32279;21596;26940;109109;9771;199695;16,06;10,69;13,50;54,94;4,82;15,95;10,57;13,50;55,22;4,76;16,16;10,81;13,49;54,64;4,89
15010;Tapajós;2000;30912;19548;23930;118804;4748;197942;15865;10118;12204;65072;2726;105985;15047;9430;11726;53732;2022;91957;15,62;9,88;12,09;60,02;2,40;14,97;9,55;11,51;61,40;2,57;16,36;10,25;12,75;58,43;2,20
15011;Tocantins;2000;79878;52970;64856;253463;18902;470069;40732;27107;32946;131637;9109;241531;39146;25863;31910;121826;9793;228538;16,99;11,27;13,80;53,92;4,02;16,86;11,22;13,64;54,50;3,77;17,13;11,32;13,96;53,31;4,29
15012;Xingu;2000;39714;26381;31971;144477;7372;249915;20286;13564;16492;76569;4272;131183;19428;12817;15479;67908;3100;118732;15,89;10,56;12,79;57,81;2,95;15,46;10,34;12,57;58,37;3,26;16,36;10,79;13,04;57,19;2,61
15013;Marajó I;2000;28745;18875;21961;87765;7448;164794;14668;9717;11449;46270;3655;85759;14077;9158;10512;41495;3793;79035;17,44;11,45;13,33;53,26;4,52;17,10;11,33;13,35;53,95;4,26;17,81;11,59;13,30;52,50;4,80
15014;Marajó II;2000;45796;26510;30333;104280;7490;214409;23337;13486;15632;55211;3961;111627;22459;13024;14701;49069;3529;102782;21,36;12,36;14,15;48,64;3,49;20,91;12,08;14,00;49,46;3,55;21,85;12,67;14,30;47,74;3,43
16001;Área Central;2000;50535;30214;37065;185061;8513;311388;25548;15437;18544;91084;3881;154494;24987;14777;18521;93977;4632;156894;16,23;9,70;11,90;59,43;2,73;16,54;9,99;12,00;58,96;2,51;15,93;9,42;11,80;59,90;2,95
16002;Área Norte;2000;7005;4224;4792;19197;926;36144;3656;2154;2495;10385;517;19207;3349;2070;2297;8812;409;16937;19,38;11,69;13,26;53,11;2,56;19,03;11,21;12,99;54,07;2,69;19,77;12,22;13,56;52,03;2,41
16003;Área Sudoeste;2000;23045;14017;16928;72118;3392;129500;11589;7233;8480;36717;1733;65752;11456;6784;8448;35401;1659;63748;17,80;10,82;13,07;55,69;2,62;17,63;11,00;12,90;55,84;2,64;17,97;10,64;13,25;55,53;2,60
17001;Médio Norte Araguaia;2000;30497;19970;25719;129414;9674;215274;15516;10211;12949;64882;5029;108587;14981;9759;12770;64532;4645;106687;14,17;9,28;11,95;60,12;4,49;14,29;9,40;11,93;59,75;4,63;14,04;9,15;11,97;60,49;4,35
17002;Bico do Papagaio;2000;25740;17407;23349;95012;8443;169951;13265;8873;11889;48350;4427;86804;12475;8534;11460;46662;4016;83147;15,15;10,24;13,74;55,91;4,97;15,28;10,22;13,70;55,70;5,10;15,00;10,26;13,78;56,12;4,83
17003;Sudeste;2000;12715;8367;11236;49070;4588;85976;6519;4284;5764;25866;2327;44760;6196;4083;5472;23204;2261;41216;14,79;9,73;13,07;57,07;5,34;14,56;9,57;12,88;57,79;5,20;15,03;9,91;13,28;56,30;5,49
17004;Cerrado Tocantins Araguaia;2000;17661;11880;14966;77226;6548;128281;8987;6136;7698;39915;3497;66233;8674;5744;7268;37311;3051;62048;13,77;9,26;11,67;60,20;5,10;13,57;9,26;11,62;60,26;5,28;13,98;9,26;11,71;60,13;4,92
17005;Ilha do Bananal;2000;19774;13538;17700;99397;7686;158095;10054;6993;9073;50383;4171;80674;9720;6545;8627;49014;3515;77421;12,51;8,56;11,20;62,87;4,86;12,46;8,67;11,25;62,45;5,17;12,55;8,45;11,14;63,31;4,54
17006;Capim Dourado;2000;30108;18148;22705;131945;5701;208607;15324;9196;11221;67461;3015;106217;14784;8952;11484;64484;2686;102390;14,43;8,70;10,88;63,25;2,73;14,43;8,66;10,56;63,51;2,84;14,44;8,74;11,22;62,98;2,62
17007;Cantão;2000;12404;8364;11126;59431;4871;96196;6349;4313;5812;30641;2631;49746;6055;4051;5314;28790;2240;46450;12,89;8,69;11,57;61,78;5,06;12,76;8,67;11,68;61,59;5,29;13,04;8,72;11,44;61,98;4,82
17008;Amor Perfeito;2000;13003;9269;11726;55764;4956;94718;6598;4769;6016;28797;2606;48786;6405;4500;5710;26967;2350;45932;13,73;9,79;12,38;58,87;5,23;13,52;9,78;12,33;59,03;5,34;13,94;9,80;12,43;58,71;5,12
21001;Açailândia;2000;34136;21616;28740;124263;6807;215562;17433;10876;14477;63879;3723;110388;16703;10740;14263;60384;3084;105174;15,84;10,03;13,33;57,65;3,16;15,79;9,85;13,11;57,87;3,37;15,88;10,21;13,56;57,41;2,93
21002;Bacabal;2000;35495;22569;30593;136098;12759;237514;17910;11381;15461;67168;6189;118109;17585;11188;15132;68930;6570;119405;14,94;9,50;12,88;57,30;5,37;15,16;9,64;13,09;56,87;5,24;14,73;9,37;12,67;57,73;5,50
21003;Balsas;2000;31485;20738;26431;109143;9759;197556;16064;10552;13440;55677;4719;100452;15421;10186;12991;53466;5040;97104;15,94;10,50;13,38;55,25;4,94;15,99;10,50;13,38;55,43;4,70;15,88;10,49;13,38;55,06;5,19
21004;Barra do Corda;2000;30086;20473;25660;98865;8344;183428;15129;10326;12937;50711;4445;93548;14957;10147;12723;48154;3899;89880;16,40;11,16;13,99;53,90;4,55;16,17;11,04;13,83;54,21;4,75;16,64;11,29;14,16;53,58;4,34
21005;Caxias;2000;36930;24545;32922;144808;14645;253850;18751;12346;16560;71081;7015;125753;18179;12199;16362;73727;7630;128097;14,55;9,67;12,97;57,04;5,77;14,91;9,82;13,17;56,52;5,58;14,19;9,52;12,77;57,56;5,96
21006;Chapadinha;2000;45284;29921;39766;153744;16046;284761;22859;15169;20030;79204;8184;145446;22425;14752;19736;74540;7862;139315;15,90;10,51;13,96;53,99;5,63;15,72;10,43;13,77;54,46;5,63;16,10;10,59;14,17;53,50;5,64
21007;Codó;2000;39713;25272;35115;149888;15592;265580;20105;12681;17599;73373;7587;131345;19608;12591;17516;76515;8005;134235;14,95;9,52;13,22;56,44;5,87;15,31;9,65;13,40;55,86;5,78;14,61;9,38;13,05;57,00;5,96
21008;Imperatriz;2000;62827;40332;55356;260957;19536;439008;31814;20459;27826;128123;9691;217913;31013;19873;27530;132834;9845;221095;14,31;9,19;12,61;59,44;4,45;14,60;9,39;12,77;58,80;4,45;14,03;8,99;12,45;60,08;4,45
21009;Itapecuru Mirim;2000;43997;28130;37870;146510;14734;271241;22241;13973;19209;73847;7561;136831;21756;14157;18661;72663;7173;134410;16,22;10,37;13,96;54,01;5,43;16,25;10,21;14,04;53,97;5,53;16,19;10,53;13,88;54,06;5,34
21010;Pedreiras;2000;28490;19403;26459;117903;11545;203800;14518;9786;13347;58119;5575;101345;13972;9617;13112;59784;5970;102455;13,98;9,52;12,98;57,85;5,66;14,33;9,66;13,17;57,35;5,50;13,64;9,39;12,80;58,35;5,83
21011;Pinheiro;2000;48673;33167;46163;184196;18156;330355;24594;16698;23560;94886;9026;168764;24079;16469;22603;89310;9130;161591;14,73;10,04;13,97;55,76;5,50;14,57;9,89;13,96;56,22;5,35;14,90;10,19;13,99;55,27;5,65
21012;Presidente Dutra;2000;37773;25405;33040;147311;14211;257740;19144;12697;16724;74024;6985;129574;18629;12708;16316;73287;7226;128166;14,66;9,86;12,82;57,15;5,51;14,77;9,80;12,91;57,13;5,39;14,54;9,92;12,73;57,18;5,64
21013;Rosário;2000;36120;24198;30902;112392;11358;214970;18168;12322;15716;58306;5773;110285;17952;11876;15186;54086;5585;104685;16,80;11,26;14,38;52,28;5,28;16,47;11,17;14,25;52,87;5,23;17,15;11,34;14,51;51,67;5,34
21014;Santa Inês;2000;55855;35151;46014;191596;16983;345599;28264;17682;23118;95976;8699;173739;27591;17469;22896;95620;8284;171860;16,16;10,17;13,31;55,44;4,91;16,27;10,18;13,31;55,24;5,01;16,05;10,16;13,32;55,64;4,82
21015;São João dos Patos;2000;30398;21257;27230;118483;11735;209103;15270;10616;13853;59474;5646;104859;15128;10641;13377;59009;6089;104244;14,54;10,17;13,02;56,66;5,61;14,56;10,12;13,21;56,72;5,38;14,51;10,21;12,83;56,61;5,84
21016;São Luís;2000;132652;85533;125221;707385;41188;1091979;67262;43094;61211;327244;16974;515785;65390;42439;64010;380141;24214;576194;12,15;7,83;11,47;64,78;3,77;13,04;8,36;11,87;63,45;3,29;11,35;7,37;11,11;65,97;4,20
21017;Timon;2000;29448;18051;25425;118539;9985;201448;14980;9078;12893;57988;4736;99675;14468;8973;12532;60551;5249;101773;14,62;8,96;12,62;58,84;4,96;15,03;9,11;12,94;58,18;4,75;14,22;8,82;12,31;59,50;5,16
21018;Viana;2000;31843;22165;30338;121083;12523;217952;16043;11248;15615;61594;6017;110517;15800;10917;14723;59489;6506;107435;14,61;10,17;13,92;55,55;5,75;14,52;10,18;14,13;55,73;5,44;14,71;10,16;13,70;55,37;6,06
21019;Zé Doca;2000;37650;24695;32308;125327;10049;230029;19108;12523;16429;64798;5495;118353;18542;12172;15879;60529;4554;111676;16,37;10,74;14,05;54,48;4,37;16,14;10,58;13,88;54,75;4,64;16,60;10,90;14,22;54,20;4,08
22001;Carnaubais;2000;18714;12364;18759;89887;9827;149551;9561;6336;9552;44616;4908;74973;9153;6028;9207;45271;4919;74578;12,51;8,27;12,54;60,10;6,57;12,75;8,45;12,74;59,51;6,55;12,27;8,08;12,35;60,70;6,60
22002;Chapada das Mangabeiras;2000;24878;16189;22716;95926;9141;168850;12597;8231;11585;49568;4445;86426;12281;7958;11131;46358;4696;82424;14,73;9,59;13,45;56,81;5,41;14,58;9,52;13,40;57,35;5,14;14,90;9,65;13,50;56,24;5,70
22003;Cocais;2000;49255;33785;47760;205090;21746;357636;25238;17329;24253;101952;10721;179493;24017;16456;23507;103138;11025;178143;13,77;9,45;13,35;57,35;6,08;14,06;9,65;13,51;56,80;5,97;13,48;9,24;13,20;57,90;6,19
22004;Entre Rios;2000;125688;81535;121017;655487;51606;1035333;63852;41207;60517;306993;22751;495320;61836;40328;60500;348494;28855;540013;12,14;7,88;11,69;63,31;4,98;12,89;8,32;12,22;61,98;4,59;11,45;7,47;11,20;64,53;5,34
22005;Planície Litorânea;2000;31642;20637;30003;141683;14441;238406;15932;10369;15017;69569;6684;117571;15710;10268;14986;72114;7757;120835;13,27;8,66;12,58;59,43;6,06;13,55;8,82;12,77;59,17;5,69;13,00;8,50;12,40;59,68;6,42
22006;Serra da Capivara;2000;16868;11258;15888;75061;7536;126611;8653;5616;8088;38003;3536;63896;8215;5642;7800;37058;4000;62715;13,32;8,89;12,55;59,28;5,95;13,54;8,79;12,66;59,48;5,53;13,10;9,00;12,44;59,09;6,38
22007;Tabuleiros do Alto Parnaíba;2000;5346;3705;4938;21167;2042;37198;2701;1881;2533;10797;988;18900;2645;1824;2405;10370;1054;18298;14,37;9,96;13,27;56,90;5,49;14,29;9,95;13,40;57,13;5,23;14,46;9,97;13,14;56,67;5,76
22008;Vale do Canindé;2000;12843;8121;12313;57618;6172;97067;6498;4100;6199;28496;2909;48202;6345;4021;6114;29122;3263;48865;13,23;8,37;12,69;59,36;6,36;13,48;8,51;12,86;59,12;6,04;12,98;8,23;12,51;59,60;6,68
22009;Vale do Rio Guaribas;2000;42333;27361;39212;202123;19716;330745;21382;13916;19802;99287;9535;163922;20951;13445;19410;102836;10181;166823;12,80;8,27;11,86;61,11;5,96;13,04;8,49;12,08;60,57;5,82;12,56;8,06;11,64;61,64;6,10
22010;Vale do Sambito;2000;12288;8134;12058;62965;7813;103258;6220;4090;6038;30617;3872;50837;6068;4044;6020;32348;3941;52421;11,90;7,88;11,68;60,98;7,57;12,24;8,05;11,88;60,23;7,62;11,58;7,71;11,48;61,71;7,52
22011;Vale dos Rios Piauí e Itaueiras;2000;25106;16645;25133;119210;12529;198623;12746;8515;12679;59029;5781;98750;12360;8130;12454;60181;6748;99873;12,64;8,38;12,65;60,02;6,31;12,91;8,62;12,84;59,78;5,85;12,38;8,14;12,47;60,26;6,76
23001;1ª Região Fortaleza;2000;264919;173660;233407;1475763;114839;2262588;134449;88432;116399;680037;44634;1063951;130470;85228;117008;795726;70205;1198637;11,71;7,68;10,32;65,22;5,08;12,64;8,31;10,94;63,92;4,20;10,88;7,11;9,76;66,39;5,86
23002;2ª Região Caucaia;2000;66966;42118;54075;269665;22381;455205;33989;21364;27363;133973;10687;227376;32977;20754;26712;135692;11694;227829;14,71;9,25;11,88;59,24;4,92;14,95;9,40;12,03;58,92;4,70;14,47;9,11;11,72;59,56;5,13
23003;3ª Região Maracanaú;2000;56275;37567;48838;242565;19005;404250;28774;19117;24605;118633;8693;199822;27501;18450;24233;123932;10312;204428;13,92;9,29;12,08;60,00;4,70;14,40;9,57;12,31;59,37;4,35;13,45;9,03;11,85;60,62;5,04
23004;4ª Região Baturité;2000;17516;11697;15043;70273;9401;123930;8983;5960;7711;35737;4693;63084;8533;5737;7332;34536;4708;60846;14,13;9,44;12,14;56,70;7,59;14,24;9,45;12,22;56,65;7,44;14,02;9,43;12,05;56,76;7,74
23005;5ª Região Canindé;2000;26385;16875;22478;98054;13094;176886;13471;8612;11493;49341;6529;89446;12914;8263;10985;48713;6565;87440;14,92;9,54;12,71;55,43;7,40;15,06;9,63;12,85;55,16;7,30;14,77;9,45;12,56;55,71;7,51
23006;6ª Região Itapipoca;2000;34656;23007;30357;125185;14726;227931;17633;11735;15440;64211;7326;116345;17023;11272;14917;60974;7400;111586;15,20;10,09;13,32;54,92;6,46;15,16;10,09;13,27;55,19;6,30;15,26;10,10;13,37;54,64;6,63
23007;7ª Região Aracati;2000;11846;8279;11279;58477;6003;95884;6157;4200;5692;28971;2671;47691;5689;4079;5587;29506;3332;48193;12,35;8,63;11,76;60,99;6,26;12,91;8,81;11,94;60,75;5,60;11,80;8,46;11,59;61,22;6,91
23008;8ª Região Quixadá;2000;37889;25594;33103;159481;20889;276956;19458;13033;16768;78711;10327;138297;18431;12561;16335;80770;10562;138659;13,68;9,24;11,95;57,58;7,54;14,07;9,42;12,12;56,91;7,47;13,29;9,06;11,78;58,25;7,62
23009;9ª Região Russas;2000;22070;15591;21204;106139;12641;177645;11427;7849;10785;52788;6102;88951;10643;7742;10419;53351;6539;88694;12,42;8,78;11,94;59,75;7,12;12,85;8,82;12,12;59,35;6,86;12,00;8,73;11,75;60,15;7,37
23010;10ª Região Limoeiro do Norte;2000;24740;16322;23372;122602;14830;201866;12605;8258;11862;60128;7061;99914;12135;8064;11510;62474;7769;101952;12,26;8,09;11,58;60,73;7,35;12,62;8,27;11,87;60,18;7,07;11,90;7,91;11,29;61,28;7,62
23011;11ª Região Sobral;2000;77822;50451;67648;307155;38371;541447;39600;25747;34367;149965;18003;267682;38222;24704;33281;157190;20368;273765;14,37;9,32;12,49;56,73;7,09;14,79;9,62;12,84;56,02;6,73;13,96;9,02;12,16;57,42;7,44
23012;12ª Região Acaraú;2000;27458;18057;24194;97971;10216;177896;14005;9285;12274;49526;5222;90312;13453;8772;11920;48445;4994;87584;15,43;10,15;13,60;55,07;5,74;15,51;10,28;13,59;54,84;5,78;15,36;10,02;13,61;55,31;5,70
23013;13ª Região Tianguá;2000;38910;26138;33430;143304;17191;258973;19653;13283;16813;71332;8098;129179;19257;12855;16617;71972;9093;129794;15,02;10,09;12,91;55,34;6,64;15,21;10,28;13,02;55,22;6,27;14,84;9,90;12,80;55,45;7,01
23014;14ª Região Tauá;2000;14709;9763;13201;60914;7653;106240;7462;4962;6747;29579;3833;52583;7247;4801;6454;31335;3820;53657;13,85;9,19;12,43;57,34;7,20;14,19;9,44;12,83;56,25;7,29;13,51;8,95;12,03;58,40;7,12
23015;15ª Região Crateús;2000;37025;25482;34429;163766;22807;283509;18830;12967;17363;79626;10938;139724;18195;12515;17066;84140;11869;143785;13,06;8,99;12,14;57,76;8,04;13,48;9,28;12,43;56,99;7,83;12,65;8,70;11,87;58,52;8,25
23016;16ª Região Camocim;2000;21938;13589;17673;77365;8053;138618;11049;6852;9028;38735;3904;69568;10889;6737;8645;38630;4149;69050;15,83;9,80;12,75;55,81;5,81;15,88;9,85;12,98;55,68;5,61;15,77;9,76;12,52;55,94;6,01
23017;17ª Região Icó;2000;19887;13892;19843;98168;12717;164507;10112;7073;10091;47614;6221;81111;9775;6819;9752;50554;6496;83396;12,09;8,44;12,06;59,67;7,73;12,47;8,72;12,44;58,70;7,67;11,72;8,18;11,69;60,62;7,79
23018;18ª Região Iguatú;2000;33861;23671;34315;170432;21649;283928;17256;11980;17304;83119;10531;140190;16605;11691;17011;87313;11118;143738;11,93;8,34;12,09;60,03;7,62;12,31;8,55;12,34;59,29;7,51;11,55;8,13;11,83;60,74;7,73
23019;19ª Região Brejo Santo;2000;25024;17060;24143;111812;13342;191381;12758;8609;12241;54152;6224;93984;12266;8451;11902;57660;7118;97397;13,08;8,91;12,62;58,42;6,97;13,57;9,16;13,02;57,62;6,62;12,59;8,68;12,22;59,20;7,31
23020;20ª Região Crato;2000;40080;26767;36440;174837;21131;299255;20452;13588;18382;83232;9565;145219;19628;13179;18058;91605;11566;154036;13,39;8,94;12,18;58,42;7,06;14,08;9,36;12,66;57,31;6,59;12,74;8,56;11,72;59,47;7,51
23021;21ª Região Juazeiro do Norte;2000;47463;30177;41554;206738;23260;349192;24231;15289;20805;97317;9631;167273;23232;14888;20749;109421;13629;181919;13,59;8,64;11,90;59,20;6,66;14,49;9,14;12,44;58,18;5,76;12,77;8,18;11,41;60,15;7,49
23022;22ª Região Cascavel;2000;31561;20956;26530;138842;14685;232574;15878;10636;13349;69656;7253;116772;15683;10320;13181;69186;7432;115802;13,57;9,01;11,41;59,70;6,31;13,60;9,11;11,43;59,65;6,21;13,54;8,91;11,38;59,75;6,42
24001;1ª Região de Saúde - São José de Mipibu;2000;44548;29230;37897;179830;21431;312936;22651;14783;19330;90446;10392;157602;21897;14447;18567;89384;11039;155334;14,24;9,34;12,11;57,47;6,85;14,37;9,38;12,27;57,39;6,59;14,10;9,30;11,95;57,54;7,11
24002;2ª Região de Saúde - Mossoró;2000;43270;29063;41723;238130;22410;374596;22137;14730;20987;115654;10426;183934;21133;14333;20736;122476;11984;190662;11,55;7,76;11,14;63,57;5,98;12,04;8,01;11,41;62,88;5,67;11,08;7,52;10,88;64,24;6,29
24003;3ª Região de Saúde - João Câmara;2000;41588;26465;36039;168364;19324;291780;21170;13547;18277;85014;9508;147516;20418;12918;17762;83350;9816;144264;14,25;9,07;12,35;57,70;6,62;14,35;9,18;12,39;57,63;6,45;14,15;8,95;12,31;57,78;6,80
24004;4ª Região de Saúde - Caicó;2000;30887;20740;31569;176142;22760;282098;15703;10620;15999;86196;10545;139063;15184;10120;15570;89946;12215;143035;10,95;7,35;11,19;62,44;8,07;11,29;7,64;11,50;61,98;7,58;10,62;7,08;10,89;62,88;8,54
24005;5ª Região de Saúde - Santa Cruz;2000;22774;15257;21061;97158;13810;170060;11566;7682;10706;48554;6671;85179;11208;7575;10355;48604;7139;84881;13,39;8,97;12,38;57,13;8,12;13,58;9,02;12,57;57,00;7,83;13,20;8,92;12,20;57,26;8,41
24006;6ª Região de Saúde - Pau dos Ferros;2000;27200;19022;27934;142928;17887;234971;13792;9681;14217;69452;8765;115907;13408;9341;13717;73476;9122;119064;11,58;8,10;11,89;60,83;7,61;11,90;8,35;12,27;59,92;7,56;11,26;7,85;11,52;61,71;7,66
