CO_REGSAUD;DS_NOME;Ano;Pop
24001;1ª Região de Saúde - São José de Mipibu;2020;395253
24002;2ª Região de Saúde - Mossoró;2020;502844
24003;3ª Região de Saúde - João Câmara;2020;361240
24004;4ª Região de Saúde - Caicó;2020;317503
24005;5ª Região de Saúde - Santa Cruz;2020;206057
24006;6ª Região de Saúde - Pau dos Ferros;2020;256534
24007;7ª Região de Saúde - Metropolitana;2020;1397058
24008;8ª Região de Saúde - Açu;2020;161799
25001;1ª Região Mata Atlântica;2020;1355619
25002;2ª Região;2020;308723
25003;3ª Região;2020;199578
25004;4ª Região;2020;115048
25005;5ª Região;2020;122390
25006;6ª Região;2020;241276
25007;7ª Região;2020;148846
25008;8ª Região;2020;120726
25009;9ª Região;2020;180042
25010;10ª Região;2020;118940
25011;11ª Região;2020;86101
25012;12ª Região;2020;177073
25013;13ª Região;2020;61006
25014;14ª Região;2020;155630
25015;15ª Região;2020;152213
25016;16ª Região;2020;554647
26001;Afogados da Ingazeira;2020;190520
26002;Arcoverde;2020;431000
26003;Caruaru;2020;1396964
26004;Garanhuns;2020;547943
26005;Goiana;2020;315209
26006;Limoeiro;2020;603666
26007;Ouricuri;2020;358810
26008;Palmares;2020;626721
26009;Petrolina;2020;516077
26010;Recife;2020;4273186
26011;Salgueiro;2020;148890
26012;Serra Talhada;2020;241616
27001;1ª Região de Saúde;2020;1313132
27002;2ª Região de Saúde;2020;168835
27003;3ª Região de Saúde;2020;229281
27004;4ª Região de Saúde;2020;146156
27005;5ª Região de Saúde;2020;244489
27006;6ª Região de Saúde;2020;211488
27007;7ª Região de Saúde;2020;542490
27008;8ª Região de Saúde;2020;158925
27009;9ª Região de Saúde;2020;240904
27010;10ª Região de Saúde;2020;163994
28001;Aracaju;2020;883995
28002;Estância;2020;251035
28003;Itabaiana;2020;257805
28004;Lagarto;2020;265812
28005;Nossa Senhora da Glória;2020;177410
28006;Nossa Senhora do Socorro;2020;354060
28007;Propriá;2020;162089
29001;Alagoinhas;2020;568038
29002;Barreiras;2020;479149
29003;Brumado;2020;429735
29004;Camaçari;2020;648210
29005;Cruz das Almas;2020;276535
29006;Feira de Santana;2020;1199502
29007;Guanambi;2020;472243
29008;Ibotirama;2020;202712
29009;Ilhéus;2020;315064
29010;Irecê;2020;431554
29011;Itaberaba;2020;262709
29012;Itabuna;2020;531146
29013;Itapetinga;2020;258949
29014;Jacobina;2020;409931
29015;Jequié;2020;503397
29016;Juazeiro;2020;555385
29017;Paulo Afonso;2020;264133
29018;Porto Seguro;2020;397339
29019;Ribeira do Pombal;2020;329326
29020;Salvador;2020;3544507
29021;Santa Maria da Vitória;2020;315818
29022;Santo Antônio de Jesus;2020;487109
29023;Seabra;2020;193164
29024;Senhor do Bonfim;2020;311638
29025;Serrinha;2020;666324
29026;Teixeira de Freitas;2020;471892
29027;Valença;2020;327597
29028;Vitória da Conquista;2020;669744
31001;Águas Formosas;2020;60825
31002;Além Paraíba;2020;58461
31003;Alfenas Machado;2020;328489
31004;Almenara;2020;185782
31005;Araçuaí;2020;91595
31006;Araxá;2020;190571
31007;Barbacena;2020;242418
31008;Belo Horizonte Nova Lima Caeté;2020;3459957
31009;Betim;2020;730545
31010;Bom Despacho;2020;109111
31011;Brasília de Minas São Francisco;2020;252041
31012;Carangola;2020;131089
31013;Caratinga;2020;206594
31014;Conselheiro Lafaiete Congonhas;2020;315820
31015;Contagem;2020;886388
31016;Coração de Jesus;2020;48617
31017;Coronel Fabriciano Timóteo;2020;235190
31018;Curvelo;2020;188583
31019;Diamantina;2020;174353
31020;Divinópolis Santo Antônio do Monte;2020;484217
31021;Formiga;2020;134057
31022;Francisco Sá;2020;75779
31023;Frutal Iturama;2020;182958
31024;Governador Valadares;2020;437945
31025;Guanhães;2020;117765
31026;Guaxupé;2020;164339
31027;Ipatinga;2020;414034
31028;Itabira;2020;240115
31029;Itajubá;2020;208756
31030;Itaobim;2020;82735
31031;Itaúna;2020;125682
31032;Ituiutaba;2020;198471
31033;Janaúba Monte Azul;2020;283248
31034;Januária;2020;118244
31035;João Monlevade;2020;141800
31036;João Pinheiro;2020;75748
31037;Juiz de Fora Lima Duarte Bom Jardim Min;2020;701442
31038;Lavras;2020;186890
31039;Leopoldina Cataguases;2020;186379
31040;Manga;2020;58366
31041;Manhuaçu;2020;350939
31042;Mantena;2020;71430
31043;Minas Novas Turmalina Capelinha;2020;127336
31044;Montes Claros Bocaiúva;2020;512554
31045;Muriaé;2020;177209
31046;Nanuque;2020;70053
31047;Ouro Preto;2020;188945
31048;Padre Paraíso;2020;63955
31049;Pará de Minas;2020;252186
31050;Passos Piumhi;2020;297150
31051;Patos de Minas;2020;361774
31052;Patrocínio Monte Carmelo;2020;198266
31053;Pedra Azul;2020;54973
31054;Pirapora;2020;149270
31055;Poços de Caldas;2020;238229
31056;Ponte Nova;2020;216648
31057;Pouso Alegre;2020;557108
31058;Resplendor;2020;91209
31059;Salinas Taiobeiras;2020;211556
31060;Santa Maria do Suaçuí São João Evangeli;2020;103435
31061;Santo Antônio do Amparo Campo Belo;2020;208520
31062;Santos Dumont;2020;51856
31063;São João del Rei;2020;244471
31064;São João Nepomuceno Bicas;2020;74275
31065;São Lourenço;2020;267772
31066;São Sebastião do Paraíso;2020;128133
31067;Sete Lagoas;2020;454278
31068;Teófilo Otoni Malacacheta Itambacuri;2020;331941
31069;Três Corações;2020;135326
31070;Três Pontas;2020;127768
31071;Ubá;2020;320743
31072;Uberaba;2020;422501
31073;Uberlândia Araguari;2020;922444
31074;Unaí;2020;277758
31075;Varginha;2020;203637
31076;Vespasiano;2020;329882
31077;Viçosa;2020;140416
32001;Central;2020;680005
32002;Metropolitana;2020;2310608
32003;Norte;2020;444617
32004;Sul;2020;703429
33001;Baia da Ilha Grande;2020;290153
33002;Baixada Litorânea;2020;840475
33003;Centro-Sul;2020;333408
33004;Médio Paraíba;2020;895418
33005;Metropolitana I;2020;10278332
33006;Metropolitana II;2020;2080895
33007;Noroeste;2020;340524
33008;Norte;2020;934305
33009;Serrana;2020;953035
35011;Alto do Tietê;2020;3039297
35012;Franco da Rocha;2020;609610
35013;Mananciais;2020;1159221
35014;Rota dos Bandeirantes;2020;1900837
35015;Grande ABC;2020;2800406
35016;São Paulo;2020;12300120
35021;Central do DRS II;2020;305955
35022;Lagos do DRS II;2020;206303
35023;Consórcios do DRS II;2020;281823
35031;Central do DRS III;2020;323257
35032;Centro Oeste do DRS III;2020;147339
35033;Norte do DRS III;2020;158370
35034;Coração do DRS III;2020;400215
35041;Baixada Santista;2020;1870867
35051;Norte - Barretos;2020;293794
35052;Sul - Barretos;2020;149007
35061;Vale do Jurumirim;2020;304996
35062;Bauru;2020;656439
35063;Polo Cuesta;2020;317648
35064;Jaú;2020;357049
35065;Lins;2020;170593
35071;Bragança;2020;476764
35072;Região Metropolitana de Campinas;2020;3249856
35073;Jundiaí;2020;816651
35074;Circuito das Águas;2020;136615
35081;Três Colinas;2020;429205
35082;Alta Anhanguera;2020;165102
35083;Alta Mogiana;2020;126322
35091;Adamantina;2020;139016
35092;Assis;2020;256295
35093;Marília;2020;392157
35094;Ourinhos;2020;237442
35095;Tupã;2020;129219
35101;Araras;2020;347635
35102;Limeira;2020;376666
35103;Piracicaba;2020;597999
35104;Rio Claro;2020;268803
35111;Alta Paulista;2020;136520
35112;Alta Sorocabana;2020;415114
35113;Alto Capivari;2020;59922
35114;Extremo Oeste Paulista;2020;99585
35115;Pontal do Paranapanema;2020;67904
35121;Vale do Ribeira;2020;286087
35131;Horizonte Verde;2020;448633
35132;Aquífero Guarani;2020;936488
35133;Vale das Cachoeiras;2020;141857
35141;Baixa Mogiana;2020;332387
35142;Mantiqueira;2020;287510
35143;Rio Pardo;2020;218517
35151;Catanduva;2020;321756
35152;Santa Fé do Sul;2020;47975
35153;Jales;2020;104468
35154;Fernandópolis;2020;117865
35155;São José do Rio Preto;2020;734836
35156;José Bonifácio;2020;105820
35157;Votuporanga;2020;202251
35161;Itapetininga;2020;511746
35162;Itapeva;2020;283608
35163;Sorocaba;2020;1745576
35171;Alto Vale do Paraíba;2020;1106551
35172;Circuito da Fé e Vale Histórico;2020;488396
35173;Litoral Norte;2020;336581
35174;Vale do Paraíba/Região Serrana;2020;628087
41001;1ª RS Paranaguá;2020;298701
41002;2ª RS Metropolitana;2020;3668164
41003;3ª RS Ponta Grossa;2020;641942
41004;4ª RS Irati;2020;176739
41005;5ª RS Guarapuava;2020;464863
41006;6ª RS União da Vitória;2020;179442
41007;7ª RS Pato Branco;2020;270751
41008;8ª RS Francisco Beltrão;2020;363277
41009;9ª RS Foz do Iguaçu;2020;411525
41010;10ª RS Cascavel;2020;556504
41011;11ª RS Campo Mourão;2020;337808
41012;12ª RS Umuarama;2020;281127
41013;13ª RS Cianorte;2020;161349
41014;14ª RS Paranavaí;2020;279982
41015;15ª RS Maringá;2020;839947
41016;16ª RS Apucarana;2020;387011
41017;17ª RS Londrina;2020;971477
41018;18ª RS Cornélio Procópio;2020;228602
41019;19ª RS Jacarezinho;2020;294138
41020;20ª RS Toledo;2020;401047
41021;21ª RS Telêmaco Borba;2020;190322
41022;22ª RS Ivaiporã;2020;133801
42001;Extremo Oeste;2020;234003
42002;Oeste;2020;365809
42003;Xanxerê;2020;202807
42004;Alto Vale do Itajaí;2020;301158
42005;Foz do Rio Itajaí;2020;731294
42006;Médio Vale do Itajaí;2020;808951
42007;Grande Florianópolis;2020;1230474
42008;Meio Oeste;2020;194068
42009;Alto Vale do Rio do Peixe;2020;297654
42010;Alto Uruguai Catarinense;2020;148447
42011;Nordeste;2020;1058298
42012;Planalto Norte;2020;382496
42013;Serra Catarinense;2020;289358
42014;Extremo Sul Catarinense;2020;204888
42015;Carbonífera;2020;443650
42016;Laguna;2020;372829
43001;Região 01 - Verdes Campos;2020;440998
43002;Região 02 - Entre Rios;2020;127049
43003;Região 03 - Fronteira Oeste;2020;474046
43004;Região 04 - Belas Praias;2020;155928
43005;Região 05 - Bons Ventos;2020;229137
43006;Região 06 - Vale do Paranhana e Costa S;2020;232354
43007;Região 07 - Vale dos Sinos;2020;822674
43008;Região 08 - Vale do Caí e Metropolitana;2020;775655
43009;Região 09 - Carbonífera/Costa Doce;2020;412877
43010;Região 10 - Capital e Vale do Gravataí;2020;2376772
43011;Região 11 - Sete Povos das Missões;2020;290384
43012;Região 12 - Portal das Missões;2020;156271
43013;Região 13 - Diversidade;2020;233099
43014;Região 14 - Fronteira Noroeste;2020;231558
43015;Região 15 - Caminho das Águas;2020;189752
43016;Região 16 - Alto Uruguai Gaúcho;2020;238693
43017;Região 17 - Planalto;2020;414138
43018;Região 18 - Araucárias;2020;134911
43019;Região 19 - Botucaraí;2020;119909
43020;Região 20 - Rota da Produção;2020;167144
43021;Região 21 - Sul;2020;889925
43022;Região 22 - Pampa;2020;191315
43023;Região 23 - Caxias e Hortênsias;2020;601952
43024;Região 24 - Campos de Cima da Serra;2020;100636
43025;Região 25 - Vinhedos e Basalto;2020;310614
43026;Região 26 - Uva Vale;2020;186534
43027;Região 27 - Jacuí Centro;2020;207691
43028;Região 28 - Vinte e Oito;2020;351375
43029;Região 29 - Vales e Montanhas;2020;224880
43030;Região 30 - Vale da Luz;2020;128619
50001;Campo Grande;2020;1530801
50002;Corumbá;2020;135339
50003;Dourados;2020;846980
50004;Três Lagoas;2020;287585
51001;Alto Tapajós;2020;105917
51002;Baixada Cuiabana;2020;995157
51003;Araguaia Xingu;2020;90517
51004;Centro Norte;2020;99452
51005;Garças Araguaia;2020;123685
51006;Médio Araguaia;2020;98854
51007;Médio Norte Matogrossense;2020;248680
51008;Noroeste Matogrossense;2020;166787
51009;Norte Araguaia Karajá;2020;24734
51010;Norte Matogrossense;2020;66500
51011;Oeste Matogrossense;2020;193755
51012;Sudoeste Matogrossense;2020;117243
51013;Sul Matogrossense;2020;526893
51014;Teles Pires;2020;439940
51015;Vale do Peixoto;2020;104605
51016;Vale dos Arinos;2020;52376
52001;Central;2020;1911749
52002;Centro Sul;2020;936171
52003;Entorno Norte;2020;268895
52004;Entorno Sul;2020;902304
52005;Estrada de Ferro;2020;312517
52006;Nordeste I;2020;47138
52007;Nordeste II;2020;105632
52008;Norte;2020;140189
52009;Oeste I;2020;116866
52010;Oeste II;2020;117202
52011;Pirineus;2020;522301
52012;Rio Vermelho;2020;203123
52013;São Patrício I;2020;169578
52014;Serra da Mesa;2020;130739
52015;Sudoeste I;2020;462743
52016;Sudoeste II;2020;232350
52017;Sul;2020;255838
52018;São Patrício II;2020;182165
53001;Distrito Federal;2020;3223048
55;Brasil;2020;212077364
