CO_REGSAUD;DS_NOME;Ano;Pop
11001;Vale do Jamari;2020;281144
11002;Café;2020;182793
11003;Central;2020;371152
11004;Madeira-Mamoré;2020;659444
11005;Zona da Mata;2020;146746
11006;Cone Sul;2020;164863
11007;Vale do Guaporé;2020;51848
12001;Alto Acre;2020;70601
12002;Baixo Acre e Purus;2020;568143
12003;Juruá e Tarauacá/Envira;2020;228067
13001;Entorno Manaus e Alto Rio Negro;2020;2634668
13002;Rio Negro e Solimões;2020;304849
13003;Rio Madeira;2020;204179
13004;Médio Amazonas;2020;177053
13005;Baixo Amazonas;2020;256454
13006;Regional Purus;2020;135768
13007;Regional Juruá;2020;141018
13008;Triângulo;2020;128324
13009;Alto Solimões;2020;257895
14001;Centro Norte;2020;458246
14002;Sul;2020;88646
15001;Araguaia;2020;577751
15002;Baixo Amazonas;2020;766117
15003;Carajás;2020;888959
15004;Lago de Tucuruí;2020;468986
15006;Metropolitana I;2020;2220824
15007;Metropolitana II;2020;367869
15008;Metropolitana III;2020;948645
15009;Rio Caetés;2020;539765
15010;Tapajós;2020;216620
15011;Tocantins;2020;712234
15012;Xingu;2020;351634
15013;Marajó I;2020;246216
15014;Marajó II;2020;323286
16001;Área Central;2020;565086
16002;Área Norte;2020;69906
16003;Área Sudoeste;2020;207922
17001;Médio Norte Araguaia;2020;307127
17002;Bico do Papagaio;2020;212883
17003;Sudeste;2020;99878
17004;Cerrado Tocantins Araguaia;2020;164262
17005;Ilha do Bananal;2020;186723
17006;Capim Dourado;2020;383236
17007;Cantão;2020;132297
17008;Amor Perfeito;2020;112915
21001;Açailândia;2020;302997
21002;Bacabal;2020;266591
21003;Balsas;2020;252745
21004;Barra do Corda;2020;235802
21005;Caxias;2020;305711
21006;Chapadinha;2020;390005
21007;Codó;2020;308021
21008;Imperatriz;2020;517926
21009;Itapecuru Mirim;2020;387943
21010;Pedreiras;2020;214462
21011;Pinheiro;2020;398869
21012;Presidente Dutra;2020;288269
21013;Rosário;2020;306312
21014;Santa Inês;2020;393008
21015;São João dos Patos;2020;245151
21016;São Luís;2020;1476067
21017;Timon;2020;252468
21018;Viana;2020;273233
21019;Zé Doca;2020;305577
22001;Carnaubais;2020;160833
22002;Chapada das Mangabeiras;2020;195117
22003;Cocais;2020;397075
22004;Entre Rios;2020;1219796
22005;Planície Litorânea;2020;276204
22006;Serra da Capivara;2020;146791
22007;Tabuleiros do Alto Parnaíba;2020;47541
22008;Vale do Canindé;2020;107513
22009;Vale do Rio Guaribas;2020;372231
22010;Vale do Sambito;2020;104963
22011;Vale dos Rios Piauí e Itaueiras;2020;205823
23001;1ª Região Fortaleza;2020;2852791
23002;2ª Região Caucaia;2020;635814
23003;3ª Região Maracanaú;2020;552254
23004;4ª Região Baturité;2020;140223
23005;5ª Região Canindé;2020;208700
23006;6ª Região Itapipoca;2020;303376
23007;7ª Região Aracati;2020;119453
23008;8ª Região Quixadá;2020;327192
23009;9ª Região Russas;2020;200919
23010;10ª Região Limoeiro do Norte;2020;227521
23011;11ª Região Sobral;2020;655664
23012;12ª Região Acaraú;2020;233650
23013;13ª Região Tianguá;2020;321139
23014;14ª Região Tauá;2020;114857
23015;15ª Região Crateús;2020;297379
23016;16ª Região Camocim;2020;158719
23017;17ª Região Icó;2020;171790
23018;18ª Região Iguatú;2020;323878
23019;19ª Região Brejo Santo;2020;215876
23020;20ª Região Crato;2020;349733
23021;21ª Região Juazeiro do Norte;2020;431389
23022;22ª Região Cascavel;2020;336040
