CO_REGSAUD;DS_NOME;Ano;tx_mortinf
11001;Vale do Jamari;2010;14,21
11002;Café;2010;15,92
11003;Central;2010;19,70
11004;Madeira-Mamoré;2010;21,08
11005;Zona da Mata;2010;16,56
11006;Cone Sul;2010;20,45
11007;Vale do Guaporé;2010;8,43
12001;Alto Acre;2010;18,00
12002;Baixo Acre e Purus;2010;18,83
12003;Juruá e Tarauacá/Envira;2010;14,73
13001;Entorno Manaus e Alto Rio Negro;2010;14,55
13002;Rio Negro e Solimões;2010;16,34
13003;Rio Madeira;2010;14,75
13004;Médio Amazonas;2010;12,89
13005;Baixo Amazonas;2010;14,44
13006;Regional Purus;2010;14,85
13007;Regional Juruá;2010;29,19
13008;Triângulo;2010;20,61
13009;Alto Solimões;2010;21,77
14001;Centro Norte;2010;13,47
14002;Sul;2010;9,41
15001;Araguaia;2010;15,20
15002;Baixo Amazonas;2010;18,67
15003;Carajás;2010;17,38
15004;Lago de Tucuruí;2010;21,40
15006;Metropolitana I;2010;16,48
15007;Metropolitana II;2010;18,72
15008;Metropolitana III;2010;17,01
15009;Rio Caetés;2010;14,95
15010;Tapajós;2010;25,22
15011;Tocantins;2010;19,74
15012;Xingu;2010;23,67
15013;Marajó I;2010;20,83
15014;Marajó II;2010;16,97
16001;Área Central;2010;20,74
16002;Área Norte;2010;18,17
16003;Área Sudoeste;2010;15,16
17001;Médio Norte Araguaia;2010;15,64
17002;Bico do Papagaio;2010;17,83
17003;Sudeste;2010;26,88
17004;Cerrado Tocantins Araguaia;2010;20,96
17005;Ilha do Bananal;2010;15,87
17006;Capim Dourado;2010;11,72
17007;Cantão;2010;10,43
17008;Amor Perfeito;2010;19,56
21001;Açailândia;2010;15,33
21002;Bacabal;2010;16,09
21003;Balsas;2010;18,90
21004;Barra do Corda;2010;16,76
21005;Caxias;2010;19,61
21006;Chapadinha;2010;16,52
21007;Codó;2010;15,79
21008;Imperatriz;2010;14,58
21009;Itapecuru Mirim;2010;15,90
21010;Pedreiras;2010;14,62
21011;Pinheiro;2010;16,50
21012;Presidente Dutra;2010;9,16
21013;Rosário;2010;13,52
21014;Santa Inês;2010;11,92
21015;São João dos Patos;2010;15,48
21016;São Luís;2010;16,16
21017;Timon;2010;19,21
21018;Viana;2010;15,48
21019;Zé Doca;2010;13,66
22001;Carnaubais;2010;9,52
22002;Chapada das Mangabeiras;2010;17,84
22003;Cocais;2010;15,07
22004;Entre Rios;2010;16,29
22005;Planície Litorânea;2010;22,06
22006;Serra da Capivara;2010;17,70
22007;Tabuleiros do Alto Parnaíba;2010;7,46
22008;Vale do Canindé;2010;16,76
22009;Vale do Rio Guaribas;2010;20,16
22010;Vale do Sambito;2010;14,27
22011;Vale dos Rios Piauí e Itaueiras;2010;18,89
23001;1ª Região Fortaleza;2010;12,14
23002;2ª Região Caucaia;2010;11,55
23003;3ª Região Maracanaú;2010;10,49
23004;4ª Região Baturité;2010;14,35
23005;5ª Região Canindé;2010;11,70
23006;6ª Região Itapipoca;2010;13,37
23007;7ª Região Aracati;2010;9,54
23008;8ª Região Quixadá;2010;14,34
23009;9ª Região Russas;2010;9,63
23010;10ª Região Limoeiro do Norte;2010;11,69
23011;11ª Região Sobral;2010;16,49
23012;12ª Região Acaraú;2010;10,60
23013;13ª Região Tianguá;2010;14,70
23014;14ª Região Tauá;2010;14,24
23015;15ª Região Crateús;2010;14,35
23016;16ª Região Camocim;2010;14,30
23017;17ª Região Icó;2010;12,07
23018;18ª Região Iguatú;2010;11,28
23019;19ª Região Brejo Santo;2010;18,13
23020;20ª Região Crato;2010;18,01
23021;21ª Região Juazeiro do Norte;2010;16,11
23022;22ª Região Cascavel;2010;11,59
24001;1ª Região de Saúde - São José de Mipibu;2010;14,30
24002;2ª Região de Saúde - Mossoró;2010;15,84
24003;3ª Região de Saúde - João Câmara;2010;13,02
24004;4ª Região de Saúde - Caicó;2010;18,20
24005;5ª Região de Saúde - Santa Cruz;2010;9,44
24006;6ª Região de Saúde - Pau dos Ferros;2010;14,45
24007;7ª Região de Saúde - Metropolitana;2010;11,31
24008;8ª Região de Saúde - Açu;2010;13,18
25001;1ª Região Mata Atlântica;2010;13,10
25002;2ª Região;2010;12,01
25003;3ª Região;2010;14,26
25004;4ª Região;2010;14,22
25005;5ª Região;2010;15,90
25006;6ª Região;2010;14,79
25007;7ª Região;2010;16,52
25008;8ª Região;2010;12,89
25009;9ª Região;2010;17,95
25010;10ª Região;2010;21,25
25011;11ª Região;2010;14,87
25012;12ª Região;2010;17,75
25013;13ª Região;2010;7,88
25014;14ª Região;2010;14,17
25015;15ª Região;2010;9,03
25016;16ª Região;2010;17,16
26001;Afogados da Ingazeira;2010;19,59
26002;Arcoverde;2010;21,24
26003;Caruaru;2010;15,75
26004;Garanhuns;2010;15,98
26005;Goiana;2010;14,46
26006;Limoeiro;2010;12,17
26007;Ouricuri;2010;22,22
26008;Palmares;2010;14,05
26009;Petrolina;2010;17,07
26010;Recife;2010;13,34
26011;Salgueiro;2010;15,29
26012;Serra Talhada;2010;19,04
27001;1ª Região de Saúde;2010;15,77
27002;2ª Região de Saúde;2010;14,80
27003;3ª Região de Saúde;2010;19,66
27004;4ª Região de Saúde;2010;17,93
27005;5ª Região de Saúde;2010;16,80
27006;6ª Região de Saúde;2010;15,77
27007;7ª Região de Saúde;2010;18,40
27008;8ª Região de Saúde;2010;14,12
27009;9ª Região de Saúde;2010;19,17
27010;10ª Região de Saúde;2010;18,88
28001;Aracaju;2010;17,05
28002;Estância;2010;13,67
28003;Itabaiana;2010;15,38
28004;Lagarto;2010;10,34
28005;Nossa Senhora da Glória;2010;17,64
28006;Nossa Senhora do Socorro;2010;13,65
28007;Propriá;2010;12,02
29001;Alagoinhas;2010;19,39
29002;Barreiras;2010;14,62
29003;Brumado;2010;19,48
29004;Camaçari;2010;16,29
29005;Cruz das Almas;2010;16,21
29006;Feira de Santana;2010;16,41
29007;Guanambi;2010;15,75
29008;Ibotirama;2010;18,23
29009;Ilhéus;2010;21,10
29010;Irecê;2010;19,19
29011;Itaberaba;2010;22,73
29012;Itabuna;2010;23,69
29013;Itapetinga;2010;21,55
29014;Jacobina;2010;20,03
29015;Jequié;2010;16,85
29016;Juazeiro;2010;15,15
29017;Paulo Afonso;2010;21,29
29018;Porto Seguro;2010;17,31
29019;Ribeira do Pombal;2010;13,58
29020;Salvador;2010;16,59
29021;Santa Maria da Vitória;2010;14,75
29022;Santo Antônio de Jesus;2010;19,09
29023;Seabra;2010;17,24
29024;Senhor do Bonfim;2010;15,92
29025;Serrinha;2010;14,38
29026;Teixeira de Freitas;2010;13,98
29027;Valença;2010;22,88
29028;Vitória da Conquista;2010;21,63
31001;Águas Formosas;2010;26,26
31002;Além Paraíba;2010;21,13
31003;Alfenas Machado;2010;10,87
31004;Almenara;2010;16,70
31005;Araçuaí;2010;11,01
31006;Araxá;2010;11,30
31007;Barbacena;2010;12,67
