CO_REGSAUD;DS_NOME;Ano;TxCres_1020
29019;Ribeira do Pombal;2020;0,71
29020;Salvador;2020;1,21
29021;Santa Maria da Vitória;2020;0,80
29022;Santo Antônio de Jesus;2020;1,10
29023;Seabra;2020;0,95
29024;Senhor do Bonfim;2020;0,88
29025;Serrinha;2020;0,99
29026;Teixeira de Freitas;2020;1,25
29027;Valença;2020;1,08
29028;Vitória da Conquista;2020;0,57
31001;Águas Formosas;2020;0,47
31002;Além Paraíba;2020;0,47
31003;Alfenas Machado;2020;0,73
31004;Almenara;2020;0,60
31005;Araçuaí;2020;0,35
31006;Araxá;2020;1,29
31007;Barbacena;2020;0,74
31008;Belo Horizonte Nova Lima Caeté;2020;0,83
31009;Betim;2020;1,59
31010;Bom Despacho;2020;0,79
31011;Brasília de Minas São Francisco;2020;0,72
31012;Carangola;2020;0,57
31013;Caratinga;2020;0,73
31014;Conselheiro Lafaiete Congonhas;2020;0,91
31015;Contagem;2020;1,18
31016;Coração de Jesus;2020;0,34
31017;Coronel Fabriciano Timóteo;2020;0,77
31018;Curvelo;2020;0,77
31019;Diamantina;2020;0,46
31020;Divinópolis Santo Antônio do Monte;2020;1,21
31021;Formiga;2020;0,57
31022;Francisco Sá;2020;0,66
31023;Frutal Iturama;2020;1,34
31024;Governador Valadares;2020;0,66
31025;Guanhães;2020;0,36
31026;Guaxupé;2020;0,61
31027;Ipatinga;2020;1,01
31028;Itabira;2020;0,95
31029;Itajubá;2020;0,63
31030;Itaobim;2020;0,25
31031;Itaúna;2020;0,97
31032;Ituiutaba;2020;0,74
31033;Janaúba Monte Azul;2020;0,64
31034;Januária;2020;0,70
31035;João Monlevade;2020;0,67
31036;João Pinheiro;2020;1,07
31037;Juiz de Fora Lima Duarte Bom Jardim Min;2020;0,96
31038;Lavras;2020;0,97
31039;Leopoldina Cataguases;2020;0,70
31040;Manga;2020;0,12
31041;Manhuaçu;2020;0,82
31042;Mantena;2020;0,47
31043;Minas Novas Turmalina Capelinha;2020;0,72
31044;Montes Claros Bocaiúva;2020;1,21
31045;Muriaé;2020;0,78
31046;Nanuque;2020;0,11
31047;Ouro Preto;2020;1,07
31048;Padre Paraíso;2020;0,69
31049;Pará de Minas;2020;1,94
31050;Passos Piumhi;2020;0,83
31051;Patos de Minas;2020;0,85
31052;Patrocínio Monte Carmelo;2020;0,79
31053;Pedra Azul;2020;0,67
31054;Pirapora;2020;0,76
31055;Poços de Caldas;2020;1,00
31056;Ponte Nova;2020;0,21
31057;Pouso Alegre;2020;1,17
31058;Resplendor;2020;0,36
31059;Salinas Taiobeiras;2020;0,66
31060;Santa Maria do Suaçuí São João Evangeli;2020;0,14
