CO_REGSAUD;DS_NOME;Ano;Pop_0a14;Pop_15a64;Pop_65emais;RazDep
11001;Vale do Jamari;2000;62093;108276;4594;61,59
11002;Café;2000;50712;97165;5840;58,20
11003;Central;2000;120860;222019;12742;60,18
11004;Madeira-Mamoré;2000;142847;252437;12129;61,39
11005;Zona da Mata;2000;46396;83954;5053;61,28
11006;Cone Sul;2000;40120;75201;4401;59,20
11007;Vale do Guaporé;2000;12729;19430;789;69,57
12001;Alto Acre;2000;16866;24665;1956;76,31
12002;Baixo Acre e Purus;2000;133057;214269;13545;68,42
12003;Juruá e Tarauacá/Envira;2000;66528;81392;5248;88,19
13001;Entorno Manaus e Alto Rio Negro;2000;566947;1024291;52183;60,44
13002;Rio Negro e Solimões;2000;90184;108275;7214;89,95
13003;Rio Madeira;2000;57973;67776;4687;92,45
13004;Médio Amazonas;2000;52890;67059;5046;86,40
13005;Baixo Amazonas;2000;78627;92106;7869;93,91
13006;Regional Purus;2000;46777;54397;3165;91,81
13007;Regional Juruá;2000;50787;51385;2768;104,22
13008;Triângulo;2000;54868;62781;3160;92,43
13009;Alto Solimões;2000;94112;99816;5414;99,71
14001;Centro Norte;2000;103345;161374;7124;68,46
14002;Sul;2000;21519;29718;1317;76,84
15001;Araguaia;2000;123417;204692;9866;65,11
15002;Baixo Amazonas;2000;246667;341725;26383;79,90
15003;Carajás;2000;212393;318591;16180;71,74
15004;Lago de Tucuruí;2000;99654;143757;6316;73,71
15006;Metropolitana I;2000;536506;1183933;75097;51,66
15007;Metropolitana II;2000;107565;151844;11443;78,38
15008;Metropolitana III;2000;261910;377700;26593;76,38
15009;Rio Caetés;2000;166164;226867;19915;82,02
15010;Tapajós;2000;74390;118804;4748;66,61
15011;Tocantins;2000;197704;253463;18902;85,46
15012;Xingu;2000;98066;144477;7372;72,98
15013;Marajó I;2000;69581;87765;7448;87,77
15014;Marajó II;2000;102639;104280;7490;105,61
16001;Área Central;2000;117814;185061;8513;68,26
16002;Área Norte;2000;16021;19197;926;88,28
16003;Área Sudoeste;2000;53990;72118;3392;79,57
17001;Médio Norte Araguaia;2000;76186;129414;9674;66,35
17002;Bico do Papagaio;2000;66496;95012;8443;78,87
17003;Sudeste;2000;32318;49070;4588;75,21
17004;Cerrado Tocantins Araguaia;2000;44507;77226;6548;66,11
17005;Ilha do Bananal;2000;51012;99397;7686;59,05
17006;Capim Dourado;2000;70961;131945;5701;58,10
17007;Cantão;2000;31894;59431;4871;61,86
17008;Amor Perfeito;2000;33998;55764;4956;69,86
21001;Açailândia;2000;84492;124263;6807;73,47
21002;Bacabal;2000;88657;136098;12759;74,52
21003;Balsas;2000;78654;109143;9759;81,01
21004;Barra do Corda;2000;76219;98865;8344;85,53
21005;Caxias;2000;94397;144808;14645;75,30
21006;Chapadinha;2000;114971;153744;16046;85,22
21007;Codó;2000;100100;149888;15592;77,19
21008;Imperatriz;2000;158515;260957;19536;68,23
21009;Itapecuru Mirim;2000;109997;146510;14734;85,13
21010;Pedreiras;2000;74352;117903;11545;72,85
21011;Pinheiro;2000;128003;184196;18156;79,35
21012;Presidente Dutra;2000;96218;147311;14211;74,96
21013;Rosário;2000;91220;112392;11358;91,27
21014;Santa Inês;2000;137020;191596;16983;80,38
21015;São João dos Patos;2000;78885;118483;11735;76,48
21016;São Luís;2000;343406;707385;41188;54,37
21017;Timon;2000;72924;118539;9985;69,94
21018;Viana;2000;84346;121083;12523;80,00
21019;Zé Doca;2000;94653;125327;10049;83,54
22001;Carnaubais;2000;49837;89887;9827;66,38
22002;Chapada das Mangabeiras;2000;63783;95926;9141;76,02
22003;Cocais;2000;130800;205090;21746;74,38
22004;Entre Rios;2000;328240;655487;51606;57,95
22005;Planície Litorânea;2000;82282;141683;14441;68,27
22006;Serra da Capivara;2000;44014;75061;7536;68,68
22007;Tabuleiros do Alto Parnaíba;2000;13989;21167;2042;75,74
22008;Vale do Canindé;2000;33277;57618;6172;68,47
22009;Vale do Rio Guaribas;2000;108906;202123;19716;63,64
22010;Vale do Sambito;2000;32480;62965;7813;63,99
22011;Vale dos Rios Piauí e Itaueiras;2000;66884;119210;12529;66,62
23001;1ª Região Fortaleza;2000;671986;1475763;114839;53,32
23002;2ª Região Caucaia;2000;163159;269665;22381;68,80
23003;3ª Região Maracanaú;2000;142680;242565;19005;66,66
23004;4ª Região Baturité;2000;44256;70273;9401;76,36
23005;5ª Região Canindé;2000;65738;98054;13094;80,40
23006;6ª Região Itapipoca;2000;88020;125185;14726;82,08
23007;7ª Região Aracati;2000;31404;58477;6003;63,97
23008;8ª Região Quixadá;2000;96586;159481;20889;73,66
23009;9ª Região Russas;2000;58865;106139;12641;67,37
23010;10ª Região Limoeiro do Norte;2000;64434;122602;14830;64,65
23011;11ª Região Sobral;2000;195921;307155;38371;76,28
23012;12ª Região Acaraú;2000;69709;97971;10216;81,58
