CO_REGSAUD;DS_NOME;Ano;Pop_0a14;Pop_15a64;Pop_65emais;RazDep
23013;13ª Região Tianguá;2000;98478;143304;17191;80,72
23014;14ª Região Tauá;2000;37673;60914;7653;74,41
23015;15ª Região Crateús;2000;96936;163766;22807;73,12
23016;16ª Região Camocim;2000;53200;77365;8053;79,17
23017;17ª Região Icó;2000;53622;98168;12717;67,58
23018;18ª Região Iguatú;2000;91847;170432;21649;66,59
23019;19ª Região Brejo Santo;2000;66227;111812;13342;71,16
23020;20ª Região Crato;2000;103287;174837;21131;71,16
23021;21ª Região Juazeiro do Norte;2000;119194;206738;23260;68,91
23022;22ª Região Cascavel;2000;79047;138842;14685;67,51
24001;1ª Região de Saúde - São José de Mipibu;2000;111675;179830;21431;74,02
24002;2ª Região de Saúde - Mossoró;2000;114056;238130;22410;57,31
24003;3ª Região de Saúde - João Câmara;2000;104092;168364;19324;73,30
24004;4ª Região de Saúde - Caicó;2000;83196;176142;22760;60,15
24005;5ª Região de Saúde - Santa Cruz;2000;59092;97158;13810;75,03
24006;6ª Região de Saúde - Pau dos Ferros;2000;74156;142928;17887;64,40
24007;7ª Região de Saúde - Metropolitana;2000;290314;639484;51099;53,39
24008;8ª Região de Saúde - Açu;2000;41058;79242;9144;63,35
25001;1ª Região Mata Atlântica;2000;299351;655568;56378;54,26
25002;2ª Região;2000;98005;168744;25909;73,43
25003;3ª Região;2000;58753;104118;16097;71,89
25004;4ª Região;2000;32628;57141;8640;72,22
25005;5ª Região;2000;33046;64331;10593;67,84
25006;6ª Região;2000;65734;127074;15612;64,01
25007;7ª Região;2000;49058;88219;9948;66,89
25008;8ª Região;2000;32050;63200;7167;62,05
25009;9ª Região;2000;49457;95421;12291;64,71
25010;10ª Região;2000;30512;67754;8062;56,93
25011;11ª Região;2000;28401;43784;5072;76,45
25012;12ª Região;2000;54599;95258;13608;71,60
25013;13ª Região;2000;16925;35370;4704;61,15
25014;14ª Região;2000;44057;74838;9634;71,74
25015;15ª Região;2000;48097;77518;11368;76,71
25016;16ª Região;2000;142937;293688;33106;59,94
26001;Afogados da Ingazeira;2000;55882;103024;13746;67,58
26002;Arcoverde;2000;116507;191637;21970;72,26
26003;Caruaru;2000;342708;649522;80897;65,22
26004;Garanhuns;2000;165717;280989;35767;71,71
26005;Goiana;2000;96283;179357;18430;63,96
26006;Limoeiro;2000;168783;327236;36175;62,63
26007;Ouricuri;2000;110097;169447;17107;75,07
26008;Palmares;2000;184616;308928;29035;69,16
26009;Petrolina;2000;118883;208493;14204;63,83
26010;Recife;2000;988845;2352798;195996;50,36
26011;Salgueiro;2000;45256;75368;8040;70,71
26012;Serra Talhada;2000;69579;122205;14817;69,06
27001;1ª Região de Saúde;2000;312152;645109;43900;55,19
27002;2ª Região de Saúde;2000;55143;81569;6665;75,77
27003;3ª Região de Saúde;2000;76760;114884;10941;76,34
27004;4ª Região de Saúde;2000;50778;80250;7606;72,75
27005;5ª Região de Saúde;2000;74665;119578;8015;69,14
27006;6ª Região de Saúde;2000;62923;100316;9568;72,26
27007;7ª Região de Saúde;2000;162855;263261;22585;70,44
27008;8ª Região de Saúde;2000;51317;90942;10335;67,79
27009;9ª Região de Saúde;2000;88801;117616;12480;86,11
27010;10ª Região de Saúde;2000;54837;78705;8065;79,92
28001;Aracaju;2000;179209;400644;28375;51,81
28002;Estância;2000;76751;122363;10643;71,42
28003;Itabaiana;2000;69609;126360;12926;65,32
28004;Lagarto;2000;75756;131464;14150;68,39
28005;Nossa Senhora da Glória;2000;51133;77188;6740;74,98
28006;Nossa Senhora do Socorro;2000;91520;156289;9932;64,91
28007;Propriá;2000;51349;83261;8813;72,26
29001;Alagoinhas;2000;154564;274607;28922;66,82
29002;Barreiras;2000;112813;189740;14617;67,16
29003;Brumado;2000;123070;240117;28742;63,22
29004;Camaçari;2000;124676;242859;12788;56,60
29005;Cruz das Almas;2000;73840;144832;16126;62,12
29006;Feira de Santana;2000;311582;611950;59321;60,61
29007;Guanambi;2000;135267;249289;26962;65,08
29008;Ibotirama;2000;65874;97204;11613;79,72
29009;Ilhéus;2000;123079;227461;19427;62,65
29010;Irecê;2000;129488;223298;20208;67,04
29011;Itaberaba;2000;87079;137518;16670;75,44
29012;Itabuna;2000;172476;329265;33720;62,62
29013;Itapetinga;2000;76027;146251;16031;62,95
29014;Jacobina;2000;125174;216322;23668;68,81
29015;Jequié;2000;171653;316677;36961;65,88
29016;Juazeiro;2000;153540;269790;23925;65,78
29017;Paulo Afonso;2000;73395;132055;13071;65,48
29018;Porto Seguro;2000;102415;178340;11925;64,11
29019;Ribeira do Pombal;2000;104296;176372;20847;70,95
29020;Salvador;2000;756214;1945162;127637;45,44
29021;Santa Maria da Vitória;2000;100702;166314;16538;70,49
29022;Santo Antônio de Jesus;2000;128866;244196;29657;64,92
29023;Seabra;2000;56218;97127;12766;71,02
29024;Senhor do Bonfim;2000;91884;164154;17322;66,53
29025;Serrinha;2000;197778;334744;37537;70,30
29026;Teixeira de Freitas;2000;127573;224454;20143;65,81
29027;Valença;2000;98320;158312;13436;70,59
29028;Vitória da Conquista;2000;201109;403001;39287;59,65
31001;Águas Formosas;2000;19094;33787;4054;68,51
31002;Além Paraíba;2000;14178;35814;4759;52,88
31003;Alfenas Machado;2000;79125;187998;20124;52,79
31004;Almenara;2000;54069;101761;12391;65,31
31005;Araçuaí;2000;29776;52404;6117;68,49
31006;Araxá;2000;38500;95541;8832;49,54
31007;Barbacena;2000;56618;140118;14795;50,97
31008;Belo Horizonte Nova Lima Caeté;2000;755342;2018994;168270;45,75
31009;Betim;2000;156707;323299;20341;54,76
31010;Bom Despacho;2000;25686;61636;6642;52,45
31011;Brasília de Minas São Francisco;2000;82672;125915;12515;75,60
31012;Carangola;2000;34738;76106;8837;57,26
31013;Caratinga;2000;53480;114723;12738;57,72
31014;Conselheiro Lafaiete Congonhas;2000;73780;173102;16145;51,95
31015;Contagem;2000;196236;466607;25492;47,52
31016;Coração de Jesus;2000;16490;27756;2751;69,32
31017;Coronel Fabriciano Timóteo;2000;56928;135608;10985;50,08
31018;Curvelo;2000;49071;103373;10955;58,07
31019;Diamantina;2000;57182;95873;10533;70,63
31020;Divinópolis Santo Antônio do Monte;2000;98329;250810;22483;48,17
31021;Formiga;2000;30731;82650;8905;47,96
31022;Francisco Sá;2000;24999;38942;3628;73,51
31023;Frutal Iturama;2000;36019;90379;8710;49,49
31024;Governador Valadares;2000;115543;248995;25804;56,77
31025;Guanhães;2000;38036;66441;8876;70,61
31026;Guaxupé;2000;40474;97079;10789;52,81
31027;Ipatinga;2000;96948;221761;16952;51,36
31028;Itabira;2000;57636;128040;12279;54,60
31029;Itajubá;2000;52134;121855;13512;53,87
31030;Itaobim;2000;27844;48208;5898;69,99
31031;Itaúna;2000;27325;69121;6744;49,29
31032;Ituiutaba;2000;43741;115573;13728;49,73
31033;Janaúba Monte Azul;2000;87267;153617;13073;65,32
31034;Januária;2000;38324;59560;6387;75,07
31035;João Monlevade;2000;33975;83681;8414;50,66
31036;João Pinheiro;2000;19971;37709;2771;60,31
31037;Juiz de Fora Lima Duarte Bom Jardim Min;2000;142658;390623;43950;47,77
31038;Lavras;2000;40853;101557;10999;51,06
31039;Leopoldina Cataguases;2000;41574;108784;14085;51,16
31040;Manga;2000;22494;33690;3371;76,77
31041;Manhuaçu;2000;90885;188441;20249;58,98
31042;Mantena;2000;18693;42735;5407;56,39
31043;Minas Novas Turmalina Capelinha;2000;42597;64024;5080;74,47
31044;Montes Claros Bocaiúva;2000;120957;254757;17656;54,41
31045;Muriaé;2000;40956;100055;12082;53,01
31046;Nanuque;2000;21129;45214;5452;58,79
31047;Ouro Preto;2000;43482;98979;8427;52,44
31048;Padre Paraíso;2000;20898;31958;3683;76,92
31049;Pará de Minas;2000;44021;102026;8261;51,24
31050;Passos Piumhi;2000;68520;168084;16712;50,71
31051;Patos de Minas;2000;83755;205047;17960;49,61
31052;Patrocínio Monte Carmelo;2000;48073;113660;8878;50,11
31053;Pedra Azul;2000;17138;28868;2818;69,13
31054;Pirapora;2000;44047;79210;6236;63,48
31055;Poços de Caldas;2000;47200;132369;14371;46,51
31056;Ponte Nova;2000;61068;137426;18228;57,70
31057;Pouso Alegre;2000;113972;288789;29178;49,57
31058;Resplendor;2000;24441;55957;7412;56,92
31059;Salinas Taiobeiras;2000;64699;112277;11361;67,74
31060;Santa Maria do Suaçuí São João Evangeli;2000;36851;60342;7924;74,20
31061;Santo Antônio do Amparo Campo Belo;2000;48047;120741;14665;51,94
31062;Santos Dumont;2000;13526;33709;3785;51,35
31063;São João del Rei;2000;55508;142535;15500;49,82
31064;São João Nepomuceno Bicas;2000;16844;42294;6222;54,54
31065;São Lourenço;2000;64233;155196;18536;53,33
31066;São Sebastião do Paraíso;2000;30609;74731;8839;52,79
31067;Sete Lagoas;2000;106303;240127;21332;53,15
31068;Teófilo Otoni Malacacheta Itambacuri;2000;102500;185388;22042;67,18
31069;Três Corações;2000;33366;73000;7102;55,44
31070;Três Pontas;2000;33752;74554;7457;55,27
31071;Ubá;2000;71890;171520;20968;54,14
31072;Uberaba;2000;78509;211980;21512;47,18
31073;Uberlândia Araguari;2000;181079;472164;37454;46,28
31074;Unaí;2000;75473;141979;10641;60,65
31075;Varginha;2000;44379;110208;9640;49,02
31076;Vespasiano;2000;65842;145776;10416;52,31
31077;Viçosa;2000;33724;79988;8263;52,49
32001;Central;2000;144839;321819;28658;53,91
32002;Metropolitana;2000;467574;1117924;84762;49,41
32003;Norte;2000;108740;220324;19487;58,20
32004;Sul;2000;167816;377001;38288;54,67
33001;Baia da Ilha Grande;2000;50652;115147;7893;50,84
33002;Baixada Litorânea;2000;125673;289830;25557;52,18
33003;Centro-Sul;2000;76996;195482;22100;50,69
33004;Médio Paraíba;2000;202791;532497;49904;47,45
33005;Metropolitana I;2000;2265552;6173319;711114;48,22
33006;Metropolitana II;2000;415045;1176741;120013;45,47
33007;Noroeste;2000;78609;205381;26301;51,08
33008;Norte;2000;188869;451957;45362;51,83
33009;Serrana;2000;215452;561680;61365;49,28
35011;Alto do Tietê;2000;696137;1522534;87936;51,50
35012;Franco da Rocha;2000;131615;277572;14766;52,74
35013;Mananciais;2000;245278;540351;26607;50,32
35014;Rota dos Bandeirantes;2000;450571;1041164;55198;48,58
35015;Grande ABC;2000;606321;1624815;123586;44,92
35016;São Paulo;2000;2592829;7170643;670780;45,51
35021;Central do DRS II;2000;61734;174854;19379;46,39
35022;Lagos do DRS II;2000;44218;121225;13678;47,76
35023;Consórcios do DRS II;2000;55053;150578;16368;47,43
35031;Central do DRS III;2000;62393;170439;18059;47,20
35032;Centro Oeste do DRS III;2000;29510;79015;9335;49,16
35033;Norte do DRS III;2000;36839;93225;9115;49,29
35034;Coração do DRS III;2000;79340;213662;22668;47,74
35041;Baixada Santista;2000;382320;990836;103664;49,05
35051;Norte - Barretos;2000;64271;166055;18407;49,79
35052;Sul - Barretos;2000;36546;89981;10156;51,90
35061;Vale do Jurumirim;2000;71010;166332;17606;53,28
35062;Bauru;2000;139097;362094;38935;49,17
35063;Polo Cuesta;2000;65166;159294;18777;52,70
35064;Jaú;2000;71426;191766;23082;49,28
35065;Lins;2000;35618;94966;11895;50,03
35071;Bragança;2000;94729;238091;26220;50,80
35072;Região Metropolitana de Campinas;2000;597352;1604422;136252;45,72
35073;Jundiaí;2000;150414;395345;34372;46,74
35074;Circuito das Águas;2000;27234;75157;9706;49,15
35081;Três Colinas;2000;97586;232828;19869;50,45
35082;Alta Anhanguera;2000;34784;87667;8072;48,88
35083;Alta Mogiana;2000;28344;72716;7505;49,30
35091;Adamantina;2000;28525;80604;11399;49,53
35092;Assis;2000;56902;147387;17166;50,25
35093;Marília;2000;87042;225989;26093;50,06
35094;Ourinhos;2000;54030;133884;15052;51,60
35095;Tupã;2000;30394;82954;11041;49,95
35101;Araras;2000;73572;184088;18364;49,94
35102;Limeira;2000;76336;198305;17584;47,36
35103;Piracicaba;2000;122493;318094;32177;48,62
35104;Rio Claro;2000;51835;140584;16257;48,44
35111;Alta Paulista;2000;28460;78216;11007;50,46
35112;Alta Sorocabana;2000;89683;237172;26073;48,81
35113;Alto Capivari;2000;14615;35152;4028;53,04
35114;Extremo Oeste Paulista;2000;22617;59079;6318;48,98
35115;Pontal do Paranapanema;2000;21584;45366;3709;55,75
35121;Vale do Ribeira;2000;87272;166854;16189;62,01
35131;Horizonte Verde;2000;93392;227291;20350;50,04
35132;Aquífero Guarani;2000;172232;459498;47161;47,75
35133;Vale das Cachoeiras;2000;30572;75586;8782;52,07
35141;Baixa Mogiana;2000;71464;188142;18322;47,72
35142;Mantiqueira;2000;61651;162789;19023;49,56
35143;Rio Pardo;2000;54575;135297;15835;52,04
35151;Catanduva;2000;63846;179609;23047;48,38
35152;Santa Fé do Sul;2000;9616;28102;3869;47,99
35153;Jales;2000;23574;68496;8527;46,87
35154;Fernandópolis;2000;25044;72636;8840;46,65
35155;São José do Rio Preto;2000;132852;394477;43752;44,77
35156;José Bonifácio;2000;19049;52482;6388;48,47
35157;Votuporanga;2000;39002;116321;14091;45,64
35161;Itapetininga;2000;113660;256712;24737;53,91
35162;Itapeva;2000;89151;167143;15132;62,39
35163;Sorocaba;2000;361237;862793;75246;50,59
35171;Alto Vale do Paraíba;2000;233619;578511;40522;47,39
35172;Circuito da Fé e Vale Histórico;2000;115024;279853;27591;50,96
35173;Litoral Norte;2000;66776;147652;10228;52,15
35174;Vale do Paraíba/Região Serrana;2000;134350;329945;28039;49,22
41001;1ª RS Paranaguá;2000;74399;149516;11925;57,74
41002;2ª RS Metropolitana;2000;782714;1892195;138328;48,68
41003;3ª RS Ponta Grossa;2000;159074;331449;28331;56,54
41004;4ª RS Irati;2000;45596;94213;8984;57,93
41005;5ª RS Guarapuava;2000;143810;268899;20287;61,03
41006;6ª RS União da Vitória;2000;48725;97942;8806;58,74
41007;7ª RS Pato Branco;2000;73815;149162;12512;57,87
41008;8ª RS Francisco Beltrão;2000;96538;206396;19020;55,99
41009;9ª RS Foz do Iguaçu;2000;120050;245943;13398;54,26
41010;10ª RS Cascavel;2000;141864;304836;23106;54,12
41011;11ª RS Campo Mourão;2000;100469;223674;22505;54,98
41012;12ª RS Umuarama;2000;68849;169346;19789;52,34
41013;13ª RS Cianorte;2000;34299;82301;8619;52,15
41014;14ª RS Paranavaí;2000;69794;161190;17788;54,33
41015;15ª RS Maringá;2000;165042;428596;39260;47,67
41016;16ª RS Apucarana;2000;84778;207510;20607;50,79
41017;17ª RS Londrina;2000;209603;526080;50453;49,43
41018;18ª RS Cornélio Procópio;2000;65827;151194;17212;54,92
41019;19ª RS Jacarezinho;2000;76536;174851;20294;55,38
41020;20ª RS Toledo;2000;88632;213709;19796;50,74
41021;21ª RS Telêmaco Borba;2000;50441;99730;9096;59,70
41022;22ª RS Ivaiporã;2000;46275;97002;10478;58,51
42001;Extremo Oeste;2000;63656;139631;13344;55,15
42002;Oeste;2000;82006;182934;14693;52,86
42003;Xanxerê;2000;55516;113697;9354;57,06
42004;Alto Vale do Itajaí;2000;69312;157927;15371;53,62
42005;Foz do Rio Itajaí;2000;112197;261931;20009;50,47
42006;Médio Vale do Itajaí;2000;138385;371466;29766;45,27
42007;Grande Florianópolis;2000;216011;557512;42792;46,42
42008;Meio Oeste;2000;48392;110456;9679;52,57
42009;Alto Vale do Rio do Peixe;2000;79503;163838;12351;56,06
42010;Alto Uruguai Catarinense;2000;36506;93073;8313;48,15
42011;Nordeste;2000;195856;469559;32591;48,65
42012;Planalto Norte;2000;99807;214281;17862;54,91
42013;Serra Catarinense;2000;85129;185444;16703;54,91
42014;Extremo Sul Catarinense;2000;45938;104829;9402;52,79
42015;Carbonífera;2000;98686;229669;16423;50,12
42016;Laguna;2000;82583;202306;19671;50,54
43001;Região 01 - Verdes Campos;2000;101723;269896;33448;50,08
43002;Região 02 - Entre Rios;2000;33184;84039;11343;52,98
43003;Região 03 - Fronteira Oeste;2000;136509;314094;34513;54,45
43004;Região 04 - Belas Praias;2000;32438;75898;7306;52,37
43005;Região 05 - Bons Ventos;2000;46157;111459;12530;52,65
43006;Região 06 - Vale do Paranhana e Costa S;2000;53753;127024;11508;51,38
43007;Região 07 - Vale dos Sinos;2000;189554;466298;34485;48,05
43008;Região 08 - Vale do Caí e Metropolitana;2000;179780;447789;39123;48,89
43009;Região 09 - Carbonífera/Costa Doce;2000;98205;238254;24142;51,35
43010;Região 10 - Capital e Vale do Gravataí;2000;535337;1432513;150014;47,84
43011;Região 11 - Sete Povos das Missões;2000;81963;196530;23120;53,47
43012;Região 12 - Portal das Missões;2000;41089;101612;11873;52,12
43013;Região 13 - Diversidade;2000;56627;147523;17710;50,39
43014;Região 14 - Fronteira Noroeste;2000;59673;157901;18728;49,65
43015;Região 15 - Caminho das Águas;2000;54885;127129;14878;54,88
43016;Região 16 - Alto Uruguai Gaúcho;2000;61255;154467;18660;51,74
43017;Região 17 - Planalto;2000;92767;237311;24753;49,52
43018;Região 18 - Araucárias;2000;32885;82829;9753;51,48
43019;Região 19 - Botucaraí;2000;32590;74912;8682;55,09
43020;Região 20 - Rota da Produção;2000;46115;105230;12433;55,64
43021;Região 21 - Sul;2000;208808;549914;69576;50,62
43022;Região 22 - Pampa;2000;48607;117187;14916;54,21
43023;Região 23 - Caxias e Hortênsias;2000;112642;307008;26115;45,20
43024;Região 24 - Campos de Cima da Serra;2000;25494;59517;6860;54,36
43025;Região 25 - Vinhedos e Basalto;2000;55576;168472;18660;44,06
43026;Região 26 - Uva Vale;2000;37198;103978;10236;45,62
43027;Região 27 - Jacuí Centro;2000;51322;133149;18053;52,10
43028;Região 28 - Vinte e Oito;2000;76843;206447;24447;49,06
43029;Região 29 - Vales e Montanhas;2000;46130;130329;16313;47,91
43030;Região 30 - Vale da Luz;2000;25618;71275;8909;48,44
50001;Campo Grande;2000;335313;730112;54604;53,41
50002;Corumbá;2000;37640;67969;5405;63,33
50003;Dourados;2000;200825;398040;32374;58,59
50004;Três Lagoas;2000;62582;141084;12053;52,90
51001;Alto Tapajós;2000;29336;57606;3033;56,19
51002;Baixada Cuiabana;2000;242510;528983;30555;51,62
51003;Araguaia Xingu;2000;20907;36562;1781;62,05
51004;Centro Norte;2000;28634;52474;3751;61,72
51005;Garças Araguaia;2000;34619;72681;4917;54,40
51006;Médio Araguaia;2000;19490;37102;1802;57,39
51007;Médio Norte Matogrossense;2000;50722;99383;5112;56,18
51008;Noroeste Matogrossense;2000;33249;61315;2540;58,37
51009;Norte Araguaia Karajá;2000;6742;11815;830;64,09
51010;Norte Matogrossense;2000;22133;43358;2740;57,37
51011;Oeste Matogrossense;2000;54971;111499;8040;56,51
51012;Sudoeste Matogrossense;2000;31867;59611;3264;58,93
51013;Sul Matogrossense;2000;108239;234231;15194;52,70
51014;Teles Pires;2000;65906;125783;3964;55,55
51015;Vale do Peixoto;2000;29727;52245;2364;61,42
51016;Vale dos Arinos;2000;16829;32266;1671;57,34
52001;Central;2000;361781;949976;64766;44,90
52002;Centro Sul;2000;182457;387766;22894;52,96
52003;Entorno Norte;2000;65578;115404;6333;62,31
52004;Entorno Sul;2000;193070;335986;13398;61,45
52005;Estrada de Ferro;2000;55603;139450;11999;48,48
52006;Nordeste I;2000;14793;23981;2072;70,33
52007;Nordeste II;2000;28457;50619;3930;63,98
52008;Norte;2000;42094;89858;6753;54,36
52009;Oeste I;2000;31402;76289;7213;50,62
52010;Oeste II;2000;25999;64767;6256;49,80
52011;Pirineus;2000;110262;251357;19269;51,53
52012;Rio Vermelho;2000;52509;122810;10233;51,09
52013;São Patrício I;2000;44557;103845;9383;51,94
52014;Serra da Mesa;2000;33601;70757;5959;55,91
52015;Sudoeste I;2000;83356;193754;15171;50,85
52016;Sudoeste II;2000;47646;106419;8867;53,10
52017;Sul;2000;55180;138215;12911;49,26
52018;São Patrício II;2000;38400;81321;6502;55,22
53001;Distrito Federal;2000;583079;1400541;67526;46,45
;;2000;50266122;109597948;9935100;54,93
