CO_REGSAUD;DS_NOME;Ano;TxCres_0010
33006;Metropolitana II;2010;1,26
33007;Noroeste;2010;0,62
33008;Norte;2010;2,01
33009;Serrana;2010;0,84
35011;Alto do Tietê;2010;1,45
35012;Franco da Rocha;2010;2,02
35013;Mananciais;2010;1,97
35014;Rota dos Bandeirantes;2010;1,01
35015;Grande ABC;2010;0,81
35016;São Paulo;2010;0,76
35021;Central do DRS II;2010;0,84
35022;Lagos do DRS II;2010;0,62
35023;Consórcios do DRS II;2010;1,21
35031;Central do DRS III;2010;1,31
35032;Centro Oeste do DRS III;2010;1,12
35033;Norte do DRS III;2010;0,54
35034;Coração do DRS III;2010;1,21
35041;Baixada Santista;2010;1,20
35051;Norte - Barretos;2010;0,77
35052;Sul - Barretos;2010;0,29
35061;Vale do Jurumirim;2010;0,85
35062;Bauru;2010;0,94
35063;Polo Cuesta;2010;1,39
35064;Jaú;2010;1,10
35065;Lins;2010;0,85
35071;Bragança;2010;1,50
35072;Região Metropolitana de Campinas;2010;1,79
35073;Jundiaí;2010;1,88
35074;Circuito das Águas;2010;0,96
35081;Três Colinas;2010;0,99
35082;Alta Anhanguera;2010;1,19
35083;Alta Mogiana;2010;0,68
35091;Adamantina;2010;0,63
35092;Assis;2010;0,65
35093;Marília;2010;0,64
35094;Ourinhos;2010;0,71
35095;Tupã;2010;0,01
35101;Araras;2010;1,16
35102;Limeira;2010;1,31
35103;Piracicaba;2010;1,19
35104;Rio Claro;2010;1,31
35111;Alta Paulista;2010;0,66
35112;Alta Sorocabana;2010;0,74
35113;Alto Capivari;2010;0,42
35114;Extremo Oeste Paulista;2010;0,51
35115;Pontal do Paranapanema;2010;-0,42
35121;Vale do Ribeira;2010;0,12
35131;Horizonte Verde;2010;1,44
35132;Aquífero Guarani;2010;1,74
35133;Vale das Cachoeiras;2010;1,04
35141;Baixa Mogiana;2010;0,85
35142;Mantiqueira;2010;0,77
35143;Rio Pardo;2010;0,14
35151;Catanduva;2010;0,90
35152;Santa Fé do Sul;2010;0,63
35153;Jales;2010;0,01
35154;Fernandópolis;2010;0,38
35155;São José do Rio Preto;2010;1,30
35156;José Bonifácio;2010;1,64
35157;Votuporanga;2010;0,83
35161;Itapetininga;2010;1,34
35162;Itapeva;2010;0,05
35163;Sorocaba;2010;1,57
35171;Alto Vale do Paraíba;2010;1,35
35172;Circuito da Fé e Vale Histórico;2010;0,64
35173;Litoral Norte;2010;2,29
35174;Vale do Paraíba/Região Serrana;2010;1,25
41001;1ª RS Paranaguá;2010;1,19
41002;2ª RS Metropolitana;2010;1,37
41003;3ª RS Ponta Grossa;2010;1,04
41004;4ª RS Irati;2010;0,79
41005;5ª RS Guarapuava;2010;0,18
41006;6ª RS União da Vitória;2010;0,61
41007;7ª RS Pato Branco;2010;0,59
41008;8ª RS Francisco Beltrão;2010;0,48
41009;9ª RS Foz do Iguaçu;2010;0,25
41010;10ª RS Cascavel;2010;0,77
41011;11ª RS Campo Mourão;2010;-0,37
41012;12ª RS Umuarama;2010;0,27
41013;13ª RS Cianorte;2010;1,30
41014;14ª RS Paranavaí;2010;0,46
41015;15ª RS Maringá;2010;1,48
41016;16ª RS Apucarana;2010;1,04
41017;17ª RS Londrina;2010;1,03
41018;18ª RS Cornélio Procópio;2010;-0,36
41019;19ª RS Jacarezinho;2010;0,23
41020;20ª RS Toledo;2010;1,08
41021;21ª RS Telêmaco Borba;2010;0,83
41022;22ª RS Ivaiporã;2010;-0,98
42001;Extremo Oeste;2010;0,31
42002;Oeste;2010;1,35
42003;Xanxerê;2010;0,57
42004;Alto Vale do Itajaí;2010;1,05
42005;Foz do Rio Itajaí;2010;3,49
42006;Médio Vale do Itajaí;2010;2,14
42007;Grande Florianópolis;2010;2,17
42008;Meio Oeste;2010;0,65
42009;Alto Vale do Rio do Peixe;2010;0,71
42010;Alto Uruguai Catarinense;2010;0,29
42011;Nordeste;2010;2,21
42012;Planalto Norte;2010;0,65
42013;Serra Catarinense;2010;-0,04
42014;Extremo Sul Catarinense;2010;1,22
42015;Carbonífera;2010;1,26
42016;Laguna;2010;0,97
43001;Região 01 - Verdes Campos;2010;0,29
43002;Região 02 - Entre Rios;2010;-0,34
43003;Região 03 - Fronteira Oeste;2010;-0,42
43004;Região 04 - Belas Praias;2010;1,79
43005;Região 05 - Bons Ventos;2010;1,78
43006;Região 06 - Vale do Paranhana e Costa S;2010;1,01
43007;Região 07 - Vale dos Sinos;2010;0,91
43008;Região 08 - Vale do Caí e Metropolitana;2010;0,74
43009;Região 09 - Carbonífera/Costa Doce;2010;0,64
43010;Região 10 - Capital e Vale do Gravataí;2010;0,50
43011;Região 11 - Sete Povos das Missões;2010;-0,52
43012;Região 12 - Portal das Missões;2010;-0,16
43013;Região 13 - Diversidade;2010;0,04
43014;Região 14 - Fronteira Noroeste;2010;-0,40
43015;Região 15 - Caminho das Águas;2010;-0,51
43016;Região 16 - Alto Uruguai Gaúcho;2010;-0,15
43017;Região 17 - Planalto;2010;0,75
43018;Região 18 - Araucárias;2010;0,21
43019;Região 19 - Botucaraí;2010;-0,05
43020;Região 20 - Rota da Produção;2010;-0,14
43021;Região 21 - Sul;2010;0,20
43022;Região 22 - Pampa;2010;0,10
43023;Região 23 - Caxias e Hortênsias;2010;1,80
43024;Região 24 - Campos de Cima da Serra;2010;0,33
43025;Região 25 - Vinhedos e Basalto;2010;1,41
43026;Região 26 - Uva Vale;2010;1,14
43027;Região 27 - Jacuí Centro;2010;-0,11
43028;Região 28 - Vinte e Oito;2010;0,61
43029;Região 29 - Vales e Montanhas;2010;0,76
43030;Região 30 - Vale da Luz;2010;1,05
50001;Campo Grande;2010;1,74
50002;Corumbá;2010;1,06
50003;Dourados;2010;1,63
50004;Três Lagoas;2010;1,59
51001;Alto Tapajós;2010;0,97
51002;Baixada Cuiabana;2010;1,29
51003;Araguaia Xingu;2010;2,60
51004;Centro Norte;2010;0,95
51005;Garças Araguaia;2010;0,52
51006;Médio Araguaia;2010;3,41
51007;Médio Norte Matogrossense;2010;2,91
51008;Noroeste Matogrossense;2010;3,28
51009;Norte Araguaia Karajá;2010;1,02
51010;Norte Matogrossense;2010;-0,05
51011;Oeste Matogrossense;2010;0,64
51012;Sudoeste Matogrossense;2010;1,41
51013;Sul Matogrossense;2010;2,38
51014;Teles Pires;2010;5,35
51015;Vale do Peixoto;2010;1,29
51016;Vale dos Arinos;2010;0,23
52001;Central;2010;1,79
52002;Centro Sul;2010;2,58
52003;Entorno Norte;2010;1,99
52004;Entorno Sul;2010;2,98
52005;Estrada de Ferro;2010;2,32
52006;Nordeste I;2010;0,63
52007;Nordeste II;2010;1,23
52008;Norte;2010;-0,13
52009;Oeste I;2010;-0,09
52010;Oeste II;2010;0,91
52011;Pirineus;2010;1,72
52012;Rio Vermelho;2010;0,33
52013;São Patrício I;2010;0,22
52014;Serra da Mesa;2010;0,79
52015;Sudoeste I;2010;2,64
52016;Sudoeste II;2010;1,95
52017;Sul;2010;1,07
52018;São Patrício II;2010;2,03
53001;Distrito Federal;2010;2,28
55;Brasil;2010;1,17
