CO_REGSAUD;DS_NOME;Ano;TxCres_0010
11001;Vale do Jamari;2010;2,44
11002;Café;2010;0,47
11003;Central;2010;-0,35
11004;Madeira-Mamoré;2010;2,49
11005;Zona da Mata;2010;-0,01
11006;Cone Sul;2010;1,40
11007;Vale do Guaporé;2010;2,30
12001;Alto Acre;2010;3,04
12002;Baixo Acre e Purus;2010;2,79
12003;Juruá e Tarauacá/Envira;2010;2,68
13001;Entorno Manaus e Alto Rio Negro;2010;2,58
13002;Rio Negro e Solimões;2010;2,05
13003;Rio Madeira;2010;2,42
13004;Médio Amazonas;2010;1,78
13005;Baixo Amazonas;2010;1,87
13006;Regional Purus;2010;1,26
13007;Regional Juruá;2010;1,10
13008;Triângulo;2010;0,19
13009;Alto Solimões;2010;1,18
14001;Centro Norte;2010;3,34
14002;Sul;2010;3,34
15001;Araguaia;2010;3,42
15002;Baixo Amazonas;2010;1,34
15003;Carajás;2010;3,06
15004;Lago de Tucuruí;2010;4,09
15006;Metropolitana I;2010;1,30
15007;Metropolitana II;2010;1,88
15008;Metropolitana III;2010;2,18
15009;Rio Caetés;2010;1,64
15010;Tapajós;2010;0,57
15011;Tocantins;2010;2,59
15012;Xingu;2010;2,11
15013;Marajó I;2010;2,50
15014;Marajó II;2010;2,56
16001;Área Central;2010;3,63
16002;Área Norte;2010;4,08
16003;Área Sudoeste;2010;2,80
17001;Médio Norte Araguaia;2010;2,01
17002;Bico do Papagaio;2010;1,18
17003;Sudeste;2010;0,72
17004;Cerrado Tocantins Araguaia;2010;1,32
17005;Ilha do Bananal;2010;0,82
17006;Capim Dourado;2010;3,75
17007;Cantão;2010;1,77
17008;Amor Perfeito;2010;0,88
21001;Açailândia;2010;2,27
21002;Bacabal;2010;0,90
21003;Balsas;2010;1,63
21004;Barra do Corda;2010;1,63
21005;Caxias;2010;1,22
21006;Chapadinha;2010;2,09
21007;Codó;2010;0,98
21008;Imperatriz;2010;1,09
21009;Itapecuru Mirim;2010;2,42
21010;Pedreiras;2010;0,40
21011;Pinheiro;2010;1,24
21012;Presidente Dutra;2010;0,75
21013;Rosário;2010;2,31
21014;Santa Inês;2010;0,76
21015;São João dos Patos;2010;1,07
21016;São Luís;2010;2,00
21017;Timon;2010;1,47
21018;Viana;2010;1,52
21019;Zé Doca;2010;1,88
22001;Carnaubais;2010;0,49
22002;Chapada das Mangabeiras;2010;1,05
22003;Cocais;2010;0,74
22004;Entre Rios;2010;1,20
22005;Planície Litorânea;2010;1,07
22006;Serra da Capivara;2010;1,06
22007;Tabuleiros do Alto Parnaíba;2010;1,85
22008;Vale do Canindé;2010;0,74
22009;Vale do Rio Guaribas;2010;0,85
22010;Vale do Sambito;2010;0,07
22011;Vale dos Rios Piauí e Itaueiras;2010;0,22
23001;1ª Região Fortaleza;2010;1,43
23002;2ª Região Caucaia;2010;2,17
23003;3ª Região Maracanaú;2010;1,99
23004;4ª Região Baturité;2010;0,72
23005;5ª Região Canindé;2010;0,99
23006;6ª Região Itapipoca;2010;1,80
23007;7ª Região Aracati;2010;1,35
23008;8ª Região Quixadá;2010;1,00
23009;9ª Região Russas;2010;0,72
23010;10ª Região Limoeiro do Norte;2010;0,70
23011;11ª Região Sobral;2010;1,17
23012;12ª Região Acaraú;2010;1,71
23013;13ª Região Tianguá;2010;1,32
23014;14ª Região Tauá;2010;0,43
23015;15ª Região Crateús;2010;0,25
23016;16ª Região Camocim;2010;0,80
23017;17ª Região Icó;2010;0,21
23018;18ª Região Iguatú;2010;0,78
23019;19ª Região Brejo Santo;2010;0,70
23020;20ª Região Crato;2010;0,93
23021;21ª Região Juazeiro do Norte;2010;1,30
23022;22ª Região Cascavel;2010;2,37
24001;1ª Região de Saúde - São José de Mipibu;2010;1,17
24002;2ª Região de Saúde - Mossoró;2010;1,55
24003;3ª Região de Saúde - João Câmara;2010;1,05
24004;4ª Região de Saúde - Caicó;2010;0,47
24005;5ª Região de Saúde - Santa Cruz;2010;0,88
24006;6ª Região de Saúde - Pau dos Ferros;2010;0,30
24007;7ª Região de Saúde - Metropolitana;2010;1,93
24008;8ª Região de Saúde - Açu;2010;1,10
25001;1ª Região Mata Atlântica;2010;1,63
25002;2ª Região;2010;0,20
25003;3ª Região;2010;0,52
25004;4ª Região;2010;0,84
25005;5ª Região;2010;0,59
25006;6ª Região;2010;0,75
25007;7ª Região;2010;-0,04
25008;8ª Região;2010;0,84
25009;9ª Região;2010;0,67
25010;10ª Região;2010;0,54
25011;11ª Região;2010;0,47
25012;12ª Região;2010;0,35
25013;13ª Região;2010;0,28
25014;14ª Região;2010;1,00
25015;15ª Região;2010;0,55
25016;16ª Região;2010;0,84
26001;Afogados da Ingazeira;2010;0,46
26002;Arcoverde;2010;1,49
26003;Caruaru;2010;1,47
26004;Garanhuns;2010;0,63
26005;Goiana;2010;0,29
26006;Limoeiro;2010;0,62
26007;Ouricuri;2010;1,01
26008;Palmares;2010;0,96
26009;Petrolina;2010;2,44
26010;Recife;2010;1,00
26011;Salgueiro;2010;0,76
26012;Serra Talhada;2010;0,81
27001;1ª Região de Saúde;2010;1,56
27002;2ª Região de Saúde;2010;0,83
27003;3ª Região de Saúde;2010;0,55
27004;4ª Região de Saúde;2010;0,08
27005;5ª Região de Saúde;2010;0,86
27006;6ª Região de Saúde;2010;1,24
27007;7ª Região de Saúde;2010;1,00
27008;8ª Região de Saúde;2010;0,00
27009;9ª Região de Saúde;2010;0,36
27010;10ª Região de Saúde;2010;0,70
28001;Aracaju;2010;2,11
28002;Estância;2010;0,89
28003;Itabaiana;2010;1,08
28004;Lagarto;2010;0,91
28005;Nossa Senhora da Glória;2010;1,46
28006;Nossa Senhora do Socorro;2010;1,75
28007;Propriá;2010;0,55
29001;Alagoinhas;2010;1,01
29002;Barreiras;2010;2,37
29003;Brumado;2010;0,22
29004;Camaçari;2010;3,26
29005;Cruz das Almas;2010;0,65
29006;Feira de Santana;2010;0,89
29007;Guanambi;2010;0,46
29008;Ibotirama;2010;0,53
29009;Ilhéus;2010;-1,34
29010;Irecê;2010;0,54
29011;Itaberaba;2010;0,14
29012;Itabuna;2010;-0,45
29013;Itapetinga;2010;0,09
29014;Jacobina;2010;0,34
29015;Jequié;2010;-0,65
29016;Juazeiro;2010;1,01
29017;Paulo Afonso;2010;0,81
29018;Porto Seguro;2010;1,61
29019;Ribeira do Pombal;2010;0,18
29020;Salvador;2010;1,06
29021;Santa Maria da Vitória;2010;0,28
29022;Santo Antônio de Jesus;2010;0,81
29023;Seabra;2010;0,57
29024;Senhor do Bonfim;2010;0,44
29025;Serrinha;2010;0,58
29026;Teixeira de Freitas;2010;1,14
29027;Valença;2010;0,86
29028;Vitória da Conquista;2010;-0,17
31001;Águas Formosas;2010;0,19
31002;Além Paraíba;2010;0,19
31003;Alfenas Machado;2010;0,61
31004;Almenara;2010;0,40
31005;Araçuaí;2010;0,01
31006;Araxá;2010;1,62
31007;Barbacena;2010;0,63
31008;Belo Horizonte Nova Lima Caeté;2010;0,80
31009;Betim;2010;2,23
31010;Bom Despacho;2010;0,71
31011;Brasília de Minas São Francisco;2010;0,59
31012;Carangola;2010;0,34
31013;Caratinga;2010;0,60
31014;Conselheiro Lafaiete Congonhas;2010;0,92
31015;Contagem;2010;1,36
31016;Coração de Jesus;2010;0,00
31017;Coronel Fabriciano Timóteo;2010;0,68
31018;Curvelo;2010;0,67
31019;Diamantina;2010;0,18
31020;Divinópolis Santo Antônio do Monte;2010;1,46
31021;Formiga;2010;0,35
31022;Francisco Sá;2010;0,49
31023;Frutal Iturama;2010;1,72
31024;Governador Valadares;2010;0,49
31025;Guanhães;2010;0,02
31026;Guaxupé;2010;0,42
31027;Ipatinga;2010;1,10
31028;Itabira;2010;0,99
31029;Itajubá;2010;0,45
31030;Itaobim;2010;-0,15
31031;Itaúna;2010;1,02
31032;Ituiutaba;2010;0,63
31033;Janaúba Monte Azul;2010;0,46
31034;Januária;2010;0,56
31035;João Monlevade;2010;0,51
31036;João Pinheiro;2010;1,20
31037;Juiz de Fora Lima Duarte Bom Jardim Min;2010;1,00
31038;Lavras;2010;1,02
31039;Leopoldina Cataguases;2010;0,56
31040;Manga;2010;-0,33
31041;Manhuaçu;2010;0,77
31042;Mantena;2010;0,19
31043;Minas Novas Turmalina Capelinha;2010;0,59
31044;Montes Claros Bocaiúva;2010;1,46
31045;Muriaé;2010;0,69
31046;Nanuque;2010;-0,35
31047;Ouro Preto;2010;1,20
31048;Padre Paraíso;2010;0,55
31049;Pará de Minas;2010;3,04
31050;Passos Piumhi;2010;0,78
31051;Patos de Minas;2010;0,81
31052;Patrocínio Monte Carmelo;2010;0,72
31053;Pedra Azul;2010;0,52
31054;Pirapora;2010;0,66
31055;Poços de Caldas;2010;1,07
31056;Ponte Nova;2010;-0,21
31057;Pouso Alegre;2010;1,39
31058;Resplendor;2010;0,02
31059;Salinas Taiobeiras;2010;0,50
31060;Santa Maria do Suaçuí São João Evangeli;2010;-0,30
31061;Santo Antônio do Amparo Campo Belo;2010;0,58
31062;Santos Dumont;2010;-0,11
31063;São João del Rei;2010;0,62
31064;São João Nepomuceno Bicas;2010;0,57
31065;São Lourenço;2010;0,51
31066;São Sebastião do Paraíso;2010;0,50
31067;Sete Lagoas;2010;1,11
31068;Teófilo Otoni Malacacheta Itambacuri;2010;0,21
31069;Três Corações;2010;0,88
31070;Três Pontas;2010;0,39
31071;Ubá;2010;0,99
31072;Uberaba;2010;1,72
31073;Uberlândia Araguari;2010;1,62
31074;Unaí;2010;1,01
31075;Varginha;2010;1,13
31076;Vespasiano;2010;2,33
31077;Viçosa;2010;0,66
32001;Central;2010;1,44
32002;Metropolitana;2010;1,48
32003;Norte;2010;1,00
32004;Sul;2010;0,67
33001;Baia da Ilha Grande;2010;3,44
33002;Baixada Litorânea;2010;4,42
33003;Centro-Sul;2010;0,81
33004;Médio Paraíba;2010;0,86
33005;Metropolitana I;2010;0,76
