CO_REGSAUD;DS_NOME;Ano;Pop_0a14;Pop_65emais;IndEnv
11001;Vale do Jamari;2000;62093;4594;7,40
11002;Café;2000;50712;5840;11,52
11003;Central;2000;120860;12742;10,54
11004;Madeira-Mamoré;2000;142847;12129;8,49
11005;Zona da Mata;2000;46396;5053;10,89
11006;Cone Sul;2000;40120;4401;10,97
11007;Vale do Guaporé;2000;12729;789;6,20
12001;Alto Acre;2000;16866;1956;11,60
12002;Baixo Acre e Purus;2000;133057;13545;10,18
12003;Juruá e Tarauacá/Envira;2000;66528;5248;7,89
13001;Entorno Manaus e Alto Rio Negro;2000;566947;52183;9,20
13002;Rio Negro e Solimões;2000;90184;7214;8,00
13003;Rio Madeira;2000;57973;4687;8,08
13004;Médio Amazonas;2000;52890;5046;9,54
13005;Baixo Amazonas;2000;78627;7869;10,01
13006;Regional Purus;2000;46777;3165;6,77
13007;Regional Juruá;2000;50787;2768;5,45
13008;Triângulo;2000;54868;3160;5,76
13009;Alto Solimões;2000;94112;5414;5,75
14001;Centro Norte;2000;103345;7124;6,89
14002;Sul;2000;21519;1317;6,12
15001;Araguaia;2000;123417;9866;7,99
15002;Baixo Amazonas;2000;246667;26383;10,70
15003;Carajás;2000;212393;16180;7,62
15004;Lago de Tucuruí;2000;99654;6316;6,34
15006;Metropolitana I;2000;536506;75097;14,00
15007;Metropolitana II;2000;107565;11443;10,64
15008;Metropolitana III;2000;261910;26593;10,15
15009;Rio Caetés;2000;166164;19915;11,99
15010;Tapajós;2000;74390;4748;6,38
15011;Tocantins;2000;197704;18902;9,56
15012;Xingu;2000;98066;7372;7,52
15013;Marajó I;2000;69581;7448;10,70
15014;Marajó II;2000;102639;7490;7,30
16001;Área Central;2000;117814;8513;7,23
16002;Área Norte;2000;16021;926;5,78
16003;Área Sudoeste;2000;53990;3392;6,28
17001;Médio Norte Araguaia;2000;76186;9674;12,70
17002;Bico do Papagaio;2000;66496;8443;12,70
17003;Sudeste;2000;32318;4588;14,20
17004;Cerrado Tocantins Araguaia;2000;44507;6548;14,71
17005;Ilha do Bananal;2000;51012;7686;15,07
17006;Capim Dourado;2000;70961;5701;8,03
17007;Cantão;2000;31894;4871;15,27
17008;Amor Perfeito;2000;33998;4956;14,58
21001;Açailândia;2000;84492;6807;8,06
21002;Bacabal;2000;88657;12759;14,39
21003;Balsas;2000;78654;9759;12,41
21004;Barra do Corda;2000;76219;8344;10,95
21005;Caxias;2000;94397;14645;15,51
21006;Chapadinha;2000;114971;16046;13,96
21007;Codó;2000;100100;15592;15,58
21008;Imperatriz;2000;158515;19536;12,32
21009;Itapecuru Mirim;2000;109997;14734;13,39
21010;Pedreiras;2000;74352;11545;15,53
21011;Pinheiro;2000;128003;18156;14,18
21012;Presidente Dutra;2000;96218;14211;14,77
21013;Rosário;2000;91220;11358;12,45
21014;Santa Inês;2000;137020;16983;12,39
21015;São João dos Patos;2000;78885;11735;14,88
21016;São Luís;2000;343406;41188;11,99
21017;Timon;2000;72924;9985;13,69
21018;Viana;2000;84346;12523;14,85
21019;Zé Doca;2000;94653;10049;10,62
22001;Carnaubais;2000;49837;9827;19,72
22002;Chapada das Mangabeiras;2000;63783;9141;14,33
22003;Cocais;2000;130800;21746;16,63
22004;Entre Rios;2000;328240;51606;15,72
22005;Planície Litorânea;2000;82282;14441;17,55
22006;Serra da Capivara;2000;44014;7536;17,12
22007;Tabuleiros do Alto Parnaíba;2000;13989;2042;14,60
22008;Vale do Canindé;2000;33277;6172;18,55
22009;Vale do Rio Guaribas;2000;108906;19716;18,10
22010;Vale do Sambito;2000;32480;7813;24,05
22011;Vale dos Rios Piauí e Itaueiras;2000;66884;12529;18,73
23001;1ª Região Fortaleza;2000;671986;114839;17,09
23002;2ª Região Caucaia;2000;163159;22381;13,72
23003;3ª Região Maracanaú;2000;142680;19005;13,32
23004;4ª Região Baturité;2000;44256;9401;21,24
23005;5ª Região Canindé;2000;65738;13094;19,92
23006;6ª Região Itapipoca;2000;88020;14726;16,73
23007;7ª Região Aracati;2000;31404;6003;19,12
23008;8ª Região Quixadá;2000;96586;20889;21,63
23009;9ª Região Russas;2000;58865;12641;21,47
23010;10ª Região Limoeiro do Norte;2000;64434;14830;23,02
23011;11ª Região Sobral;2000;195921;38371;19,58
23012;12ª Região Acaraú;2000;69709;10216;14,66
23013;13ª Região Tianguá;2000;98478;17191;17,46
23014;14ª Região Tauá;2000;37673;7653;20,31
23015;15ª Região Crateús;2000;96936;22807;23,53
23016;16ª Região Camocim;2000;53200;8053;15,14
23017;17ª Região Icó;2000;53622;12717;23,72
23018;18ª Região Iguatú;2000;91847;21649;23,57
23019;19ª Região Brejo Santo;2000;66227;13342;20,15
23020;20ª Região Crato;2000;103287;21131;20,46
23021;21ª Região Juazeiro do Norte;2000;119194;23260;19,51
23022;22ª Região Cascavel;2000;79047;14685;18,58
24001;1ª Região de Saúde - São José de Mipibu;2000;111675;21431;19,19
24002;2ª Região de Saúde - Mossoró;2000;114056;22410;19,65
24003;3ª Região de Saúde - João Câmara;2000;104092;19324;18,56
24004;4ª Região de Saúde - Caicó;2000;83196;22760;27,36
24005;5ª Região de Saúde - Santa Cruz;2000;59092;13810;23,37
24006;6ª Região de Saúde - Pau dos Ferros;2000;74156;17887;24,12
24007;7ª Região de Saúde - Metropolitana;2000;290314;51099;17,60
24008;8ª Região de Saúde - Açu;2000;41058;9144;22,27
25001;1ª Região Mata Atlântica;2000;299351;56378;18,83
25002;2ª Região;2000;98005;25909;26,44
25003;3ª Região;2000;58753;16097;27,40
25004;4ª Região;2000;32628;8640;26,48
25005;5ª Região;2000;33046;10593;32,06
25006;6ª Região;2000;65734;15612;23,75
25007;7ª Região;2000;49058;9948;20,28
25008;8ª Região;2000;32050;7167;22,36
25009;9ª Região;2000;49457;12291;24,85
25010;10ª Região;2000;30512;8062;26,42
25011;11ª Região;2000;28401;5072;17,86
25012;12ª Região;2000;54599;13608;24,92
25013;13ª Região;2000;16925;4704;27,79
25014;14ª Região;2000;44057;9634;21,87
25015;15ª Região;2000;48097;11368;23,64
25016;16ª Região;2000;142937;33106;23,16
26001;Afogados da Ingazeira;2000;55882;13746;24,60
26002;Arcoverde;2000;116507;21970;18,86
26003;Caruaru;2000;342708;80897;23,61
26004;Garanhuns;2000;165717;35767;21,58
26005;Goiana;2000;96283;18430;19,14
26006;Limoeiro;2000;168783;36175;21,43
26007;Ouricuri;2000;110097;17107;15,54
26008;Palmares;2000;184616;29035;15,73
26009;Petrolina;2000;118883;14204;11,95
26010;Recife;2000;988845;195996;19,82
26011;Salgueiro;2000;45256;8040;17,77
26012;Serra Talhada;2000;69579;14817;21,30
27001;1ª Região de Saúde;2000;312152;43900;14,06
27002;2ª Região de Saúde;2000;55143;6665;12,09
27003;3ª Região de Saúde;2000;76760;10941;14,25
27004;4ª Região de Saúde;2000;50778;7606;14,98
27005;5ª Região de Saúde;2000;74665;8015;10,73
27006;6ª Região de Saúde;2000;62923;9568;15,21
27007;7ª Região de Saúde;2000;162855;22585;13,87
27008;8ª Região de Saúde;2000;51317;10335;20,14
27009;9ª Região de Saúde;2000;88801;12480;14,05
27010;10ª Região de Saúde;2000;54837;8065;14,71
28001;Aracaju;2000;179209;28375;15,83
28002;Estância;2000;76751;10643;13,87
28003;Itabaiana;2000;69609;12926;18,57
28004;Lagarto;2000;75756;14150;18,68
28005;Nossa Senhora da Glória;2000;51133;6740;13,18
28006;Nossa Senhora do Socorro;2000;91520;9932;10,85
28007;Propriá;2000;51349;8813;17,16
29001;Alagoinhas;2000;154564;28922;18,71
29002;Barreiras;2000;112813;14617;12,96
29003;Brumado;2000;123070;28742;23,35
29004;Camaçari;2000;124676;12788;10,26
29005;Cruz das Almas;2000;73840;16126;21,84
29006;Feira de Santana;2000;311582;59321;19,04
29007;Guanambi;2000;135267;26962;19,93
29008;Ibotirama;2000;65874;11613;17,63
29009;Ilhéus;2000;123079;19427;15,78
29010;Irecê;2000;129488;20208;15,61
29011;Itaberaba;2000;87079;16670;19,14
29012;Itabuna;2000;172476;33720;19,55
29013;Itapetinga;2000;76027;16031;21,09
29014;Jacobina;2000;125174;23668;18,91
29015;Jequié;2000;171653;36961;21,53
29016;Juazeiro;2000;153540;23925;15,58
29017;Paulo Afonso;2000;73395;13071;17,81
29018;Porto Seguro;2000;102415;11925;11,64
29019;Ribeira do Pombal;2000;104296;20847;19,99
29020;Salvador;2000;756214;127637;16,88
29021;Santa Maria da Vitória;2000;100702;16538;16,42
29022;Santo Antônio de Jesus;2000;128866;29657;23,01
29023;Seabra;2000;56218;12766;22,71
29024;Senhor do Bonfim;2000;91884;17322;18,85
29025;Serrinha;2000;197778;37537;18,98
29026;Teixeira de Freitas;2000;127573;20143;15,79
29027;Valença;2000;98320;13436;13,67
29028;Vitória da Conquista;2000;201109;39287;19,54
31001;Águas Formosas;2000;19094;4054;21,23
31002;Além Paraíba;2000;14178;4759;33,57
31003;Alfenas Machado;2000;79125;20124;25,43
31004;Almenara;2000;54069;12391;22,92
31005;Araçuaí;2000;29776;6117;20,54
31006;Araxá;2000;38500;8832;22,94
31007;Barbacena;2000;56618;14795;26,13
