CO_REGSAUD;DS_NOME;Ano;Pop
31001;Águas Formosas;2010;58036
31002;Além Paraíba;2010;55791
31003;Alfenas Machado;2010;305376
31004;Almenara;2010;175002
31005;Araçuaí;2010;88413
31006;Araxá;2010;167704
31007;Barbacena;2010;225183
31008;Belo Horizonte Nova Lima Caeté;2010;3185567
31009;Betim;2010;624062
31010;Bom Despacho;2010;100858
31011;Brasília de Minas São Francisco;2010;234588
31012;Carangola;2010;123872
31013;Caratinga;2010;192172
31014;Conselheiro Lafaiete Congonhas;2010;288371
31015;Contagem;2010;788210
31016;Coração de Jesus;2010;46979
31017;Coronel Fabriciano Timóteo;2010;217790
31018;Curvelo;2010;174714
31019;Diamantina;2010;166513
31020;Divinópolis Santo Antônio do Monte;2010;429544
31021;Formiga;2010;126639
31022;Francisco Sá;2010;70965
31023;Frutal Iturama;2010;160188
31024;Governador Valadares;2010;410066
31025;Guanhães;2010;113607
31026;Guaxupé;2010;154619
31027;Ipatinga;2010;374405
31028;Itabira;2010;218442
31029;Itajubá;2010;196039
31030;Itaobim;2010;80733
31031;Itaúna;2010;114169
31032;Ituiutaba;2010;184303
31033;Janaúba Monte Azul;2010;265812
31034;Januária;2010;110272
31035;João Monlevade;2010;132648
31036;João Pinheiro;2010;68117
31037;Juiz de Fora Lima Duarte Bom Jardim Min;2010;637712
31038;Lavras;2010;169756
31039;Leopoldina Cataguases;2010;173848
31040;Manga;2010;57647
31041;Manhuaçu;2010;323342
31042;Mantena;2010;68145
31043;Minas Novas Turmalina Capelinha;2010;118517
31044;Montes Claros Bocaiúva;2010;454682
31045;Muriaé;2010;163996
31046;Nanuque;2010;69315
31047;Ouro Preto;2010;169949
31048;Padre Paraíso;2010;59698
31049;Pará de Minas;2010;208105
31050;Passos Piumhi;2010;273649
31051;Patos de Minas;2010;332507
31052;Patrocínio Monte Carmelo;2010;183217
31053;Pedra Azul;2010;51404
31054;Pirapora;2010;138356
31055;Poços de Caldas;2010;215747
31056;Ponte Nova;2010;212256
31057;Pouso Alegre;2010;495945
31058;Resplendor;2010;87994
31059;Salinas Taiobeiras;2010;197999
31060;Santa Maria do Suaçuí São João Evangeli;2010;101991
31061;Santo Antônio do Amparo Campo Belo;2010;194295
31062;Santos Dumont;2010;50465
31063;São João del Rei;2010;227178
31064;São João Nepomuceno Bicas;2010;69213
31065;São Lourenço;2010;250451
31066;São Sebastião do Paraíso;2010;119965
31067;Sete Lagoas;2010;410587
31068;Teófilo Otoni Malacacheta Itambacuri;2010;316409
31069;Três Corações;2010;123868
31070;Três Pontas;2010;120384
31071;Ubá;2010;291775
31072;Uberaba;2010;369920
31073;Uberlândia Araguari;2010;811426
31074;Unaí;2010;252330
31075;Varginha;2010;183803
31076;Vespasiano;2010;279500
31077;Viçosa;2010;130215
32001;Central;2010;571302
32002;Metropolitana;2010;1935393
32003;Norte;2010;384861
32004;Sul;2010;623396
33001;Baia da Ilha Grande;2010;243500
33002;Baixada Litorânea;2010;679493
