CO_REGSAUD;DS_NOME;Ano;Pop_0a5;Pop_6a9;Pop_10a14;Pop_15a64;Pop_65emais;Pop_Total;PopH_0a5;PopH_6a9;PopH_10a14;PopH_15a64;PopH_65emais;PopH_Total;PopM_0a5;PopM_6a9;PopM_10a14;PopM_15a64;PopM_65emais;PopM_Total;p_Pop_0a5;p_Pop_6a9;p_Pop_10a14;p_Pop_15a64;p_Pop_65emais;p_PopH_0a5;p_PopH_6a9;p_PopH_10a14;p_PopH_15a64;p_PopH_65emais;p_PopM_0a5;p_PopM_6a9;p_PopM_10a14;p_PopM_15a64;p_PopM_65emais
15002;Baixo Amazonas;2010;91800;65218;84859;424131;36468;702476;46373;32960;43173;215720;18247;356473;45427;32258;41686;208411;18221;346003;13,07;9,28;12,08;60,38;5,19;13,01;9,25;12,11;60,52;5,12;13,13;9,32;12,05;60,23;5,27
15003;Carajás;2010;93492;61475;81628;475797;27562;739954;47823;31304;41193;244451;15252;380023;45669;30171;40435;231346;12310;359931;12,63;8,31;11,03;64,30;3,72;12,58;8,24;10,84;64,33;4,01;12,69;8,38;11,23;64,28;3,42
15004;Lago de Tucuruí;2010;48512;33143;44115;234380;12614;372764;24636;16850;22197;120021;7041;190745;23876;16293;21918;114359;5573;182019;13,01;8,89;11,83;62,88;3,38;12,92;8,83;11,64;62,92;3,69;13,12;8,95;12,04;62,83;3,06
15006;Metropolitana I;2010;184414;131731;183190;1429280;113802;2042417;94401;67216;92455;674939;45086;974097;90013;64515;90735;754341;68716;1068320;9,03;6,45;8,97;69,98;5,57;9,69;6,90;9,49;69,29;4,63;8,43;6,04;8,49;70,61;6,43
15007;Metropolitana II;2010;40544;28046;37585;203178;16946;326299;20818;14431;19393;106031;8512;169185;19726;13615;18192;97147;8434;157114;12,43;8,60;11,52;62,27;5,19;12,30;8,53;11,46;62,67;5,03;12,56;8,67;11,58;61,83;5,37
15008;Metropolitana III;2010;99356;72295;95743;519085;40378;826857;50370;36607;48843;263528;20242;419590;48986;35688;46900;255557;20136;407267;12,02;8,74;11,58;62,78;4,88;12,00;8,72;11,64;62,81;4,82;12,03;8,76;11,52;62,75;4,94
15009;Rio Caetés;2010;61003;43824;57374;296894;26700;485795;31153;22300;29428;152758;13390;249029;29850;21524;27946;144136;13310;236766;12,56;9,02;11,81;61,12;5,50;12,51;8,95;11,82;61,34;5,38;12,61;9,09;11,80;60,88;5,62
15010;Tapajós;2010;25699;18333;24847;133026;7626;209531;12779;9409;12660;70388;4305;109541;12920;8924;12187;62638;3321;99990;12,27;8,75;11,86;63,49;3,64;11,67;8,59;11,56;64,26;3,93;12,92;8,92;12,19;62,64;3,32
15011;Tocantins;2010;79039;54896;74224;371203;27817;607179;40304;28105;37830;191911;13507;311657;38735;26791;36394;179292;14310;295522;13,02;9,04;12,22;61,14;4,58;12,93;9,02;12,14;61,58;4,33;13,11;9,07;12,32;60,67;4,84
15012;Xingu;2010;40066;27046;36068;192356;12300;307836;20394;13813;18577;101486;6863;161133;19672;13233;17491;90870;5437;146703;13,02;8,79;11,72;62,49;4,00;12,66;8,57;11,53;62,98;4,26;13,41;9,02;11,92;61,94;3,71
