CO_REGSAUD;DS_NOME;Ano;tx_fec_15a19;tx_fec_20a24;tx_fec_25a29;tx_fec_30a34;tx_fec_35a39;tx_fec_40a44;tx_fec_45a49;tx_fec
23003;3ª Região Maracanaú;2010;60,18;91,08;82,36;62,99;34,00;8,64;0,92;340,17
23004;4ª Região Baturité;2010;57,83;86,37;83,47;67,62;44,57;15,24;1,39;356,49
23005;5ª Região Canindé;2010;65,53;96,03;81,62;67,16;37,50;15,66;2,32;365,82
23006;6ª Região Itapipoca;2010;69,10;103,65;96,43;72,63;41,95;16,02;1,43;401,20
23007;7ª Região Aracati;2010;55,93;84,82;84,07;56,15;30,06;9,04;0,94;321,01
23008;8ª Região Quixadá;2010;60,77;94,28;84,56;69,57;40,29;15,23;1,36;366,06
23009;9ª Região Russas;2010;60,55;83,25;79,02;51,16;28,18;9,00;0,17;311,33
23010;10ª Região Limoeiro do Norte;2010;56,19;86,92;79,37;55,16;29,02;7,76;1,28;315,69
23011;11ª Região Sobral;2010;58,73;91,10;87,56;65,30;35,56;11,39;1,17;350,80
23012;12ª Região Acaraú;2010;60,83;103,29;98,90;72,54;38,10;16,51;1,19;391,36
23013;13ª Região Tianguá;2010;71,64;114,00;103,56;74,24;41,95;17,04;1,06;423,50
23014;14ª Região Tauá;2010;63,99;102,44;89,15;57,64;30,92;9,12;0,98;354,24
23015;15ª Região Crateús;2010;66,69;102,10;92,66;60,24;33,35;11,45;1,27;367,78
23016;16ª Região Camocim;2010;66,28;110,30;87,73;65,29;35,70;11,45;0,27;377,03
23017;17ª Região Icó;2010;55,73;99,86;83,13;58,69;29,46;10,33;1,01;338,22
23018;18ª Região Iguatú;2010;60,77;90,08;83,07;58,56;27,46;8,90;1,09;329,93
23019;19ª Região Brejo Santo;2010;61,43;106,56;94,71;64,76;32,61;8,76;0,92;369,74
23020;20ª Região Crato;2010;65,16;106,04;91,37;66,39;37,19;10,84;0,67;377,64
23021;21ª Região Juazeiro do Norte;2010;64,96;100,15;91,49;65,29;35,55;10,77;0,76;368,98
23022;22ª Região Cascavel;2010;55,67;84,04;73,68;61,25;28,62;9,72;1,44;314,43
24001;1ª Região de Saúde - São José de Mipibu;2010;71,37;105,48;87,43;59,25;28,89;10,92;1,76;365,10
24002;2ª Região de Saúde - Mossoró;2010;60,26;88,66;79,23;58,71;27,51;6,32;0,35;321,05
24003;3ª Região de Saúde - João Câmara;2010;67,71;101,25;84,26;57,29;31,67;8,35;0,71;351,25
24004;4ª Região de Saúde - Caicó;2010;60,02;86,85;78,37;52,92;25,77;7,92;0,51;312,36
24005;5ª Região de Saúde - Santa Cruz;2010;66,43;99,43;82,26;62,50;32,45;10,90;1,41;355,40
24006;6ª Região de Saúde - Pau dos Ferros;2010;67,99;105,75;90,05;59,28;28,93;10,15;1,60;363,74
24007;7ª Região de Saúde - Metropolitana;2010;56,49;78,75;77,90;63,51;34,41;8,14;0,68;319,89
24008;8ª Região de Saúde - Açu;2010;73,10;100,07;79,51;46,01;23,05;4,99;0,67;327,40
25001;1ª Região Mata Atlântica;2010;64,95;93,28;84,82;62,07;30,25;7,30;0,36;343,03
25002;2ª Região;2010;62,31;100,02;89,09;66,17;32,60;11,95;0,38;362,53
25003;3ª Região;2010;64,42;109,01;100,88;71,37;36,08;11,97;0,39;394,12
25004;4ª Região;2010;70,13;121,52;85,64;48,52;24,58;6,09;1,01;357,49
25005;5ª Região;2010;75,91;111,11;97,64;53,93;37,20;9,91;0,59;386,29
25006;6ª Região;2010;63,35;104,83;82,33;62,97;30,60;8,33;1,21;353,63
25007;7ª Região;2010;60,68;93,23;90,25;56,19;28,19;9,66;0,99;339,21
25008;8ª Região;2010;63,36;105,89;86,88;58,32;30,39;7,29;1,15;353,28
25009;9ª Região;2010;57,95;88,08;84,01;61,84;30,53;9,35;1,07;332,84
25010;10ª Região;2010;58,28;104,75;84,18;51,54;24,02;4,29;;327,06
25011;11ª Região;2010;59,38;110,27;87,44;76,90;32,77;12,63;1,97;381,36
25012;12ª Região;2010;56,22;93,26;75,95;52,12;29,91;7,36;0,69;315,50
25013;13ª Região;2010;49,98;92,88;86,07;47,62;20,31;6,93;1,66;305,45
25014;14ª Região;2010;76,33;114,86;94,12;56,56;25,88;12,14;0,83;380,72
25015;15ª Região;2010;60,96;108,42;96,36;75,31;41,06;13,07;1,52;396,71
25016;16ª Região;2010;61,70;93,90;91,32;67,24;38,01;11,46;0,68;364,32
26001;Afogados da Ingazeira;2010;66,81;103,70;87,45;57,20;29,31;10,13;0,99;355,59
26002;Arcoverde;2010;74,73;115,71;97,33;65,60;39,03;15,13;2,10;409,63
26003;Caruaru;2010;68,56;97,44;82,19;53,87;28,98;8,40;0,86;340,30
26004;Garanhuns;2010;65,84;112,57;100,98;74,92;43,60;14,81;1,35;414,08
26005;Goiana;2010;71,31;102,36;83,36;51,29;27,54;7,61;0,83;344,31
26006;Limoeiro;2010;61,72;98,27;84,41;54,46;24,21;7,58;0,49;331,14
26007;Ouricuri;2010;88,66;133,64;108,32;77,90;45,42;13,98;1,65;469,58
26008;Palmares;2010;75,79;100,50;75,63;42,59;21,89;6,50;0,94;323,85
26009;Petrolina;2010;76,48;112,08;96,00;58,08;32,20;10,83;0,98;386,65
26010;Recife;2010;63,10;86,19;76,83;54,92;26,14;6,21;0,35;313,75
26011;Salgueiro;2010;77,28;122,09;113,65;69,57;42,11;9,12;1,11;434,92
26012;Serra Talhada;2010;74,18;114,02;102,47;66,06;35,89;9,26;1,17;403,06
27001;1ª Região de Saúde;2010;77,36;99,44;79,62;53,31;26,41;5,97;0,54;342,64
27002;2ª Região de Saúde;2010;106,98;137,82;88,99;41,83;22,35;10,07;0,29;408,33
27003;3ª Região de Saúde;2010;93,72;128,59;92,39;57,14;30,79;10,97;1,84;415,44
27004;4ª Região de Saúde;2010;87,90;119,90;91,45;56,76;32,86;9,82;0,59;399,28
27005;5ª Região de Saúde;2010;79,07;104,64;74,89;43,84;23,08;7,50;0,57;333,59
27006;6ª Região de Saúde;2010;83,10;118,67;86,19;50,07;24,27;9,41;0,60;372,31
27007;7ª Região de Saúde;2010;65,37;109,81;97,15;66,80;35,00;11,77;0,70;386,61
27008;8ª Região de Saúde;2010;68,97;120,67;98,95;68,74;36,46;11,25;1,20;406,26
27009;9ª Região de Saúde;2010;81,87;133,42;104,42;74,00;51,27;19,57;1,67;466,22
27010;10ª Região de Saúde;2010;79,08;128,70;111,37;72,36;45,58;16,13;2,19;455,41
28001;Aracaju;2010;59,41;80,08;81,46;66,92;36,14;9,97;0,86;334,84
28002;Estância;2010;73,57;103,59;95,62;68,10;40,96;15,32;1,52;398,69
28003;Itabaiana;2010;62,14;96,58;93,11;67,39;32,90;11,06;0,96;364,14
28004;Lagarto;2010;53,13;86,08;82,91;61,08;35,50;13,57;1,78;334,04
28005;Nossa Senhora da Glória;2010;79,07;115,06;95,33;65,14;32,50;12,89;1,34;401,34
28006;Nossa Senhora do Socorro;2010;68,17;102,80;86,78;61,26;31,73;10,31;0,68;361,73
28007;Propriá;2010;76,86;98,83;89,83;46,90;23,62;8,83;1,53;346,41
29001;Alagoinhas;2010;61,68;89,45;79,22;56,53;32,12;10,03;1,04;330,08
29002;Barreiras;2010;73,03;107,79;96,24;60,47;27,54;9,80;0,90;375,77
29003;Brumado;2010;46,52;87,10;76,23;55,62;28,52;8,46;1,01;303,45
29004;Camaçari;2010;71,03;93,05;82,44;57,69;29,84;8,16;0,69;342,90
29005;Cruz das Almas;2010;52,15;76,08;73,42;55,00;29,52;6,73;0,56;293,45
29006;Feira de Santana;2010;55,39;84,00;83,46;65,07;35,35;10,65;1,07;334,99
29007;Guanambi;2010;48,29;86,89;83,93;60,31;29,33;9,18;1,46;319,37
29008;Ibotirama;2010;59,91;107,61;81,25;64,14;33,67;10,82;2,34;359,74
29009;Ilhéus;2010;88,17;103,73;73,45;44,52;23,16;8,00;0,32;341,35
29010;Irecê;2010;84,61;114,28;89,82;60,14;31,08;7,28;0,98;388,19
29011;Itaberaba;2010;73,01;106,63;82,99;55,35;30,25;8,81;0,64;357,69
29012;Itabuna;2010;83,95;99,36;76,74;51,07;25,27;8,20;1,00;345,60
29013;Itapetinga;2010;85,62;97,94;78,63;45,10;22,30;6,55;1,12;337,27
29014;Jacobina;2010;68,91;100,14;85,38;52,86;25,03;6,78;0,70;339,81
29015;Jequié;2010;81,00;98,18;78,09;53,12;29,19;7,19;1,55;348,32
29016;Juazeiro;2010;85,94;126,62;99,67;62,55;29,57;10,13;0,56;415,03
29017;Paulo Afonso;2010;68,13;104,10;91,68;65,40;33,29;12,25;1,90;376,76
29018;Porto Seguro;2010;95,47;120,40;90,72;51,33;22,97;7,37;1,02;389,29
29019;Ribeira do Pombal;2010;62,63;91,56;76,00;51,79;31,93;10,57;1,48;325,96
29020;Salvador;2010;48,84;65,72;66,14;58,77;33,79;8,97;0,43;282,67
29021;Santa Maria da Vitória;2010;63,90;110,29;89,05;52,83;25,41;8,31;1,57;351,37
29022;Santo Antônio de Jesus;2010;59,10;91,72;80,93;55,27;25,85;6,90;0,74;320,51
29023;Seabra;2010;65,68;104,88;94,43;58,24;33,02;13,44;1,12;370,80
29024;Senhor do Bonfim;2010;72,50;106,83;91,57;59,23;29,04;9,84;1,41;370,41
29025;Serrinha;2010;61,35;95,08;82,36;58,89;29,35;11,01;1,49;339,54
29026;Teixeira de Freitas;2010;85,57;113,78;88,68;56,64;26,64;6,47;0,53;378,31
29027;Valença;2010;76,76;96,65;77,95;47,69;20,86;7,53;1,20;328,64
29028;Vitória da Conquista;2010;62,14;88,13;84,60;64,14;34,50;10,86;1,41;345,78
31001;Águas Formosas;2010;77,48;122,95;96,23;66,49;36,60;12,89;0,65;413,28
31002;Além Paraíba;2010;59,31;89,70;88,19;54,85;26,38;8,49;0,49;327,41
31003;Alfenas Machado;2010;48,42;80,06;82,41;54,60;28,00;7,67;0,29;301,44
31004;Almenara;2010;63,32;99,46;84,88;52,59;25,78;8,71;1,04;335,78
31005;Araçuaí;2010;46,62;78,56;61,96;47,81;29,74;10,81;0,40;275,91
31006;Araxá;2010;52,27;77,39;74,72;53,77;22,96;5,01;0,17;286,29
31007;Barbacena;2010;37,49;72,18;79,47;59,63;30,54;7,62;0,60;287,53
31008;Belo Horizonte Nova Lima Caeté;2010;42,63;64,90;68,78;67,22;41,53;10,64;0,68;296,37
31009;Betim;2010;50,51;85,61;81,92;66,73;35,42;8,65;0,29;329,14
31010;Bom Despacho;2010;50,40;83,04;77,57;51,70;31,51;4,94;0,56;299,72
31011;Brasília de Minas São Francisco;2010;63,46;106,38;96,19;61,16;29,51;11,04;1,05;368,79
31012;Carangola;2010;54,38;101,93;89,94;61,40;30,47;6,32;1,80;346,23
31013;Caratinga;2010;47,16;97,99;85,53;61,86;29,95;8,90;0,99;332,38
31014;Conselheiro Lafaiete Congonhas;2010;41,78;73,92;78,19;63,53;32,54;11,36;0,77;302,10
31015;Contagem;2010;42,17;74,76;79,68;65,28;36,49;9,60;0,55;308,52
31016;Coração de Jesus;2010;58,12;91,45;57,68;39,52;12,93;6,17;;265,89
31017;Coronel Fabriciano Timóteo;2010;35,60;69,72;73,95;62,77;33,93;6,76;0,25;282,97
31018;Curvelo;2010;50,41;84,34;68,13;52,28;29,83;10,16;0,84;295,99
31019;Diamantina;2010;50,99;95,81;78,28;54,30;35,11;13,14;0,41;328,04
31020;Divinópolis Santo Antônio do Monte;2010;37,49;69,40;77,10;63,20;33,99;8,60;0,57;290,34
31021;Formiga;2010;40,86;60,96;72,73;58,79;26,68;5,04;0,20;265,27
31022;Francisco Sá;2010;54,74;94,67;78,71;56,85;24,71;9,21;1,68;320,56
31023;Frutal Iturama;2010;61,46;89,59;70,83;44,76;19,64;4,49;0,56;291,33
31024;Governador Valadares;2010;51,87;89,96;83,52;59,95;33,43;8,70;0,59;328,02
31025;Guanhães;2010;53,21;81,90;79,54;58,75;34,05;8,71;0,89;317,06
31026;Guaxupé;2010;48,61;75,61;72,46;56,69;32,55;5,91;0,19;292,03
31027;Ipatinga;2010;42,50;78,45;84,25;68,75;32,27;8,83;0,47;315,51
31028;Itabira;2010;43,35;71,90;72,94;58,22;35,06;11,99;1,05;294,51
31029;Itajubá;2010;44,43;81,15;83,08;60,44;34,16;10,15;0,57;313,99
31030;Itaobim;2010;53,63;84,21;77,05;62,80;28,31;10,31;0,98;317,29
31031;Itaúna;2010;35,86;66,28;75,96;63,11;28,85;7,94;0,72;278,72
31032;Ituiutaba;2010;66,96;89,20;77,19;46,75;21,35;4,08;0,16;305,69
31033;Janaúba Monte Azul;2010;60,66;92,73;87,32;55,46;25,08;7,39;0,81;329,45
31034;Januária;2010;62,71;97,45;86,65;65,29;39,17;10,84;1,71;363,82
31035;João Monlevade;2010;40,07;72,64;78,01;60,43;30,37;9,81;0,19;291,54
31036;João Pinheiro;2010;62,98;90,38;72,48;50,11;24,72;5,37;;306,05
31037;Juiz de Fora Lima Duarte Bom Jardim Min;2010;42,17;63,51;68,01;64,62;35,50;9,42;0,60;283,82
31038;Lavras;2010;43,84;73,98;79,27;54,24;32,60;8,57;0,33;292,84
31039;Leopoldina Cataguases;2010;42,15;70,55;76,68;50,08;24,27;6,28;0,32;270,32
31040;Manga;2010;69,01;117,60;100,14;76,41;35,76;10,35;0,67;409,94
31041;Manhuaçu;2010;58,07;104,03;90,20;62,85;31,44;7,63;0,52;354,75
31042;Mantena;2010;64,32;106,58;93,43;52,30;21,92;7,22;0,46;346,22
31043;Minas Novas Turmalina Capelinha;2010;54,53;78,65;87,53;60,27;34,52;9,71;2,31;327,53
31044;Montes Claros Bocaiúva;2010;47,16;78,19;86,17;67,93;32,94;9,96;0,57;322,92
31045;Muriaé;2010;45,77;74,13;74,08;57,24;25,42;7,85;0,18;284,67
31046;Nanuque;2010;60,02;98,51;85,45;49,85;18,95;9,61;0,48;322,86
31047;Ouro Preto;2010;42,21;77,87;75,47;65,73;33,58;10,95;1,02;306,83
31048;Padre Paraíso;2010;73,29;121,07;95,26;48,95;29,22;16,04;0,70;384,54
31049;Pará de Minas;2010;48,87;74,57;75,81;56,60;33,48;7,79;0,62;297,75
31050;Passos Piumhi;2010;44,60;77,56;74,66;53,88;27,44;7,18;0,22;285,54
31051;Patos de Minas;2010;47,09;75,75;76,10;55,48;28,85;7,48;0,26;291,01
31052;Patrocínio Monte Carmelo;2010;57,93;90,46;86,89;55,11;25,09;4,77;0,16;320,41
31053;Pedra Azul;2010;62,16;88,38;63,25;47,64;24,49;6,41;0,69;293,02
31054;Pirapora;2010;70,78;98,75;80,45;38,05;17,86;7,01;0,71;313,62
31055;Poços de Caldas;2010;44,59;74,39;79,81;68,45;29,67;7,78;0,39;305,08
31056;Ponte Nova;2010;42,42;80,73;77,75;51,59;27,48;7,19;0,27;287,43
31057;Pouso Alegre;2010;46,34;72,20;71,92;57,64;30,92;7,21;0,53;286,76
31058;Resplendor;2010;56,86;90,37;87,66;56,48;23,09;7,23;;321,69
31059;Salinas Taiobeiras;2010;54,64;97,90;84,39;64,56;32,25;11,42;0,77;345,93
31060;Santa Maria do Suaçuí São João Evangeli;2010;52,52;94,52;85,13;59,57;33,62;14,21;1,43;341,00
31061;Santo Antônio do Amparo Campo Belo;2010;46,19;73,78;76,47;56,37;27,71;6,74;0,76;288,02
31062;Santos Dumont;2010;41,17;88,81;72,77;61,32;28,44;9,23;1,04;302,78
31063;São João del Rei;2010;43,11;76,30;78,67;60,16;34,06;8,41;0,70;301,42
31064;São João Nepomuceno Bicas;2010;54,23;80,66;76,53;58,75;36,43;11,06;;317,66
31065;São Lourenço;2010;46,43;84,12;76,06;61,89;30,81;7,71;0,78;307,79
31066;São Sebastião do Paraíso;2010;60,59;85,01;78,59;60,77;30,64;8,17;1,22;324,98
31067;Sete Lagoas;2010;49,30;73,56;71,12;58,14;32,16;8,21;0,62;293,11
31068;Teófilo Otoni Malacacheta Itambacuri;2010;60,28;96,34;81,95;57,58;32,26;12,08;0,78;341,27
31069;Três Corações;2010;53,66;87,15;77,55;62,26;32,99;8,01;0,48;322,12
31070;Três Pontas;2010;52,23;80,21;86,32;61,47;33,85;8,61;0,25;322,94
31071;Ubá;2010;46,32;75,02;74,36;51,18;31,97;7,68;0,20;286,73
31072;Uberaba;2010;57,48;76,85;78,28;57,25;29,95;7,30;0,68;307,80
31073;Uberlândia Araguari;2010;50,17;80,37;80,50;61,44;27,14;5,62;0,34;305,60
31074;Unaí;2010;56,04;87,54;76,38;53,57;26,27;8,46;0,13;308,40
31075;Varginha;2010;45,40;74,96;77,99;65,95;35,66;8,28;0,46;308,71
31076;Vespasiano;2010;47,65;80,07;78,63;63,05;34,79;7,59;0,21;311,99
31077;Viçosa;2010;32,80;51,67;51,55;41,46;19,02;6,07;;202,58
32001;Central;2010;56,40;89,29;84,86;62,22;29,15;7,21;0,55;329,69
32002;Metropolitana;2010;58,39;86,63;85,33;65,46;34,56;8,48;0,41;339,26
32003;Norte;2010;64,18;101,91;93,48;55,14;25,74;5,49;0,86;346,80
32004;Sul;2010;53,08;88,18;82,54;55,52;27,85;6,49;0,34;314,00
33001;Baia da Ilha Grande;2010;63,49;94,85;82,00;58,35;27,14;7,76;0,75;334,35
33002;Baixada Litorânea;2010;61,86;99,65;85,46;57,31;29,06;7,86;0,37;341,58
33003;Centro-Sul;2010;57,43;89,90;79,96;57,28;27,98;8,73;0,91;322,19
33004;Médio Paraíba;2010;49,47;81,07;79,17;62,40;29,70;7,57;0,48;309,86
33005;Metropolitana I;2010;59,08;84,29;77,92;61,54;34,96;9,18;0,58;327,54
33006;Metropolitana II;2010;52,49;75,57;68,88;52,55;28,36;6,80;0,35;284,99
33007;Noroeste;2010;58,12;91,32;85,42;51,21;22,75;6,34;0,16;315,32
33008;Norte;2010;65,11;93,10;85,43;61,25;29,44;7,65;0,54;342,52
33009;Serrana;2010;52,61;81,58;82,62;61,43;34,02;7,93;0,54;320,73
35011;Alto do Tietê;2010;56,59;98,53;93,13;69,07;38,59;10,20;0,61;366,71
35012;Franco da Rocha;2010;60,86;100,48;89,80;67,85;34,20;11,27;0,79;365,27
35013;Mananciais;2010;61,77;103,94;97,60;74,12;42,08;13,47;1,22;394,20
35014;Rota dos Bandeirantes;2010;59,83;98,39;93,96;75,58;41,86;11,66;0,66;381,94
35015;Grande ABC;2010;45,24;73,88;77,83;70,03;39,16;10,42;0,62;317,18
35016;São Paulo;2010;51,78;81,69;80,81;73,53;45,40;12,48;0,79;346,50
35021;Central do DRS II;2010;48,36;80,71;82,38;59,08;26,45;7,08;0,19;304,25
35022;Lagos do DRS II;2010;58,92;86,41;94,07;60,24;25,39;5,27;0,15;330,46
35023;Consórcios do DRS II;2010;47,71;74,73;75,08;59,28;28,91;7,73;0,55;293,99
35031;Central do DRS III;2010;44,79;71,04;78,18;61,42;36,68;7,04;0,49;299,64
35032;Centro Oeste do DRS III;2010;56,64;79,33;78,86;51,39;25,16;5,40;0,43;297,19
35033;Norte do DRS III;2010;50,46;80,74;74,41;57,34;23,00;7,47;;293,42
35034;Coração do DRS III;2010;51,51;76,97;76,18;61,64;32,57;8,84;0,39;308,10
35041;Baixada Santista;2010;56,20;92,33;86,54;69,35;37,93;11,10;0,50;353,94
35051;Norte - Barretos;2010;56,34;83,36;76,70;51,16;24,46;4,71;0,21;296,95
35052;Sul - Barretos;2010;47,26;76,65;68,93;51,59;28,15;7,16;0,41;280,14
35061;Vale do Jurumirim;2010;67,71;104,00;83,16;56,37;27,66;6,20;0,32;345,43
35062;Bauru;2010;50,02;79,45;78,80;61,07;29,71;7,91;0,38;307,34
35063;Polo Cuesta;2010;56,41;87,91;78,36;62,82;32,30;8,30;0,65;326,76
35064;Jaú;2010;58,12;83,44;75,20;61,15;30,43;7,46;0,45;316,25
35065;Lins;2010;56,88;90,82;84,84;63,51;32,58;5,87;0,92;335,42
35071;Bragança;2010;58,48;88,06;84,11;63,76;34,07;8,00;0,77;337,25
35072;Região Metropolitana de Campinas;2010;44,02;75,78;79,18;68,14;36,37;8,98;0,56;313,03
35073;Jundiaí;2010;52,76;85,31;88,23;68,76;37,64;8,84;0,17;341,70
35074;Circuito das Águas;2010;44,33;74,71;72,49;61,63;28,73;8,59;0,45;290,94
35081;Três Colinas;2010;48,32;84,40;86,58;70,00;38,60;8,05;0,89;336,85
35082;Alta Anhanguera;2010;56,89;89,41;84,18;59,52;27,46;7,66;0,20;325,33
35083;Alta Mogiana;2010;63,87;81,10;92,02;54,56;22,65;4,93;;319,13
