CO_REGSAUD;DS_NOME;Ano;tx_fec_15a19;tx_fec_20a24;tx_fec_25a29;tx_fec_30a34;tx_fec_35a39;tx_fec_40a44;tx_fec_45a49;tx_fec
11001;Vale do Jamari;2010;86,29;124,68;91,45;46,59;18,15;3,49;0,53;371,18
11002;Café;2010;66,78;106,54;93,24;47,10;16,20;5,21;0,21;335,29
11003;Central;2010;54,59;94,45;79,91;41,28;15,64;3,80;0,20;289,87
11004;Madeira-Mamoré;2010;84,76;110,78;97,36;65,39;28,83;6,80;0,49;394,41
11005;Zona da Mata;2010;72,43;121,93;91,23;44,87;17,85;4,43;0,27;353,01
11006;Cone Sul;2010;67,65;105,09;94,62;52,73;18,49;6,14;0,73;345,45
11007;Vale do Guaporé;2010;97,33;147,03;79,75;42,24;18,96;2,57;2,08;389,95
12001;Alto Acre;2010;108,35;147,57;110,54;66,81;38,12;9,95;0,79;482,12
12002;Baixo Acre e Purus;2010;99,19;114,92;94,94;70,03;36,07;10,51;1,52;427,18
12003;Juruá e Tarauacá/Envira;2010;125,56;171,73;147,59;104,56;68,67;29,70;7,64;655,44
13001;Entorno Manaus e Alto Rio Negro;2010;89,49;121,95;101,91;70,47;38,12;9,78;0,86;432,58
13002;Rio Negro e Solimões;2010;112,19;139,89;103,37;65,30;33,55;9,78;3,44;467,53
13003;Rio Madeira;2010;97,18;123,19;87,60;52,47;26,57;16,22;0,65;403,88
13004;Médio Amazonas;2010;112,77;152,27;123,22;71,51;41,36;17,04;2,14;520,30
13005;Baixo Amazonas;2010;107,00;163,50;126,42;84,29;54,45;19,12;3,28;558,06
13006;Regional Purus;2010;116,64;125,56;89,74;51,72;29,36;11,73;1,39;426,13
13007;Regional Juruá;2010;121,89;142,16;117,92;76,92;41,37;21,38;3,68;525,32
13008;Triângulo;2010;127,00;158,60;113,04;74,08;48,47;20,46;2,15;543,80
13009;Alto Solimões;2010;109,06;142,13;119,90;91,46;59,20;26,79;5,68;554,22
14001;Centro Norte;2010;97,71;133,22;107,69;77,44;42,48;12,73;1,25;472,52
14002;Sul;2010;92,72;121,97;85,76;57,60;22,33;12,07;3,16;395,60
15001;Araguaia;2010;91,19;111,23;72,47;35,94;14,01;3,81;0,67;329,31
15002;Baixo Amazonas;2010;101,34;146,71;115,91;67,81;35,20;12,51;1,55;481,03
15003;Carajás;2010;102,81;132,76;99,53;56,60;23,11;6,86;0,81;422,48
15004;Lago de Tucuruí;2010;107,30;130,31;85,54;49,65;19,84;7,86;0,55;401,05
15006;Metropolitana I;2010;70,21;103,96;79,62;53,43;25,44;7,16;0,43;340,26
15007;Metropolitana II;2010;97,01;125,00;80,26;40,74;22,65;7,96;0,48;374,10
15008;Metropolitana III;2010;93,00;121,14;85,11;44,20;22,26;7,25;0,93;373,89
15009;Rio Caetés;2010;111,68;144,64;91,63;52,77;26,10;9,73;0,89;437,44
15010;Tapajós;2010;96,05;128,72;79,81;45,72;19,52;6,03;1,13;376,98
15011;Tocantins;2010;100,69;143,55;94,80;53,65;25,78;11,06;1,67;431,22
15012;Xingu;2010;102,90;133,81;92,20;46,74;21,69;7,60;0,32;405,25
15013;Marajó I;2010;93,64;114,42;75,00;40,14;26,17;8,96;1,47;359,81
15014;Marajó II;2010;110,91;143,25;108,46;83,07;53,63;29,36;5,78;534,45
16001;Área Central;2010;94,53;124,17;105,38;74,43;42,13;14,31;1,82;456,76
16002;Área Norte;2010;106,61;143,95;108,61;64,58;39,20;18,00;1,99;482,94
16003;Área Sudoeste;2010;104,57;135,01;109,75;64,97;38,14;10,30;1,53;464,27
17001;Médio Norte Araguaia;2010;89,46;121,64;96,21;61,21;22,57;7,46;0,62;399,16
17002;Bico do Papagaio;2010;102,68;141,07;96,51;48,09;25,21;7,52;0,70;421,78
17003;Sudeste;2010;88,98;122,84;88,69;50,45;27,54;9,96;0,45;388,92
17004;Cerrado Tocantins Araguaia;2010;98,97;120,44;91,09;49,53;18,93;5,13;;384,09
17005;Ilha do Bananal;2010;78,66;112,52;84,55;45,83;21,97;6,77;0,20;350,50
17006;Capim Dourado;2010;68,95;99,04;91,24;64,05;34,08;8,90;0,13;366,40
17007;Cantão;2010;84,39;121,26;89,85;52,90;21,89;2,69;0,32;373,30
17008;Amor Perfeito;2010;81,99;124,75;99,47;61,17;26,34;9,20;0,40;403,31
21001;Açailândia;2010;98,42;129,81;94,34;50,74;20,97;5,58;1,03;400,89
21002;Bacabal;2010;92,64;132,07;84,33;44,71;21,88;7,49;0,81;383,93
21003;Balsas;2010;97,85;145,54;102,35;62,27;28,14;10,59;1,57;448,30
21004;Barra do Corda;2010;115,04;160,80;121,05;67,81;32,77;12,77;2,95;513,20
21005;Caxias;2010;97,00;134,45;107,70;63,97;32,09;10,12;0,99;446,32
21006;Chapadinha;2010;94,76;146,36;98,05;54,36;26,88;9,07;1,26;430,73
21007;Codó;2010;104,75;146,98;94,78;47,95;25,12;8,57;1,38;429,54
21008;Imperatriz;2010;83,93;120,37;98,95;56,13;27,00;8,71;1,15;396,24
21009;Itapecuru Mirim;2010;90,60;130,60;90,89;50,40;27,11;13,91;1,23;404,74
21010;Pedreiras;2010;92,41;141,52;98,21;54,93;18,54;6,90;0,75;413,27
21011;Pinheiro;2010;93,09;124,26;75,53;39,33;16,21;6,28;0,36;355,07
21012;Presidente Dutra;2010;93,43;133,63;97,81;49,79;24,92;8,57;0,74;408,89
21013;Rosário;2010;89,05;138,57;90,47;46,42;29,53;12,27;1,16;407,47
21014;Santa Inês;2010;103,26;149,47;104,17;51,98;27,90;8,74;0,77;446,30
21015;São João dos Patos;2010;83,76;126,89;94,82;58,39;28,19;8,49;1,54;402,08
21016;São Luís;2010;58,19;91,21;77,77;51,54;24,89;6,22;0,49;310,30
21017;Timon;2010;80,77;119,47;90,58;50,26;25,44;6,88;0,50;373,91
21018;Viana;2010;95,96;132,44;74,43;36,31;17,78;6,54;0,36;363,82
21019;Zé Doca;2010;103,55;126,39;81,25;41,84;19,77;6,08;1,43;380,33
22001;Carnaubais;2010;76,85;126,93;105,73;55,66;21,90;6,61;0,47;394,15
22002;Chapada das Mangabeiras;2010;94,12;127,99;94,78;53,34;27,18;7,17;1,11;405,69
22003;Cocais;2010;78,25;112,99;84,09;49,22;25,22;8,66;0,92;359,34
22004;Entre Rios;2010;59,00;92,31;85,66;60,09;28,82;7,03;0,69;333,60
22005;Planície Litorânea;2010;74,42;107,91;79,51;47,25;23,32;5,74;0,98;339,13
22006;Serra da Capivara;2010;80,06;115,93;80,21;47,67;20,08;5,14;;349,10
22007;Tabuleiros do Alto Parnaíba;2010;88,98;128,64;100,94;46,09;32,15;7,63;0,89;405,32
22008;Vale do Canindé;2010;67,55;117,05;81,78;50,10;20,68;5,48;0,35;342,99
22009;Vale do Rio Guaribas;2010;72,99;102,24;80,69;47,46;24,46;6,70;0,76;335,29
22010;Vale do Sambito;2010;65,16;103,28;83,33;44,65;19,45;7,17;1,00;324,03
22011;Vale dos Rios Piauí e Itaueiras;2010;70,94;111,67;86,93;50,64;24,86;7,65;0,52;353,22
23001;1ª Região Fortaleza;2010;52,61;74,20;73,39;62,19;32,65;9,27;0,81;305,11
23002;2ª Região Caucaia;2010;59,21;90,29;78,24;56,50;29,16;8,39;0,73;322,53
