CO_REGSAUD;DS_NOME;Ano;tx_mortinf
11001;Vale do Jamari;2012;12,09
11002;Café;2012;15,18
11003;Central;2012;13,57
11004;Madeira-Mamoré;2012;14,25
11005;Zona da Mata;2012;9,38
11006;Cone Sul;2012;17,33
11007;Vale do Guaporé;2012;11,94
12001;Alto Acre;2012;20,50
12002;Baixo Acre e Purus;2012;15,31
12003;Juruá e Tarauacá/Envira;2012;17,44
13001;Entorno Manaus e Alto Rio Negro;2012;15,04
13002;Rio Negro e Solimões;2012;13,13
13003;Rio Madeira;2012;17,46
13004;Médio Amazonas;2012;15,33
13005;Baixo Amazonas;2012;14,86
13006;Regional Purus;2012;22,17
13007;Regional Juruá;2012;28,94
13008;Triângulo;2012;22,56
13009;Alto Solimões;2012;25,02
14001;Centro Norte;2012;15,26
14002;Sul;2012;25,04
15001;Araguaia;2012;18,62
15002;Baixo Amazonas;2012;19,80
15003;Carajás;2012;15,28
15004;Lago de Tucuruí;2012;16,46
15006;Metropolitana I;2012;16,40
15007;Metropolitana II;2012;17,40
15008;Metropolitana III;2012;14,90
15009;Rio Caetés;2012;15,66
15010;Tapajós;2012;17,94
15011;Tocantins;2012;17,57
15012;Xingu;2012;19,56
15013;Marajó I;2012;20,57
15014;Marajó II;2012;17,49
16001;Área Central;2012;21,52
16002;Área Norte;2012;21,26
16003;Área Sudoeste;2012;17,18
17001;Médio Norte Araguaia;2012;12,51
17002;Bico do Papagaio;2012;15,16
17003;Sudeste;2012;17,76
17004;Cerrado Tocantins Araguaia;2012;20,36
17005;Ilha do Bananal;2012;17,93
17006;Capim Dourado;2012;9,91
17007;Cantão;2012;16,37
17008;Amor Perfeito;2012;12,14
21001;Açailândia;2012;13,17
21002;Bacabal;2012;11,67
21003;Balsas;2012;12,89
21004;Barra do Corda;2012;18,14
21005;Caxias;2012;19,96
21006;Chapadinha;2012;11,06
21007;Codó;2012;14,42
21008;Imperatriz;2012;15,02
21009;Itapecuru Mirim;2012;16,91
21010;Pedreiras;2012;16,04
21011;Pinheiro;2012;16,84
21012;Presidente Dutra;2012;11,04
21013;Rosário;2012;12,14
21014;Santa Inês;2012;15,68
21015;São João dos Patos;2012;12,20
21016;São Luís;2012;15,43
21017;Timon;2012;15,99
21018;Viana;2012;10,12
21019;Zé Doca;2012;14,44
22001;Carnaubais;2012;12,04
22002;Chapada das Mangabeiras;2012;19,59
22003;Cocais;2012;17,15
22004;Entre Rios;2012;14,98
22005;Planície Litorânea;2012;16,27
22006;Serra da Capivara;2012;16,75
22007;Tabuleiros do Alto Parnaíba;2012;14,14
22008;Vale do Canindé;2012;18,55
22009;Vale do Rio Guaribas;2012;22,97
22010;Vale do Sambito;2012;24,22
22011;Vale dos Rios Piauí e Itaueiras;2012;12,24
23001;1ª Região Fortaleza;2012;11,16
23002;2ª Região Caucaia;2012;10,88
23003;3ª Região Maracanaú;2012;10,15
23004;4ª Região Baturité;2012;8,49
23005;5ª Região Canindé;2012;11,50
23006;6ª Região Itapipoca;2012;15,18
23007;7ª Região Aracati;2012;15,38
23008;8ª Região Quixadá;2012;11,44
23009;9ª Região Russas;2012;9,85
23010;10ª Região Limoeiro do Norte;2012;8,60
23011;11ª Região Sobral;2012;15,66
23012;12ª Região Acaraú;2012;11,54
23013;13ª Região Tianguá;2012;16,08
23014;14ª Região Tauá;2012;11,16
23015;15ª Região Crateús;2012;18,61
23016;16ª Região Camocim;2012;13,46
23017;17ª Região Icó;2012;14,39
23018;18ª Região Iguatú;2012;13,12
23019;19ª Região Brejo Santo;2012;16,41
23020;20ª Região Crato;2012;14,99
23021;21ª Região Juazeiro do Norte;2012;16,57
23022;22ª Região Cascavel;2012;12,54
24001;1ª Região de Saúde - São José de Mipibu;2012;13,74
24002;2ª Região de Saúde - Mossoró;2012;14,41
24003;3ª Região de Saúde - João Câmara;2012;15,87
24004;4ª Região de Saúde - Caicó;2012;17,31
24005;5ª Região de Saúde - Santa Cruz;2012;14,55
24006;6ª Região de Saúde - Pau dos Ferros;2012;11,39
24007;7ª Região de Saúde - Metropolitana;2012;12,76
24008;8ª Região de Saúde - Açu;2012;17,22
25001;1ª Região Mata Atlântica;2012;13,94
25002;2ª Região;2012;13,76
25003;3ª Região;2012;15,80
25004;4ª Região;2012;12,22
25005;5ª Região;2012;16,03
25006;6ª Região;2012;14,19
25007;7ª Região;2012;20,29
25008;8ª Região;2012;12,35
25009;9ª Região;2012;14,03
25010;10ª Região;2012;19,63
