CO_REGSAUD;DS_NOME;Ano;tx_nat
11001;Vale do Jamari;2010;17,07
11002;Café;2010;15,60
11003;Central;2010;13,30
11004;Madeira-Mamoré;2010;18,94
11005;Zona da Mata;2010;16,08
11006;Cone Sul;2010;16,00
11007;Vale do Guaporé;2010;17,22
12001;Alto Acre;2010;21,79
12002;Baixo Acre e Purus;2010;20,44
12003;Juruá e Tarauacá/Envira;2010;27,57
13001;Entorno Manaus e Alto Rio Negro;2010;21,14
13002;Rio Negro e Solimões;2010;21,37
13003;Rio Madeira;2010;18,01
13004;Médio Amazonas;2010;21,85
13005;Baixo Amazonas;2010;22,24
13006;Regional Purus;2010;18,78
13007;Regional Juruá;2010;22,25
13008;Triângulo;2010;23,65
13009;Alto Solimões;2010;23,37
14001;Centro Norte;2010;22,42
14002;Sul;2010;17,46
15001;Araguaia;2010;15,86
15002;Baixo Amazonas;2010;21,20
15003;Carajás;2010;20,77
15004;Lago de Tucuruí;2010;20,19
15006;Metropolitana I;2010;16,87
15007;Metropolitana II;2010;17,19
15008;Metropolitana III;2010;17,77
15009;Rio Caetés;2010;19,83
15010;Tapajós;2010;17,41
15011;Tocantins;2010;20,11
15012;Xingu;2010;18,94
15013;Marajó I;2010;15,93
15014;Marajó II;2010;21,56
16001;Área Central;2010;22,65
16002;Área Norte;2010;20,41
16003;Área Sudoeste;2010;22,42
17001;Médio Norte Araguaia;2010;18,98
17002;Bico do Papagaio;2010;18,78
17003;Sudeste;2010;16,11
17004;Cerrado Tocantins Araguaia;2010;16,64
17005;Ilha do Bananal;2010;15,42
17006;Capim Dourado;2010;18,95
17007;Cantão;2010;15,89
17008;Amor Perfeito;2010;17,31
21001;Açailândia;2010;19,10
21002;Bacabal;2010;17,46
21003;Balsas;2010;20,06
21004;Barra do Corda;2010;22,97
21005;Caxias;2010;19,56
21006;Chapadinha;2010;19,35
21007;Codó;2010;19,27
21008;Imperatriz;2010;18,64
21009;Itapecuru Mirim;2010;18,44
21010;Pedreiras;2010;18,70
21011;Pinheiro;2010;16,22
21012;Presidente Dutra;2010;18,09
21013;Rosário;2010;18,08
21014;Santa Inês;2010;20,03
21015;São João dos Patos;2010;17,22
21016;São Luís;2010;16,60
21017;Timon;2010;16,97
21018;Viana;2010;17,08
